section_number, image_url, image_format, image_resolution_mpp, image_width, image_height, atlas_url, atlas_format, viewer_url
169,data2d/specimen_3/Specimen_3_169.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=169&type=hd
175,data2d/specimen_3/Specimen_3_175.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=175&type=hd
178,data2d/specimen_3/Specimen_3_178.tif,tif,1,80000,80000,https://dharani-fetal-brain-atlas.s3.us-west-2.amazonaws.com/data2d/specimen_3/Specimen_3_178.json,geojson,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=178
181,data2d/specimen_3/Specimen_3_181.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=181&type=hd
184,data2d/specimen_3/Specimen_3_184.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=184&type=hd
187,data2d/specimen_3/Specimen_3_187.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=187&type=hd
190,data2d/specimen_3/Specimen_3_190.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=190&type=hd
193,data2d/specimen_3/Specimen_3_193.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=193&type=hd
196,data2d/specimen_3/Specimen_3_196.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=196&type=hd
199,data2d/specimen_3/Specimen_3_199.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=199&type=hd
202,data2d/specimen_3/Specimen_3_202.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=202&type=hd
205,data2d/specimen_3/Specimen_3_205.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=205&type=hd
208,data2d/specimen_3/Specimen_3_208.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=208&type=hd
211,data2d/specimen_3/Specimen_3_211.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=211&type=hd
214,data2d/specimen_3/Specimen_3_214.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=214&type=hd
217,data2d/specimen_3/Specimen_3_217.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=217&type=hd
220,data2d/specimen_3/Specimen_3_220.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=220&type=hd
223,data2d/specimen_3/Specimen_3_223.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=223&type=hd
226,data2d/specimen_3/Specimen_3_226.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=226&type=hd
229,data2d/specimen_3/Specimen_3_229.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=229&type=hd
232,data2d/specimen_3/Specimen_3_232.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=232&type=hd
238,data2d/specimen_3/Specimen_3_238.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=238&type=hd
241,data2d/specimen_3/Specimen_3_241.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=241&type=hd
244,data2d/specimen_3/Specimen_3_244.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=244&type=hd
247,data2d/specimen_3/Specimen_3_247.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=247&type=hd
250,data2d/specimen_3/Specimen_3_250.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=250&type=hd
253,data2d/specimen_3/Specimen_3_253.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=253&type=hd
256,data2d/specimen_3/Specimen_3_256.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=256&type=hd
259,data2d/specimen_3/Specimen_3_259.tif,tif,1,80000,80000,https://dharani-fetal-brain-atlas.s3.us-west-2.amazonaws.com/data2d/specimen_3/Specimen_3_259.json,geojson,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=259
262,data2d/specimen_3/Specimen_3_262.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=262&type=hd
265,data2d/specimen_3/Specimen_3_265.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=265&type=hd
268,data2d/specimen_3/Specimen_3_268.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=268&type=hd
271,data2d/specimen_3/Specimen_3_271.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=271&type=hd
274,data2d/specimen_3/Specimen_3_274.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=274&type=hd
277,data2d/specimen_3/Specimen_3_277.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=277&type=hd
280,data2d/specimen_3/Specimen_3_280.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=280&type=hd
283,data2d/specimen_3/Specimen_3_283.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=283&type=hd
286,data2d/specimen_3/Specimen_3_286.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=286&type=hd
289,data2d/specimen_3/Specimen_3_289.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=289&type=hd
292,data2d/specimen_3/Specimen_3_292.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=292&type=hd
295,data2d/specimen_3/Specimen_3_295.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=295&type=hd
298,data2d/specimen_3/Specimen_3_298.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=298&type=hd
301,data2d/specimen_3/Specimen_3_301.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=301&type=hd
304,data2d/specimen_3/Specimen_3_304.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=304&type=hd
307,data2d/specimen_3/Specimen_3_307.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=307&type=hd
310,data2d/specimen_3/Specimen_3_310.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=310&type=hd
316,data2d/specimen_3/Specimen_3_316.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=316&type=hd
319,data2d/specimen_3/Specimen_3_319.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=319&type=hd
322,data2d/specimen_3/Specimen_3_322.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=322&type=hd
325,data2d/specimen_3/Specimen_3_325.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=325&type=hd
328,data2d/specimen_3/Specimen_3_328.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=328&type=hd
331,data2d/specimen_3/Specimen_3_331.tif,tif,1,80000,80000,https://dharani-fetal-brain-atlas.s3.us-west-2.amazonaws.com/data2d/specimen_3/Specimen_3_331.json,geojson,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=331
334,data2d/specimen_3/Specimen_3_334.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=334&type=hd
337,data2d/specimen_3/Specimen_3_337.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=337&type=hd
340,data2d/specimen_3/Specimen_3_340.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=340&type=hd
343,data2d/specimen_3/Specimen_3_343.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=343&type=hd
346,data2d/specimen_3/Specimen_3_346.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=346&type=hd
349,data2d/specimen_3/Specimen_3_349.tif,tif,4,20000,20000,,,https://brainportal.humanbrain.in/code/2dviewer/annotation/public?data=2&region=-1&section=349&type=hd
