section_number, image_url, image_format, image_width, image_height, atlas_url, atlas_format, viewer_url
2112,http://api.brain-map.org/api/v2/atlas_image_download/101896557?downsample=0&annotation=false&atlas=3,jpg,31552,46736,http://api.brain-map.org/api/v2/svg/101896557?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101896557&zoom=-5
2137,http://api.brain-map.org/api/v2/atlas_image_download/101896584?downsample=0&annotation=false&atlas=3,jpg,22080,44800,http://api.brain-map.org/api/v2/svg/101896584?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101896584&zoom=-5
2162,http://api.brain-map.org/api/v2/atlas_image_download/101896570?downsample=0&annotation=false&atlas=3,jpg,23984,46560,http://api.brain-map.org/api/v2/svg/101896570?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101896570&zoom=-5
2163,http://api.brain-map.org/api/v2/atlas_image_download/101896556?downsample=0&annotation=false&atlas=3,jpg,23728,45776,http://api.brain-map.org/api/v2/svg/101896556?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101896556&zoom=-5
2188,http://api.brain-map.org/api/v2/atlas_image_download/101896583?downsample=0&annotation=false&atlas=3,jpg,20816,41872,http://api.brain-map.org/api/v2/svg/101896583?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101896583&zoom=-5
2213,http://api.brain-map.org/api/v2/atlas_image_download/101896569?downsample=0&annotation=false&atlas=3,jpg,21984,38800,http://api.brain-map.org/api/v2/svg/101896569?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101896569&zoom=-5
2214,http://api.brain-map.org/api/v2/atlas_image_download/101896555?downsample=0&annotation=false&atlas=3,jpg,25552,39920,http://api.brain-map.org/api/v2/svg/101896555?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101896555&zoom=-5
2239,http://api.brain-map.org/api/v2/atlas_image_download/101896582?downsample=0&annotation=false&atlas=3,jpg,24544,35056,http://api.brain-map.org/api/v2/svg/101896582?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101896582&zoom=-5
2265,http://api.brain-map.org/api/v2/atlas_image_download/101940291?downsample=0&annotation=false&atlas=3,jpg,21104,34160,http://api.brain-map.org/api/v2/svg/101940291?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940291&zoom=-5
2290,http://api.brain-map.org/api/v2/atlas_image_download/101940277?downsample=0&annotation=false&atlas=3,jpg,19824,37088,http://api.brain-map.org/api/v2/svg/101940277?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940277&zoom=-5
2291,http://api.brain-map.org/api/v2/atlas_image_download/101940304?downsample=0&annotation=false&atlas=3,jpg,19632,34160,http://api.brain-map.org/api/v2/svg/101940304?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940304&zoom=-5
2316,http://api.brain-map.org/api/v2/atlas_image_download/101940290?downsample=0&annotation=false&atlas=3,jpg,21552,35136,http://api.brain-map.org/api/v2/svg/101940290?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940290&zoom=-5
2341,http://api.brain-map.org/api/v2/atlas_image_download/101940276?downsample=0&annotation=false&atlas=3,jpg,19632,37088,http://api.brain-map.org/api/v2/svg/101940276?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940276&zoom=-5
2342,http://api.brain-map.org/api/v2/atlas_image_download/101940303?downsample=0&annotation=false&atlas=3,jpg,20848,35136,http://api.brain-map.org/api/v2/svg/101940303?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940303&zoom=-5
2367,http://api.brain-map.org/api/v2/atlas_image_download/101940289?downsample=0&annotation=false&atlas=3,jpg,22384,38064,http://api.brain-map.org/api/v2/svg/101940289?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940289&zoom=-5
2392,http://api.brain-map.org/api/v2/atlas_image_download/101940275?downsample=0&annotation=false&atlas=3,jpg,19504,36112,http://api.brain-map.org/api/v2/svg/101940275?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940275&zoom=-5
2393,http://api.brain-map.org/api/v2/atlas_image_download/101940302?downsample=0&annotation=false&atlas=3,jpg,19312,38064,http://api.brain-map.org/api/v2/svg/101940302?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940302&zoom=-5
2418,http://api.brain-map.org/api/v2/atlas_image_download/101940288?downsample=0&annotation=false&atlas=3,jpg,18800,37088,http://api.brain-map.org/api/v2/svg/101940288?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940288&zoom=-5
2443,http://api.brain-map.org/api/v2/atlas_image_download/101940274?downsample=0&annotation=false&atlas=3,jpg,22064,39040,http://api.brain-map.org/api/v2/svg/101940274?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940274&zoom=-5
2444,http://api.brain-map.org/api/v2/atlas_image_download/101940301?downsample=0&annotation=false&atlas=3,jpg,18672,38064,http://api.brain-map.org/api/v2/svg/101940301?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940301&zoom=-5
2469,http://api.brain-map.org/api/v2/atlas_image_download/101940287?downsample=0&annotation=false&atlas=3,jpg,18672,35136,http://api.brain-map.org/api/v2/svg/101940287?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940287&zoom=-5
2494,http://api.brain-map.org/api/v2/atlas_image_download/101940273?downsample=0&annotation=false&atlas=3,jpg,18032,36112,http://api.brain-map.org/api/v2/svg/101940273?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940273&zoom=-5
2495,http://api.brain-map.org/api/v2/atlas_image_download/101940300?downsample=0&annotation=false&atlas=3,jpg,16608,37088,http://api.brain-map.org/api/v2/svg/101940300?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940300&zoom=-5
2520,http://api.brain-map.org/api/v2/atlas_image_download/101940286?downsample=0&annotation=false&atlas=3,jpg,18864,39040,http://api.brain-map.org/api/v2/svg/101940286?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940286&zoom=-5
2545,http://api.brain-map.org/api/v2/atlas_image_download/101940272?downsample=0&annotation=false&atlas=3,jpg,18288,38064,http://api.brain-map.org/api/v2/svg/101940272?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940272&zoom=-5
2546,http://api.brain-map.org/api/v2/atlas_image_download/101940299?downsample=0&annotation=false&atlas=3,jpg,16608,34160,http://api.brain-map.org/api/v2/svg/101940299?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940299&zoom=-5
2571,http://api.brain-map.org/api/v2/atlas_image_download/101940285?downsample=0&annotation=false&atlas=3,jpg,19568,36112,http://api.brain-map.org/api/v2/svg/101940285?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940285&zoom=-5
2596,http://api.brain-map.org/api/v2/atlas_image_download/101940271?downsample=0&annotation=false&atlas=3,jpg,16816,34160,http://api.brain-map.org/api/v2/svg/101940271?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940271&zoom=-5
2597,http://api.brain-map.org/api/v2/atlas_image_download/101940298?downsample=0&annotation=false&atlas=3,jpg,16368,31232,http://api.brain-map.org/api/v2/svg/101940298?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940298&zoom=-5
2622,http://api.brain-map.org/api/v2/atlas_image_download/101940284?downsample=0&annotation=false&atlas=3,jpg,16352,33184,http://api.brain-map.org/api/v2/svg/101940284?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940284&zoom=-5
2647,http://api.brain-map.org/api/v2/atlas_image_download/101940270?downsample=0&annotation=false&atlas=3,jpg,16160,33184,http://api.brain-map.org/api/v2/svg/101940270?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940270&zoom=-5
2648,http://api.brain-map.org/api/v2/atlas_image_download/101940297?downsample=0&annotation=false&atlas=3,jpg,16112,31232,http://api.brain-map.org/api/v2/svg/101940297?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940297&zoom=-5
2673,http://api.brain-map.org/api/v2/atlas_image_download/101940283?downsample=0&annotation=false&atlas=3,jpg,15264,31232,http://api.brain-map.org/api/v2/svg/101940283?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940283&zoom=-5
2698,http://api.brain-map.org/api/v2/atlas_image_download/101940269?downsample=0&annotation=false&atlas=3,jpg,18288,32208,http://api.brain-map.org/api/v2/svg/101940269?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940269&zoom=-5
