section_number, image_url, image_format, image_width, image_height, atlas_url, atlas_format, viewer_url
1,http://api.brain-map.org/api/v2/atlas_image_download/102182838?downsample=0&annotation=false&atlas=287730656,jpg,13264,48784,http://api.brain-map.org/api/v2/svg/102182838?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=287730656&plate=None&zoom=-5
15,http://api.brain-map.org/api/v2/atlas_image_download/102182834?downsample=0&annotation=false&atlas=287730656,jpg,8144,49760,http://api.brain-map.org/api/v2/svg/102182834?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=287730656&plate=None&zoom=-5
27,http://api.brain-map.org/api/v2/atlas_image_download/102182830?downsample=0&annotation=false&atlas=287730656,jpg,10656,51712,http://api.brain-map.org/api/v2/svg/102182830?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=287730656&plate=None&zoom=-5
41,http://api.brain-map.org/api/v2/atlas_image_download/102182826?downsample=0&annotation=false&atlas=287730656,jpg,10880,54640,http://api.brain-map.org/api/v2/svg/102182826?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=287730656&plate=None&zoom=-5
53,http://api.brain-map.org/api/v2/atlas_image_download/102182839?downsample=0&annotation=false&atlas=287730656,jpg,13264,48784,http://api.brain-map.org/api/v2/svg/102182839?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=287730656&plate=None&zoom=-5
67,http://api.brain-map.org/api/v2/atlas_image_download/102182835?downsample=0&annotation=false&atlas=287730656,jpg,8144,49760,http://api.brain-map.org/api/v2/svg/102182835?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=287730656&plate=None&zoom=-5
79,http://api.brain-map.org/api/v2/atlas_image_download/102182831?downsample=0&annotation=false&atlas=287730656,jpg,10656,51712,http://api.brain-map.org/api/v2/svg/102182831?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=287730656&plate=None&zoom=-5
93,http://api.brain-map.org/api/v2/atlas_image_download/102182827?downsample=0&annotation=false&atlas=287730656,jpg,10880,54640,http://api.brain-map.org/api/v2/svg/102182827?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=287730656&plate=None&zoom=-5
105,http://api.brain-map.org/api/v2/atlas_image_download/102182840?downsample=0&annotation=false&atlas=287730656,jpg,13264,48784,http://api.brain-map.org/api/v2/svg/102182840?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=287730656&plate=None&zoom=-5
119,http://api.brain-map.org/api/v2/atlas_image_download/102182836?downsample=0&annotation=false&atlas=287730656,jpg,8144,49760,http://api.brain-map.org/api/v2/svg/102182836?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=287730656&plate=None&zoom=-5
131,http://api.brain-map.org/api/v2/atlas_image_download/102182832?downsample=0&annotation=false&atlas=287730656,jpg,10656,51712,http://api.brain-map.org/api/v2/svg/102182832?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=287730656&plate=None&zoom=-5
145,http://api.brain-map.org/api/v2/atlas_image_download/102182828?downsample=0&annotation=false&atlas=287730656,jpg,10880,54640,http://api.brain-map.org/api/v2/svg/102182828?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=287730656&plate=None&zoom=-5
157,http://api.brain-map.org/api/v2/atlas_image_download/102182841?downsample=0&annotation=false&atlas=287730656,jpg,13264,48784,http://api.brain-map.org/api/v2/svg/102182841?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=287730656&plate=None&zoom=-5
171,http://api.brain-map.org/api/v2/atlas_image_download/102182837?downsample=0&annotation=false&atlas=287730656,jpg,8144,49760,http://api.brain-map.org/api/v2/svg/102182837?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=287730656&plate=None&zoom=-5
183,http://api.brain-map.org/api/v2/atlas_image_download/102182833?downsample=0&annotation=false&atlas=287730656,jpg,10656,51712,http://api.brain-map.org/api/v2/svg/102182833?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=287730656&plate=None&zoom=-5
197,http://api.brain-map.org/api/v2/atlas_image_download/102182829?downsample=0&annotation=false&atlas=287730656,jpg,10880,54640,http://api.brain-map.org/api/v2/svg/102182829?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=287730656&plate=None&zoom=-5
365,http://api.brain-map.org/api/v2/atlas_image_download/102182823?downsample=0&annotation=false&atlas=287730656,jpg,14448,45856,http://api.brain-map.org/api/v2/svg/102182823?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=287730656&plate=None&zoom=-5
