section_number, image_url, image_format, image_width, image_height, atlas_url, atlas_format, viewer_url
1,http://api.brain-map.org/api/v2/atlas_image_download/102125614?downsample=0&annotation=false&atlas=138322603,jpg,7136,16592,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
15,http://api.brain-map.org/api/v2/atlas_image_download/102125599?downsample=0&annotation=false&atlas=138322603,jpg,8608,15616,http://api.brain-map.org/api/v2/svg/102125599?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
27,http://api.brain-map.org/api/v2/atlas_image_download/102125584?downsample=0&annotation=false&atlas=138322603,jpg,8288,15616,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
53,http://api.brain-map.org/api/v2/atlas_image_download/102125613?downsample=0&annotation=false&atlas=138322603,jpg,7968,17568,http://api.brain-map.org/api/v2/svg/102125613?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
67,http://api.brain-map.org/api/v2/atlas_image_download/102125598?downsample=0&annotation=false&atlas=138322603,jpg,10144,18544,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
79,http://api.brain-map.org/api/v2/atlas_image_download/102125583?downsample=0&annotation=false&atlas=138322603,jpg,14512,25376,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
93,http://api.brain-map.org/api/v2/atlas_image_download/102125569?downsample=0&annotation=false&atlas=138322603,jpg,10064,30256,http://api.brain-map.org/api/v2/svg/102125569?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
105,http://api.brain-map.org/api/v2/atlas_image_download/102125612?downsample=0&annotation=false&atlas=138322603,jpg,10720,23424,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
119,http://api.brain-map.org/api/v2/atlas_image_download/102125597?downsample=0&annotation=false&atlas=138322603,jpg,9760,21472,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
131,http://api.brain-map.org/api/v2/atlas_image_download/102125582?downsample=0&annotation=false&atlas=138322603,jpg,13936,23424,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
145,http://api.brain-map.org/api/v2/atlas_image_download/102125568?downsample=0&annotation=false&atlas=138322603,jpg,10016,22448,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
157,http://api.brain-map.org/api/v2/atlas_image_download/102125611?downsample=0&annotation=false&atlas=138322603,jpg,9696,21472,http://api.brain-map.org/api/v2/svg/102125611?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
171,http://api.brain-map.org/api/v2/atlas_image_download/102125596?downsample=0&annotation=false&atlas=138322603,jpg,9888,22448,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
183,http://api.brain-map.org/api/v2/atlas_image_download/102125581?downsample=0&annotation=false&atlas=138322603,jpg,13664,27328,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
197,http://api.brain-map.org/api/v2/atlas_image_download/102125567?downsample=0&annotation=false&atlas=138322603,jpg,16272,30192,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
209,http://api.brain-map.org/api/v2/atlas_image_download/102125610?downsample=0&annotation=false&atlas=138322603,jpg,11360,23424,http://api.brain-map.org/api/v2/svg/102125610?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
223,http://api.brain-map.org/api/v2/atlas_image_download/102125595?downsample=0&annotation=false&atlas=138322603,jpg,15600,26352,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
235,http://api.brain-map.org/api/v2/atlas_image_download/102125580?downsample=0&annotation=false&atlas=138322603,jpg,16112,28304,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
249,http://api.brain-map.org/api/v2/atlas_image_download/102125566?downsample=0&annotation=false&atlas=138322603,jpg,14560,30192,http://api.brain-map.org/api/v2/svg/102125566?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
261,http://api.brain-map.org/api/v2/atlas_image_download/102125609?downsample=0&annotation=false&atlas=138322603,jpg,10016,25376,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
275,http://api.brain-map.org/api/v2/atlas_image_download/102125594?downsample=0&annotation=false&atlas=138322603,jpg,11040,24400,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
287,http://api.brain-map.org/api/v2/atlas_image_download/102125579?downsample=0&annotation=false&atlas=138322603,jpg,15728,28304,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
301,http://api.brain-map.org/api/v2/atlas_image_download/102125565?downsample=0&annotation=false&atlas=138322603,jpg,17856,30192,http://api.brain-map.org/api/v2/svg/102125565?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
313,http://api.brain-map.org/api/v2/atlas_image_download/102125608?downsample=0&annotation=false&atlas=138322603,jpg,10400,24400,http://api.brain-map.org/api/v2/svg/102125608?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
327,http://api.brain-map.org/api/v2/atlas_image_download/102125593?downsample=0&annotation=false&atlas=138322603,jpg,12000,27328,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
339,http://api.brain-map.org/api/v2/atlas_image_download/102125578?downsample=0&annotation=false&atlas=138322603,jpg,14816,29280,http://api.brain-map.org/api/v2/svg/102125578?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
353,http://api.brain-map.org/api/v2/atlas_image_download/102125564?downsample=0&annotation=false&atlas=138322603,jpg,17792,32128,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
365,http://api.brain-map.org/api/v2/atlas_image_download/102125607?downsample=0&annotation=false&atlas=138322603,jpg,11232,25376,http://api.brain-map.org/api/v2/svg/102125607?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
379,http://api.brain-map.org/api/v2/atlas_image_download/102125592?downsample=0&annotation=false&atlas=138322603,jpg,11616,25376,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
391,http://api.brain-map.org/api/v2/atlas_image_download/102125577?downsample=0&annotation=false&atlas=138322603,jpg,12000,26352,http://api.brain-map.org/api/v2/svg/102125577?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
405,http://api.brain-map.org/api/v2/atlas_image_download/102125563?downsample=0&annotation=false&atlas=138322603,jpg,17088,32128,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
417,http://api.brain-map.org/api/v2/atlas_image_download/102125606?downsample=0&annotation=false&atlas=138322603,jpg,16816,28272,http://api.brain-map.org/api/v2/svg/102125606?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
431,http://api.brain-map.org/api/v2/atlas_image_download/102125591?downsample=0&annotation=false&atlas=138322603,jpg,14176,32208,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
443,http://api.brain-map.org/api/v2/atlas_image_download/102125576?downsample=0&annotation=false&atlas=138322603,jpg,13024,26352,http://api.brain-map.org/api/v2/svg/102125576?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
457,http://api.brain-map.org/api/v2/atlas_image_download/102125562?downsample=0&annotation=false&atlas=138322603,jpg,17664,33104,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
469,http://api.brain-map.org/api/v2/atlas_image_download/102125605?downsample=0&annotation=false&atlas=138322603,jpg,15520,30256,http://api.brain-map.org/api/v2/svg/102125605?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
483,http://api.brain-map.org/api/v2/atlas_image_download/102125590?downsample=0&annotation=false&atlas=138322603,jpg,12640,27328,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
495,http://api.brain-map.org/api/v2/atlas_image_download/102125575?downsample=0&annotation=false&atlas=138322603,jpg,13280,30256,http://api.brain-map.org/api/v2/svg/102125575?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
509,http://api.brain-map.org/api/v2/atlas_image_download/102125561?downsample=0&annotation=false&atlas=138322603,jpg,16464,33104,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
521,http://api.brain-map.org/api/v2/atlas_image_download/102125604?downsample=0&annotation=false&atlas=138322603,jpg,13664,28304,http://api.brain-map.org/api/v2/svg/102125604?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
535,http://api.brain-map.org/api/v2/atlas_image_download/102125589?downsample=0&annotation=false&atlas=138322603,jpg,13024,28304,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
547,http://api.brain-map.org/api/v2/atlas_image_download/102125574?downsample=0&annotation=false&atlas=138322603,jpg,12768,32208,http://api.brain-map.org/api/v2/svg/102125574?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
561,http://api.brain-map.org/api/v2/atlas_image_download/102125560?downsample=0&annotation=false&atlas=138322603,jpg,17344,33104,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
573,http://api.brain-map.org/api/v2/atlas_image_download/102125603?downsample=0&annotation=false&atlas=138322603,jpg,15072,31232,http://api.brain-map.org/api/v2/svg/102125603?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
587,http://api.brain-map.org/api/v2/atlas_image_download/102125588?downsample=0&annotation=false&atlas=138322603,jpg,14816,32208,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
599,http://api.brain-map.org/api/v2/atlas_image_download/102125573?downsample=0&annotation=false&atlas=138322603,jpg,13920,34160,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
613,http://api.brain-map.org/api/v2/atlas_image_download/102125559?downsample=0&annotation=false&atlas=138322603,jpg,20352,33152,http://api.brain-map.org/api/v2/svg/102125559?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
625,http://api.brain-map.org/api/v2/atlas_image_download/102125602?downsample=0&annotation=false&atlas=138322603,jpg,15648,32208,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
639,http://api.brain-map.org/api/v2/atlas_image_download/102125587?downsample=0&annotation=false&atlas=138322603,jpg,13216,30256,http://api.brain-map.org/api/v2/svg/102125587?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
651,http://api.brain-map.org/api/v2/atlas_image_download/102125572?downsample=0&annotation=false&atlas=138322603,jpg,16944,33184,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
665,http://api.brain-map.org/api/v2/atlas_image_download/102125558?downsample=0&annotation=false&atlas=138322603,jpg,19488,37984,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
677,http://api.brain-map.org/api/v2/atlas_image_download/102125601?downsample=0&annotation=false&atlas=138322603,jpg,15008,31232,http://api.brain-map.org/api/v2/svg/102125601?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
691,http://api.brain-map.org/api/v2/atlas_image_download/102125586?downsample=0&annotation=false&atlas=138322603,jpg,17008,29280,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
703,http://api.brain-map.org/api/v2/atlas_image_download/102125571?downsample=0&annotation=false&atlas=138322603,jpg,20064,37008,http://api.brain-map.org/api/v2/svg/102125571?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
717,http://api.brain-map.org/api/v2/atlas_image_download/102125557?downsample=0&annotation=false&atlas=138322603,jpg,18800,36032,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
729,http://api.brain-map.org/api/v2/atlas_image_download/102125600?downsample=0&annotation=false&atlas=138322603,jpg,15840,33184,http://api.brain-map.org/api/v2/svg/102125600?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
743,http://api.brain-map.org/api/v2/atlas_image_download/102125585?downsample=0&annotation=false&atlas=138322603,jpg,17376,32016,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
755,http://api.brain-map.org/api/v2/atlas_image_download/102125570?downsample=0&annotation=false&atlas=138322603,jpg,14368,29280,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
769,http://api.brain-map.org/api/v2/atlas_image_download/102125556?downsample=0&annotation=false&atlas=138322603,jpg,21456,31152,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
781,http://api.brain-map.org/api/v2/atlas_image_download/102339628?downsample=0&annotation=false&atlas=138322603,jpg,16096,32208,http://api.brain-map.org/api/v2/svg/102339628?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
783,http://api.brain-map.org/api/v2/atlas_image_download/102141613?downsample=0&annotation=false&atlas=138322603,jpg,19056,31152,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
797,http://api.brain-map.org/api/v2/atlas_image_download/102141477?downsample=0&annotation=false&atlas=138322603,jpg,18224,35056,http://api.brain-map.org/api/v2/svg/102141477?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
809,http://api.brain-map.org/api/v2/atlas_image_download/102141458?downsample=0&annotation=false&atlas=138322603,jpg,19552,37008,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
823,http://api.brain-map.org/api/v2/atlas_image_download/102141449?downsample=0&annotation=false&atlas=138322603,jpg,20064,35056,http://api.brain-map.org/api/v2/svg/102141449?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
835,http://api.brain-map.org/api/v2/atlas_image_download/102141606?downsample=0&annotation=false&atlas=138322603,jpg,19296,36032,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
849,http://api.brain-map.org/api/v2/atlas_image_download/102141476?downsample=0&annotation=false&atlas=138322603,jpg,20624,36032,http://api.brain-map.org/api/v2/svg/102141476?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
861,http://api.brain-map.org/api/v2/atlas_image_download/102141457?downsample=0&annotation=false&atlas=138322603,jpg,18736,36032,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
875,http://api.brain-map.org/api/v2/atlas_image_download/102141448?downsample=0&annotation=false&atlas=138322603,jpg,22784,36032,http://api.brain-map.org/api/v2/svg/102141448?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
887,http://api.brain-map.org/api/v2/atlas_image_download/102141605?downsample=0&annotation=false&atlas=138322603,jpg,20256,38944,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
901,http://api.brain-map.org/api/v2/atlas_image_download/102141475?downsample=0&annotation=false&atlas=138322603,jpg,23920,40896,http://api.brain-map.org/api/v2/svg/102141475?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
913,http://api.brain-map.org/api/v2/atlas_image_download/102141456?downsample=0&annotation=false&atlas=138322603,jpg,21456,39920,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
927,http://api.brain-map.org/api/v2/atlas_image_download/102141447?downsample=0&annotation=false&atlas=138322603,jpg,23920,40896,http://api.brain-map.org/api/v2/svg/102141447?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
939,http://api.brain-map.org/api/v2/atlas_image_download/102141604?downsample=0&annotation=false&atlas=138322603,jpg,16864,40992,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
953,http://api.brain-map.org/api/v2/atlas_image_download/102141474?downsample=0&annotation=false&atlas=138322603,jpg,22720,39920,http://api.brain-map.org/api/v2/svg/102141474?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
965,http://api.brain-map.org/api/v2/atlas_image_download/102141455?downsample=0&annotation=false&atlas=138322603,jpg,21696,40896,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
979,http://api.brain-map.org/api/v2/atlas_image_download/102141446?downsample=0&annotation=false&atlas=138322603,jpg,20944,37008,http://api.brain-map.org/api/v2/svg/102141446?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
991,http://api.brain-map.org/api/v2/atlas_image_download/102141603?downsample=0&annotation=false&atlas=138322603,jpg,21200,34080,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
1005,http://api.brain-map.org/api/v2/atlas_image_download/102141473?downsample=0&annotation=false&atlas=138322603,jpg,19376,38064,http://api.brain-map.org/api/v2/svg/102141473?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
1017,http://api.brain-map.org/api/v2/atlas_image_download/102141454?downsample=0&annotation=false&atlas=138322603,jpg,22144,39920,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
1031,http://api.brain-map.org/api/v2/atlas_image_download/102141437?downsample=0&annotation=false&atlas=138322603,jpg,20320,37984,http://api.brain-map.org/api/v2/svg/102141437?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
1043,http://api.brain-map.org/api/v2/atlas_image_download/102141602?downsample=0&annotation=false&atlas=138322603,jpg,22208,37008,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
1057,http://api.brain-map.org/api/v2/atlas_image_download/102141472?downsample=0&annotation=false&atlas=138322603,jpg,22784,39920,http://api.brain-map.org/api/v2/svg/102141472?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
1069,http://api.brain-map.org/api/v2/atlas_image_download/102141463?downsample=0&annotation=false&atlas=138322603,jpg,19232,38944,,svg,https://atlas.brain-map.org/atlas?atlas=138322603&plate=None&zoom=-5
