"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Amygdala R",289.608,741,379.391,0.379391,834,1727,1165.74,1170,127.909
"Calcarine L",1605.38,5756,2947.06,2.94706,644,1961,1249.24,1243,187.3
"Calcarine R",1494.59,4820,2467.83,2.46783,629,1903,1230.35,1214,170.823
"Cuneus L",1113.52,3035,1553.91,1.55391,658,1771,1228.06,1228,193.449
"Cuneus R",1019.28,3013,1542.65,1.54265,688,1712,1213.12,1214,188.558
"Lingual L",2302.5,10571,5412.33,5.41233,541,1990,1258.42,1257,198.968
"Lingual R",2263.55,10583,5418.48,5.41848,614,2034,1243.63,1228,208.83
"Occipital Sup L",1374.26,4312,2207.74,2.20774,731,1785,1307.34,1316,182.646
"Occipital Sup R",1144.95,3811,1951.22,1.95122,688,1683,1266.6,1257,193.079
"Occipital Mid L",1769.97,7257,3715.57,3.71557,863,1946,1361.65,1360,177.06
"Occipital Mid R",1807.52,7594,3888.11,3.88811,805,1903,1380.99,1389,185.063
"Occipital Inf L",1253.77,3831,1961.46,1.96146,819,1800,1272.03,1257,172.726
"Occipital Inf R",1644.47,6105,3125.75,3.12575,717,1873,1320.45,1316,196.387
"Fusiform L",2374.98,10288,5267.44,5.26744,453,1946,1313.42,1316,248.286
"Fusiform R",2189.59,8407,4304.37,4.30437,424,1903,1288.89,1301,251.54
"Postcentral L",2254.2,8811,4511.22,4.51122,614,1961,1211.23,1199,169.329
"Postcentral R",2498.82,10796,5527.53,5.52753,541,1683,1214.03,1199,172.075
"Parietal Sup L",1503.9,5937,3039.73,3.03973,775,1800,1344.95,1331,189.448
"Parietal Sup R",1415.54,6071,3108.34,3.10834,834,1712,1298.33,1301,176.389
"Parietal Inf L",1267.38,4964,2541.56,2.54156,878,1800,1353,1331,177.427
"Parietal Inf R",1276.68,4722,2417.65,2.41765,892,1800,1353.6,1345,167.847
"SupraMarginal L",865.113,2754,1410.04,1.41004,761,1800,1342.94,1345,203.595
"SupraMarginal R",1244.78,4363,2233.85,2.23385,863,1771,1369.41,1375,168.987
"Angular L",1230.43,4366,2235.38,2.23538,892,1873,1375.05,1360,201.219
"Angular R",1034.42,3251,1664.51,1.66451,936,1859,1338.62,1331,166.012
"Precuneus L",2659.78,11918,6101.99,6.10199,541,1976,1303.64,1316,228.278
"Precuneus R",2517.29,11220,5744.62,5.74462,673,1903,1277.68,1272,210.797
"Paracentral Lobule L",1191.01,3999,2047.48,2.04748,570,1595,1164.36,1170,197.476
"Paracentral Lobule R",1237,4801,2458.1,2.4581,585,1654,1176.6,1184,200.612
"Caudate L",1172.79,2871,1469.95,1.46995,731,1990,1197.19,1214,169.639
"Caudate R",1108.38,2820,1443.83,1.44383,717,1946,1195.87,1214,167.125
"Putamen L",931.383,2885,1477.11,1.47711,1010,1478,1242.28,1243,85.6285
"Putamen R",986.947,3215,1646.07,1.64607,995,1537,1227.66,1228,78.7262
"Pallidum L",672.607,2028,1038.33,1.03833,878,1449,1197.09,1199,93.7769
"Pallidum R",638.081,1687,863.741,0.863741,892,1566,1185.05,1184,92.4884
"Thalamus L",1401.93,7229,3701.23,3.70123,600,1639,1219.12,1243,134.441
"Thalamus R",1383.45,7040,3604.47,3.60447,570,1624,1207.31,1214,130.685
"Heschl L",735.551,2105,1077.76,1.07776,673,1580,1151.49,1111,163.454
"Heschl R",623.021,1780,911.357,0.911357,526,1639,1170.56,1140,187.073
"Temporal Sup L",2057.38,8501,4352.5,4.3525,497,1815,1259.12,1272,216.695
"Temporal Sup R",2439.83,11370,5821.42,5.82142,468,1800,1259.56,1272,208.361
"Temporal Pole Sup L",860.373,2398,1227.77,1.22777,424,1844,1085.44,1067,320.929
"Temporal Pole Sup R",782.06,2034,1041.4,1.0414,351,1756,1015.57,994,316.279
"Temporal Mid L",2373.05,9810,5022.7,5.0227,644,1903,1290.15,1287,205.287
"Temporal Mid R",2427.89,9812,5023.73,5.02373,526,1756,1291.05,1301,223.326
"Temporal Pole Mid L",402.997,830,424.958,0.424958,380,1932,1131.78,1067,367.723
"Temporal Pole Mid R",408.998,1011,517.63,0.51763,395,1888,1138.89,1111,381.028
"Temporal Inf L",2271.88,9461,4844.01,4.84401,673,1815,1315.82,1331,221.416
"Temporal Inf R",1887.83,8179,4187.63,4.18763,512,1844,1275.61,1316,256.835
"CorpusCallosum",2369.27,4913,2515.45,2.51545,512,2400,1157.85,1111,208.092
"Lateral Ventricle L",2540.32,6163,3155.44,3.15544,936,3484,2312.36,2267,506.766
"Lateral Ventricle R",2565.6,6445,3299.83,3.29983,907,3484,2217.88,2180,461.605
"Midbrain L",893.59,3260,1669.11,1.66911,0,1683,1021.6,1067,219.522
"Midbrain R",946.529,3381,1731.07,1.73107,0,1624,1013.51,1052,212.464
"Pons L",478.951,1450,742.397,0.742397,614,1537,1080.78,1111,182.975
"Pons R",469.205,1424,729.085,0.729085,600,1522,1081.3,1126,186.699
"Medulla L",1095.42,3276,1677.31,1.67731,161,1859,862.691,877,260.994
"Medulla R",1039.86,3138,1606.65,1.60665,131,1785,865.475,877,251.451
"Cerebellum L",2612.63,12575,6438.38,6.43838,541,1815,1275.55,1287,145.081
"Cerebellum R",2501.81,13028,6670.31,6.67031,512,1903,1263,1272,145.409
"Vermis Ant L",397.329,1052,538.622,0.538622,512,1668,1136.3,1155,179.826
"Vermis Ant R",378.069,967,495.102,0.495102,512,1727,1118.86,1126,168.204
"Vermis Post L",1045.23,3324,1701.88,1.70188,190,1873,1145.32,1155,162.199
"Vermis Post R",990.942,2865,1466.87,1.46687,204,1844,1122.46,1126,164.349
"Vermis Cent L",299.687,793,406.014,0.406014,790,1815,1322.33,1331,141.229
"Vermis Cent R",375.785,1138,582.654,0.582654,819,2151,1275.24,1287,152.064
"Subthalamic Nuc L",95.5608,132,67.5837,0.0675837,834,1156,1016.95,1023,71.6057
"Subthalamic Nuc R",107.761,155,79.3597,0.0793597,849,1141,1027.01,1038,67.2673
"Hippocampal Comm",557.456,555,284.159,0.284159,1010,2869,1779.39,1697,351.005
"Fornix",627.937,1021,522.75,0.52275,365,1888,1004.92,979,305.507
"White Matter L",8521.57,30457,15593.9,15.5939,673,2093,1531.86,1521,189.626
"White Matter R",8612.61,30930,15836.1,15.8361,688,2034,1500.65,1506,182.966
"Internal Capsule L",1598.27,3787,1938.94,1.93894,673,1668,1333.92,1345,130.684
"Internal Capsule R",1721.56,4246,2173.94,2.17394,644,1610,1318.15,1331,132.085
"CSF",80307.3,232698,119141,119.141,0,3484,1889.45,1931,581.021
