"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Precentral L",2311.5,10939,5600.75,5.60075,585,1712,1267.55,1272,185.319
"Precentral R",2397.25,10765,5511.66,5.51166,556,1815,1278,1287,186.706
"Frontal Sup L",2764.26,10519,5385.71,5.38571,731,1859,1330.67,1345,198.165
"Frontal Sup R",2727.65,10197,5220.84,5.22084,658,1742,1303.47,1331,200.066
"Frontal Sup Orb L",1245.21,3484,1783.8,1.7838,322,1888,1318.64,1375,249.495
"Frontal Sup Orb R",1266.48,3871,1981.94,1.98194,497,1800,1302.61,1375,237.721
"Frontal Mid L",2863.27,14046,7191.52,7.19152,746,1932,1349.42,1360,188.734
"Frontal Mid R",2933.37,14603,7476.71,7.47671,790,1903,1345.2,1360,190.072
"Frontal Mid Orb L",1149.18,3384,1732.6,1.7326,658,1815,1253.36,1243,210.83
"Frontal Mid Orb R",1360.76,4950,2534.39,2.53439,717,1844,1311.45,1345,233.05
"Frontal Inf Oper L",909.393,3040,1556.47,1.55647,629,1785,1328.93,1375,206.159
"Frontal Inf Oper R",911.864,3335,1707.51,1.70751,556,1727,1318.84,1360,184.952
"Frontal Inf Tri L",880.547,3188,1632.25,1.63225,673,1815,1307.75,1331,188.635
"Frontal Inf Tri R",975.09,3615,1850.87,1.85087,585,1771,1275.69,1301,200.669
"Frontal Inf Orb L",1588.7,7106,3638.26,3.63826,439,1873,1295.38,1331,250.566
"Frontal Inf Orb R",1368.8,5496,2813.94,2.81394,512,1873,1241.87,1257,245.416
"Rolandic Oper L",1787.14,6942,3554.29,3.55429,600,1742,1262.65,1272,186.264
"Rolandic Oper R",1391.77,4331,2217.46,2.21746,468,1610,1266.23,1287,191.765
"Supp Motor Area L",1939.1,7940,4065.26,4.06526,600,1917,1290.48,1301,259.028
"Supp Motor Area R",1749.77,7490,3834.87,3.83487,644,1873,1284.4,1287,254.14
"Olfactory L",942.643,2483,1271.29,1.27129,629,1815,1261,1257,244.129
"Olfactory R",881.771,2306,1180.67,1.18067,570,1873,1258.07,1272,242.499
"Frontal Sup Medial L",1628.49,6047,3096.05,3.09605,702,1756,1310.39,1345,226.787
"Frontal Sup Medial R",1765.47,7561,3871.22,3.87122,673,1756,1323.51,1375,221.484
"Frontal Med Orb L",663.446,1730,885.757,0.885757,702,1624,1219.4,1243,189.886
"Frontal Med Orb R",598.834,1392,712.701,0.712701,746,1727,1219,1228,178.085
"Rectus L",953.542,2502,1281.02,1.28102,688,1742,1226.32,1243,235.037
"Rectus R",977.66,2561,1311.23,1.31123,688,1800,1230.73,1257,222.398
"Insula L",2034.88,6488,3321.84,3.32184,526,1932,1291.93,1301,232.364
"Insula R",2039.77,6051,3098.1,3.0981,541,1800,1251.02,1243,218.09
"Cingulum Ant L",1342.1,4586,2348.02,2.34802,878,1742,1299.56,1331,168.229
"Cingulum Ant R",1169.78,4002,2049.02,2.04902,878,1639,1288.03,1301,155.396
"Cingulum Mid L",1656.13,5924,3033.08,3.03308,834,2034,1328.65,1316,204.231
"Cingulum Mid R",1878.53,6946,3556.34,3.55634,673,1946,1320.32,1331,195.545
"Cingulum Post L",521.909,1257,643.582,0.643582,775,1932,1228.64,1170,228.247
"Cingulum Post R",527.706,1292,661.502,0.661502,805,1756,1226.43,1170,215.594
"Hippocampus L",1103.45,2447,1252.86,1.25286,541,1654,1078.01,1096,169.734
"Hippocampus R",1190.26,2636,1349.63,1.34963,556,1785,1039.1,1052,178.871
"ParaHippocampal L",1634.87,4678,2395.13,2.39513,424,1976,1180.9,1228,305.109
"ParaHippocampal R",1422.84,3932,2013.18,2.01318,365,2005,1141.69,1170,285.72
"Amygdala L",292.485,740,378.879,0.378879,790,1639,1190.77,1199,128.146
