"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Angular R",1070.06,3406,1743.87,1.74387,970,1816,1382.01,1380,158.885
"Precuneus L",2438.05,10854,5557.23,5.55723,671,1953,1347.31,1355,209.936
"Precuneus R",2278.93,10350,5299.18,5.29918,746,1953,1336.21,1342,198.831
"Paracentral Lobule L",1096.2,3888,1990.65,1.99065,647,1704,1234.23,1243,198.71
"Paracentral Lobule R",1085.55,4303,2203.13,2.20313,684,1654,1223.04,1230,186.711
"Caudate L",1181.74,2888,1478.65,1.47865,808,1679,1241.85,1255,148.775
"Caudate R",1129.64,2825,1446.39,1.44639,796,1829,1239.92,1255,154.454
"Putamen L",944.074,2950,1510.39,1.51039,1057,1667,1306.86,1317,90.134
"Putamen R",948.879,2906,1487.87,1.48787,1057,1530,1271.99,1280,76.7916
"Pallidum L",759.906,2260,1157.12,1.15712,945,1530,1240.54,1243,87.4038
"Pallidum R",702.309,1973,1010.17,1.01017,958,1505,1228.94,1230,82.4829
"Thalamus L",1347.58,7041,3604.98,3.60498,647,1605,1269.53,1280,127.289
"Thalamus R",1333.06,7035,3601.91,3.60191,721,1841,1259.06,1268,123.089
"Heschl L",722.583,2194,1123.32,1.12332,671,1667,1220.8,1193,168.891
"Heschl R",612.472,1800,921.597,0.921597,696,1630,1244.46,1218,181.886
"Temporal Sup L",2020.5,8200,4198.38,4.19838,584,1829,1305.14,1317,202.336
"Temporal Sup R",2242.93,9943,5090.8,5.0908,572,1816,1308.9,1330,200.165
"Temporal Pole Sup L",791.858,2272,1163.26,1.16326,485,1841,1145.42,1131,300.571
"Temporal Pole Sup R",816.26,2140,1095.68,1.09568,510,1791,1117.06,1106,302.942
"Temporal Mid L",2080.46,7689,3936.75,3.93675,759,1779,1330.86,1330,193.898
"Temporal Mid R",2351.43,9792,5013.49,5.01349,647,1804,1348.15,1355,202.066
"Temporal Pole Mid L",351.067,801,410.11,0.41011,485,1941,1187.07,1143,370.632
"Temporal Pole Mid R",395.37,1006,515.07,0.51507,497,1941,1193.01,1131,370.176
"Temporal Inf L",2245.82,10123,5182.96,5.18296,671,1829,1360.57,1380,206.974
"Temporal Inf R",1873.55,7715,3950.07,3.95007,597,1804,1333.39,1367,234.579
"CorpusCallosum",2340.1,4980,2549.75,2.54975,622,2662,1231.62,1181,237.806
"Lateral Ventricle L",2590.02,6598,3378.16,3.37816,1157,3484,2323.06,2288,488.163
"Lateral Ventricle R",2558.8,6363,3257.84,3.25784,920,3484,2254.26,2213,460.902
"Midbrain L",932.137,3301,1690.11,1.69011,49,1692,1093.67,1143,209.064
"Midbrain R",990.029,3441,1761.79,1.76179,87,1654,1086.78,1118,206.613
"Pons L",447.947,1393,713.213,0.713213,696,1592,1134.67,1168,173.861
"Pons R",481.128,1497,766.461,0.766461,684,1580,1134.12,1168,173.61
"Medulla L",1096.5,3163,1619.45,1.61945,273,1990,943.358,957,257.421
"Medulla R",1049.86,3062,1567.74,1.56774,236,1742,908.453,919,240.956
"Cerebellum L",2431.32,11404,5838.83,5.83883,858,1816,1331.42,1342,132.715
"Cerebellum R",2365.71,12166,6228.97,6.22897,684,1766,1317.78,1330,132.695
"Vermis Ant L",371.241,888,454.654,0.454654,671,1654,1198.12,1205,175.142
"Vermis Ant R",398.116,1009,516.606,0.516606,634,1642,1179.8,1193,165.467
"Vermis Post L",1005.85,3002,1537.02,1.53702,286,1766,1210.53,1218,149.079
"Vermis Post R",973.722,2824,1445.88,1.44588,273,1903,1168.46,1181,155.075
"Vermis Cent L",345.676,896,458.75,0.45875,871,1916,1358.61,1380,152.247
"Vermis Cent R",455.194,1183,605.694,0.605694,696,1903,1337.79,1355,159.312
"Subthalamic Nuc L",98.7959,146,74.7517,0.0747517,895,1206,1087.03,1093,69.4811
"Subthalamic Nuc R",115.123,164,83.9677,0.0839677,920,1194,1081.25,1093,60.8241
"Hippocampal Comm",285.848,284,145.407,0.145407,671,2463,1648.45,1641,252.034
"Fornix",656.791,1042,533.502,0.533502,460,1866,1092.83,1069,292.618
"White Matter L",8174.97,30013,15366.6,15.3666,796,2077,1574.2,1566,178.593
"White Matter R",8317.19,29239,14970.3,14.9703,759,2028,1542.9,1541,176.478
"Internal Capsule L",1667.93,3977,2036.22,2.03622,808,1791,1373.32,1392,127.233
"Internal Capsule R",1732.44,4052,2074.62,2.07462,709,1754,1371.35,1392,123.523
"CSF",77763.1,229375,117440,117.44,0,3484,1916.41,1964,579.066
