"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Precentral L",2263.84,10983,5623.27,5.62327,721,1717,1311.42,1317,173.934
"Precentral R",2198.4,10659,5457.39,5.45739,671,1717,1337.69,1355,175.2
"Frontal Sup L",2529.16,9263,4742.64,4.74264,796,1853,1372.52,1380,194.985
"Frontal Sup R",2547.47,9715,4974.06,4.97406,759,1779,1348.96,1367,187.479
"Frontal Sup Orb L",1281.61,4101,2099.7,2.0997,609,1916,1378.19,1429,226.121
"Frontal Sup Orb R",1215.76,3918,2006.01,2.00601,696,1829,1361.09,1429,218.847
"Frontal Mid L",2828.89,13414,6867.94,6.86794,871,1941,1390.75,1405,180.952
"Frontal Mid R",2757.59,14335,7339.49,7.33949,821,1953,1394.13,1405,180.868
"Frontal Mid Orb L",930.704,2955,1512.95,1.51295,759,1841,1331.13,1342,212.93
"Frontal Mid Orb R",1126.65,4145,2122.23,2.12223,734,1866,1350.23,1380,228.163
"Frontal Inf Oper L",966.177,3364,1722.36,1.72236,684,1791,1360.88,1392,184.284
"Frontal Inf Oper R",885.045,3415,1748.47,1.74847,659,1779,1366.71,1417,179.109
"Frontal Inf Tri L",995.791,3252,1665.02,1.66502,783,1766,1333.08,1342,178.54
"Frontal Inf Tri R",868.418,3197,1636.86,1.63686,746,1779,1302.81,1317,182.906
"Frontal Inf Orb L",1348.1,5720,2928.63,2.92863,535,1866,1335.34,1367,239.172
"Frontal Inf Orb R",1331.55,5337,2732.53,2.73253,634,1878,1302.5,1330,235.387
"Rolandic Oper L",1557.34,6363,3257.84,3.25784,684,1754,1320.72,1342,179.817
"Rolandic Oper R",1087.14,3241,1659.39,1.65939,622,1630,1289.69,1293,178.56
"Supp Motor Area L",1745.5,6958,3562.48,3.56248,671,1903,1326.5,1317,242.786
"Supp Motor Area R",1690.91,6636,3397.62,3.39762,721,1829,1327.24,1330,245.255
"Olfactory L",928.437,2382,1219.58,1.21958,659,2090,1307.12,1293,239.268
"Olfactory R",952.277,2244,1148.92,1.14892,709,1941,1304,1305,235.575
"Frontal Sup Medial L",1649.5,7195,3683.83,3.68383,796,1766,1352.5,1380,215.188
"Frontal Sup Medial R",1740.33,7748,3966.96,3.96696,796,1804,1367.53,1405,209.727
"Frontal Med Orb L",549.733,1477,756.221,0.756221,821,1580,1287.21,1317,172.507
"Frontal Med Orb R",555.467,1373,702.973,0.702973,846,1630,1291.16,1330,174.223
"Rectus L",959.726,2362,1209.34,1.20934,759,1816,1266.29,1268,226.431
"Rectus R",1034.41,2767,1416.7,1.4167,771,1791,1275.99,1293,214.548
"Insula L",1959.25,5769,2953.72,2.95372,634,1853,1313.02,1317,211.03
"Insula R",1979.58,6170,3159.03,3.15903,609,1804,1299.49,1305,204.628
"Cingulum Ant L",1195,4283,2192.89,2.19289,958,1766,1340.4,1367,155.515
"Cingulum Ant R",1164.91,4142,2120.7,2.1207,883,1667,1326.99,1342,153.026
"Cingulum Mid L",1518.9,5073,2597.37,2.59737,958,1978,1369.66,1355,188.392
"Cingulum Mid R",1773.06,6096,3121.14,3.12114,821,1941,1364.58,1380,191.673
"Cingulum Post L",666.336,2010,1029.12,1.02912,871,1866,1324.6,1305,212.392
"Cingulum Post R",742.553,2298,1176.57,1.17657,895,1891,1303.64,1268,211.373
"Hippocampus L",1063.07,2340,1198.08,1.19808,634,1816,1142.89,1156,179.335
"Hippocampus R",1169.03,2603,1332.73,1.33273,634,1754,1104.5,1118,180.262
"ParaHippocampal L",1558.25,4446,2276.34,2.27634,510,1965,1220.38,1255,290.321
"ParaHippocampal R",1452.16,4134,2116.6,2.1166,535,2003,1194.56,1218,266.805
"Amygdala L",298.616,742,379.903,0.379903,883,1754,1241.22,1243,118.245
"Amygdala R",313.361,814,416.766,0.416766,895,1692,1225.14,1230,114.354
"Calcarine L",1597.94,5989,3066.36,3.06636,833,1853,1303.53,1293,175.729
"Calcarine R",1511.16,5083,2602.49,2.60249,696,1791,1273.9,1268,163.12
"Cuneus L",1267.09,3307,1693.18,1.69318,771,1816,1295.62,1305,194.364
"Cuneus R",1213.44,3110,1592.31,1.59231,696,1742,1269.82,1268,175.551
"Lingual L",2332.67,10476,5363.69,5.36369,597,1829,1303.92,1305,194.743
"Lingual R",2183.35,9838,5037.04,5.03704,647,1866,1307.82,1293,190.169
"Occipital Sup L",1210.78,3520,1802.23,1.80223,858,1742,1345.03,1355,178.361
"Occipital Sup R",1219.42,3999,2047.48,2.04748,709,1754,1323.84,1330,185.876
"Occipital Mid L",1723.89,7062,3615.73,3.61573,883,1816,1398.86,1405,166.541
"Occipital Mid R",1615.94,6513,3334.64,3.33464,920,1841,1430.11,1442,170.729
"Occipital Inf L",1205.29,3842,1967.1,1.9671,908,1791,1338.37,1330,162.263
"Occipital Inf R",1600.99,5577,2855.41,2.85541,908,1853,1364.43,1342,186.849
"Fusiform L",2329.87,9958,5098.48,5.09848,535,1965,1356.54,1367,234.56
"Fusiform R",2276.54,9651,4941.29,4.94129,572,1903,1340.8,1342,236.197
"Postcentral L",2076.82,8285,4241.9,4.2419,759,1742,1261.14,1243,162.37
"Postcentral R",2229.13,10035,5137.9,5.1379,622,1729,1268.42,1255,168.101
"Parietal Sup L",1540.53,6616,3387.38,3.38738,771,1816,1371.09,1367,179.361
"Parietal Sup R",1577.23,6813,3488.24,3.48824,833,1742,1334.31,1330,163.953
"Parietal Inf L",1291.31,4904,2510.84,2.51084,1007,1766,1382.79,1355,159.271
"Parietal Inf R",1451.15,5676,2906.1,2.9061,920,1766,1394.08,1392,152.801
"SupraMarginal L",1164.01,4094,2096.12,2.09612,821,1878,1388.37,1367,199.387
"SupraMarginal R",1294.61,4955,2536.95,2.53695,871,1841,1401.26,1405,156.186
"Angular L",1211.76,4380,2242.55,2.24255,958,1866,1378.65,1367,171.9
