"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Hippocampus L",871.686,2033,1040.89,1.04089,1396,2256,1704.37,1705,119.38
"Hippocampus R",965.86,2275,1164.8,1.1648,1396,2101,1710.73,1705,120.761
"Amygdala L",168.893,338,173.055,0.173055,1551,1904,1746.15,1748,62.6949
"Amygdala R",164.378,338,173.055,0.173055,1551,1932,1750.96,1762,71.9006
"Caudate L",991.754,2316,1185.79,1.18579,1340,2383,1780.19,1790,136.651
"Caudate R",937.527,2201,1126.91,1.12691,1410,2299,1815.47,1832,127.386
"Putamen L",977.554,4170,2135.03,2.13503,1608,2144,1824.16,1818,78.7392
"Putamen R",968.934,4037,2066.94,2.06694,1593,2158,1842.58,1846,82.5665
"Thalamus L",1096.58,4772,2443.25,2.44325,1466,2129,1806.71,1804,85.6408
"Thalamus R",1111.01,4798,2456.57,2.45657,1537,2129,1831.97,1832,83.2852
"CorpusCallosum",1874.3,3251,1664.51,1.66451,1368,2355,1733.59,1705,131.003
"Lateral Ventricle L",2328.95,5934,3038.2,3.0382,1749,3484,2584.48,2566,331.262
"Lateral Ventricle R",2327.08,5987,3065.33,3.06533,1734,3484,2605.71,2580,312.194
"Midbrain L",2758.65,11986,6136.81,6.13681,437,2327,1628.53,1649,206.657
"Cerebellum L",1873.21,10621,5437.93,5.43793,1340,2327,1916.2,1931,119.816
"Cerebellum R",1836.89,10564,5408.75,5.40875,1269,2369,1928.49,1931,123.744
"Subthalamic Nuc L",109.316,172,88.0637,0.0880637,1608,1805,1713.14,1719,47.733
"Subthalamic Nuc R",103.014,153,78.3357,0.0783357,1622,1805,1721.44,1719,45.5222
"Hippocampal Comm",876.734,1124,575.486,0.575486,1608,3258,2295.65,2241,318.537
"Fornix",517.614,797,408.062,0.408062,1340,2115,1676.96,1649,155.854
"Cortical Plate L",30233.2,84915,43476.3,43.4763,1198,2412,1714.55,1705,143.155
"Cortical Plate R",29651.4,83284,42641.2,42.6412,1142,2327,1717.45,1719,141.422
"White Matter L",17844.4,100966,51694.4,51.6944,1368,2496,2066.49,2058,115.842
"White Matter R",17744.1,100710,51563.3,51.5633,1509,2496,2082.03,2086,117
"Internal Capsule L",1418.84,2253,1153.53,1.15353,1509,2158,1909.89,1917,86.9997
"Internal Capsule R",1517.12,2636,1349.63,1.34963,1593,2200,1937.52,1945,88.5803
"CSF",61846.7,213341,109230,109.23,0,3484,2462.76,2580,548.132
