"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Hippocampus L",1064.84,2487,1273.34,1.27334,1244,1932,1551.36,1550,111.765
"Hippocampus R",1147.26,2587,1324.54,1.32454,1200,1932,1545.59,1550,115.282
"Amygdala L",145.827,294,150.527,0.150527,1405,1727,1578.25,1594,71.1033
"Amygdala R",166.598,345,176.639,0.176639,1361,1712,1571.93,1579,73.6056
"Caudate L",1225.52,3020,1546.23,1.54623,1346,2444,1655.63,1653,119.49
"Caudate R",1200.4,2923,1496.57,1.49657,1361,2122,1651.72,1667,105.369
"Putamen L",1055.08,4329,2216.44,2.21644,1390,1932,1635.44,1638,81.8126
"Putamen R",1085.77,4596,2353.14,2.35314,1376,1932,1635.91,1638,78.1389
"Thalamus L",1298.63,6553,3355.12,3.35512,1288,2078,1653.08,1653,97.7585
"Thalamus R",1244.91,6299,3225.08,3.22508,1346,2078,1657.27,1667,94.1924
"CorpusCallosum",2217.22,3680,1884.15,1.88415,1244,2342,1597.81,1565,135.412
"Lateral Ventricle L",2426.57,6063,3104.24,3.10424,1522,3484,2586.34,2575,388.162
"Lateral Ventricle R",2355.36,5828,2983.92,2.98392,1624,3484,2504.47,2458,340.333
"Midbrain L",3209.76,14632,7491.56,7.49156,365,2122,1456.86,1477,192.79
"Cerebellum L",2374.08,15084,7722.98,7.72298,849,2356,1761.93,1770,133.161
"Cerebellum R",2407.7,15304,7835.62,7.83562,878,2342,1747.96,1755,127.935
"Subthalamic Nuc L",85.5209,125,63.9998,0.0639998,1346,1624,1493.26,1492,61.1915
"Subthalamic Nuc R",92.5043,132,67.5837,0.0675837,1376,1610,1494.67,1492,53.7578
"Hippocampal Comm",740.689,891,456.19,0.45619,1215,3220,2015.64,1989,340.771
"Fornix",569.548,904,462.846,0.462846,1215,2181,1596.73,1550,195.237
"Cortical Plate L",40726.3,112815,57761.1,57.7611,922,2210,1609.86,1609,117.425
"Cortical Plate R",40134.7,112474,57586.5,57.5865,0,2225,1609.76,1609,117.356
"White Matter L",25565.5,126725,64883,64.883,1273,2400,1913.51,1902,121.922
"White Matter R",25231.4,127354,65205,65.205,1332,2459,1904.68,1902,118.171
"Internal Capsule L",1445.11,3218,1647.61,1.64761,1376,2078,1763.54,1770,93.9716
"Internal Capsule R",1556.07,3623,1854.97,1.85497,1273,2064,1762.8,1770,101.118
"CSF",74697.8,235085,120363,120.363,0,3484,2266.61,2326,563.235
