"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Hippocampus L",910.043,2097,1073.66,1.07366,1368,2146,1684.68,1678,115.478
"Hippocampus R",1021.7,2360,1208.32,1.20832,1368,2099,1682.44,1678,120.075
"Amygdala L",176.613,371,189.951,0.189951,1524,1881,1721.53,1725,65.619
"Amygdala R",186.116,392,200.703,0.200703,1493,1850,1726.9,1741,74.3813
"Caudate L",1054.36,2457,1257.98,1.25798,1399,2504,1752.08,1756,119.463
"Caudate R",999.463,2350,1203.2,1.2032,1399,2301,1778.61,1787,126.678
"Putamen L",1007.42,4084,2091,2.091,1570,2006,1779.58,1787,70.7825
"Putamen R",1029.19,4353,2228.73,2.22873,1570,2193,1806.45,1803,83.019
"Thalamus L",1150.87,5228,2676.73,2.67673,1399,2270,1779.69,1787,88.7344
"Thalamus R",1156.54,5091,2606.58,2.60658,1524,2084,1800.35,1803,83.0922
"CorpusCallosum",1951.74,3593,1839.61,1.83961,1306,2286,1723.19,1678,146.071
"Lateral Ventricle L",2302.79,5501,2816.5,2.8165,1664,3421,2536.22,2503,323.336
"Lateral Ventricle R",2315.26,5775,2956.79,2.95679,1757,3484,2572.39,2549,312.709
"Midbrain L",2836.2,12345,6320.62,6.32062,404,2441,1608.64,1632,199.012
"Cerebellum L",1988.99,11606,5942.25,5.94225,1275,2317,1876.43,1880,114.758
"Cerebellum R",1972.35,11635,5957.1,5.9571,1135,2379,1883.54,1896,120.688
"Subthalamic Nuc L",117.943,191,97.7916,0.0977916,1555,1804,1677.48,1678,52.7293
"Subthalamic Nuc R",115.652,183,93.6956,0.0936956,1570,1788,1691.3,1694,48.5159
"Hippocampal Comm",807.211,1098,562.174,0.562174,1555,3219,2303.79,2238,324.551
"Fornix",547.102,876,448.51,0.44851,1415,2193,1683.73,1663,149.398
"Cortical Plate L",32434.9,94420,48342.9,48.3429,342,2348,1705.38,1709,133.146
"Cortical Plate R",31758.5,92697,47460.7,47.4607,948,2395,1713.44,1709,131.619
"White Matter L",19393.3,103910,53201.7,53.2017,1399,2488,2015.36,2005,106.137
"White Matter R",19179.3,103240,52858.7,52.8587,1446,2597,2029.84,2020,108.238
"Internal Capsule L",1355.2,2603,1332.73,1.33273,1617,2084,1888.68,1896,76.731
"Internal Capsule R",1504.86,2918,1494.01,1.49401,1570,2115,1905.07,1912,85.9923
"CSF",64134.4,214188,109664,109.664,0,3484,2383.09,2487,545.998
