"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Precentral L",964.412,3132,1603.58,1.60358,1239,2361,1791.11,1857,247.31
"Precentral R",913.054,3197,1636.86,1.63686,1248,2550,1885.5,1992,260.684
"Frontal Sup L",1350.49,3506,1795.07,1.79507,1409,2334,1854.79,1911,209.143
"Frontal Sup R",1142.6,2887,1478.14,1.47814,1418,2442,1880.24,1911,220.682
"Frontal Sup Orb L",619.807,1274,652.286,0.652286,1113,2568,1937.23,1992,176.234
"Frontal Sup Orb R",630.839,1458,746.493,0.746493,727,2451,1940.88,2001,199.385
"Frontal Mid L",1330.06,4470,2288.63,2.28863,1302,2316,1839.71,1920,210.518
"Frontal Mid R",1297.22,4757,2435.57,2.43557,1284,2496,1896.7,1983,240.337
"Frontal Mid Orb L",535.751,1260,645.118,0.645118,1230,2280,1751.92,1723,192.533
"Frontal Mid Orb R",624.81,1667,853.501,0.853501,844,2388,1832.46,1857,238.015
"Frontal Inf Oper L",341.293,907,464.382,0.464382,1230,2280,1790.49,1911,250.638
"Frontal Inf Oper R",337.968,845,432.638,0.432638,1239,2262,1870.65,2001,274.766
"Frontal Inf Tri L",348.098,897,459.262,0.459262,1266,2262,1728.57,1758,256.202
"Frontal Inf Tri R",354.445,885,453.118,0.453118,1194,2478,1703.34,1678,312.205
"Frontal Inf Orb L",639.54,1776,909.309,0.909309,1284,2577,1825.11,1902,221.729
"Frontal Inf Orb R",550.772,1550,793.597,0.793597,1319,2774,1797.51,1812,249.683
"Rolandic Oper L",682.3,2370,1213.44,1.21344,1194,2262,1855.45,1938,267.919
"Rolandic Oper R",556.807,1561,799.229,0.799229,1185,2406,1864.31,1956,288.257
"Supp Motor Area L",839.953,2340,1198.08,1.19808,1382,2334,1834.21,1821,242.027
"Supp Motor Area R",773.418,2389,1223.16,1.22316,1391,2316,1843.35,1893,250.958
"Olfactory L",545.794,1266,648.19,0.64819,1346,2235,1823.24,1821,150.174
"Olfactory R",523.245,1168,598.014,0.598014,1418,2298,1812.12,1803,158.4
"Frontal Sup Medial L",937.942,3280,1679.35,1.67935,1445,2514,1915.48,1947,213.628
"Frontal Sup Medial R",993.963,3616,1851.39,1.85139,1409,2388,1914.97,1956,216.139
"Frontal Med Orb L",167.484,251,128.512,0.128512,1436,2092,1818.67,1839,169.288
"Frontal Med Orb R",103.674,123,62.9758,0.0629758,1508,2083,1719.21,1714,127.482
"Rectus L",504.812,1078,551.934,0.551934,1463,2253,1808.68,1803,167.364
"Rectus R",613.977,1493,764.413,0.764413,1418,2244,1792.21,1785,170.371
"Insula L",840.459,1656,847.869,0.847869,1293,2173,1637.49,1624,167.442
"Insula R",807.134,1593,815.613,0.815613,1230,2343,1647.18,1633,175.867
"Cingulum Ant L",654.862,1732,886.781,0.886781,1517,2101,1810.86,1830,131.208
"Cingulum Ant R",704.544,1898,971.772,0.971772,1490,2155,1798.02,1812,138.864
"Cingulum Mid L",743.188,1920,983.036,0.983036,1355,2379,1840.34,1875,159.715
"Cingulum Mid R",805.562,2326,1190.91,1.19091,1364,2217,1828.2,1875,169.797
"Cingulum Post L",317.029,652,333.823,0.333823,1427,1993,1692.61,1678,105.37
"Cingulum Post R",372.13,767,392.703,0.392703,1463,2083,1697.29,1678,119.317
"Hippocampus L",628.06,1327,679.421,0.679421,1310,2047,1637.3,1633,145.735
"Hippocampus R",717.259,1488,761.853,0.761853,1328,2074,1621.22,1615,144.589
"ParaHippocampal L",791.127,1887,966.14,0.96614,1275,2181,1696.24,1678,195.411
"ParaHippocampal R",718.79,1702,871.421,0.871421,1302,2280,1709.22,1705,187.846
"Amygdala L",198.304,384,196.607,0.196607,1580,1876,1720.61,1714,61.8603
"Amygdala R",205.831,414,211.967,0.211967,1562,1858,1729.82,1732,62.9011
"Calcarine L",726.57,2116,1083.39,1.08339,1158,2406,1794.96,1866,246.59
"Calcarine R",668.047,1877,961.02,0.96102,1212,2262,1731,1776,254.576
"Cuneus L",467.512,1000,511.998,0.511998,1140,2262,1551.77,1507,254.456
"Cuneus R",398.988,841,430.59,0.43059,1185,2190,1561.03,1498,235.095
"Lingual L",1212.53,4782,2448.37,2.44837,1113,2307,1740.01,1803,243.836
"Lingual R",1061.28,4049,2073.08,2.07308,1185,2424,1737.83,1794,242.054
"Occipital Sup L",659.63,1628,833.533,0.833533,1176,2208,1739.08,1785,268.85
"Occipital Sup R",684.923,1735,888.317,0.888317,1158,2487,1771.19,1857,265.484
"Occipital Mid L",900.869,2538,1299.45,1.29945,1158,2379,1785.86,1884,265.794
"Occipital Mid R",934.999,3162,1618.94,1.61894,1194,2505,1842.06,1920,240.654
"Occipital Inf L",571.814,1199,613.886,0.613886,1158,2424,1550.05,1498,230.813
"Occipital Inf R",814.317,2243,1148.41,1.14841,1176,2379,1669.51,1660,272.251
"Fusiform L",1224.39,3986,2040.82,2.04082,1176,2361,1809.93,1866,235.27
"Fusiform R",1171.2,3792,1941.5,1.9415,1221,2298,1813.11,1866,226.118
"Postcentral L",904.587,2770,1418.23,1.41823,1176,2289,1765.43,1749,275.057
"Postcentral R",907.441,3035,1553.91,1.55391,1248,2343,1824.63,1839,287.669
"Parietal Sup L",746.534,2419,1238.52,1.23852,1194,2370,1858.87,1974,282.765
"Parietal Sup R",770.378,2397,1227.26,1.22726,1203,2361,1842.7,1956,299.991
"Parietal Inf L",512.097,1435,734.717,0.734717,1212,2613,1746.02,1785,268.719
"Parietal Inf R",595.408,1719,880.125,0.880125,1284,2487,1734.62,1732,270.177
"SupraMarginal L",449.563,1285,657.918,0.657918,1203,2289,1813.92,1929,272.669
"SupraMarginal R",459.746,1251,640.51,0.64051,1140,2693,1809.87,1902,296.374
"Angular L",595.304,1613,825.853,0.825853,1185,2613,1667.27,1642,294.013
"Angular R",523.872,1219,624.126,0.624126,1194,2181,1591.94,1543,252.344
"Precuneus L",1258.81,4487,2297.34,2.29734,1122,2316,1791.52,1857,277.093
"Precuneus R",1225.3,4567,2338.3,2.3383,1122,2334,1794.14,1875,267.602
"Paracentral Lobule L",347.181,836,428.03,0.42803,1284,2352,1765.55,1714,270.895
"Paracentral Lobule R",440.266,1084,555.006,0.555006,1319,2460,1777.94,1749,272.513
"Caudate L",801.199,1340,686.077,0.686077,1122,1984,1630.21,1642,178.199
"Caudate R",767.136,1353,692.733,0.692733,1113,2047,1653.17,1669,190.033
"Putamen L",699.395,2550,1305.6,1.3056,1607,2092,1832.17,1830,67.3334
"Putamen R",675.549,2497,1278.46,1.27846,1598,2101,1838.9,1839,71.8198
"Thalamus L",649.428,2191,1121.79,1.12179,1571,1984,1785.01,1776,79.2685
"Thalamus R",645.984,2128,1089.53,1.08953,1571,2011,1803.81,1803,81.3492
"Heschl L",287.248,609,311.807,0.311807,1221,2343,1621.71,1579,188.524
"Heschl R",234.959,469,240.127,0.240127,1185,2137,1631.15,1588,190.803
"Temporal Sup L",807.089,2286,1170.43,1.17043,1140,2343,1770.5,1857,300.879
"Temporal Sup R",917.243,3016,1544.19,1.54419,1113,2361,1803.68,1911,302.266
"Temporal Pole Sup L",371.344,789,403.966,0.403966,1185,2289,1635.77,1588,255.371
"Temporal Pole Sup R",364.87,736,376.831,0.376831,1212,2307,1643.22,1588,260.95
"Temporal Mid L",1136.79,3183,1629.69,1.62969,1086,2460,1657.97,1660,325.344
"Temporal Mid R",1114.95,3457,1769.98,1.76998,1131,2460,1696.79,1732,324.521
"Temporal Pole Mid L",206.999,395,202.239,0.202239,1284,2289,1790.82,1812,289.086
"Temporal Pole Mid R",207.978,411,210.431,0.210431,1275,2280,1798,1803,294.365
"Temporal Inf L",1038.52,3277,1677.82,1.67782,1158,2316,1718.34,1767,290.783
"Temporal Inf R",971.119,3056,1564.67,1.56467,1185,2478,1730.24,1767,273.301
"CorpusCallosum",1247.6,2246,1149.95,1.14995,1436,2280,1689.31,1651,144.052
"Lateral Ventricle L",1780.65,4587,2348.54,2.34854,1688,3160,2518.97,2504,280.545
"Lateral Ventricle R",1706.47,4401,2253.3,2.2533,1670,3187,2522.37,2504,281.738
"Midbrain L",627.698,1779,910.845,0.910845,835,2289,1675.49,1687,168.063
"Midbrain R",672.399,1916,980.988,0.980988,862,2271,1679.26,1687,178.711
"Pons L",307.772,738,377.855,0.377855,1463,2110,1693.28,1696,109.824
"Pons R",319.85,761,389.631,0.389631,1400,2029,1664.55,1669,121.404
"Medulla L",639.833,1423,728.573,0.728573,323,2083,1459.9,1489,241.119
"Medulla R",689.952,1619,828.925,0.828925,332,2164,1440.77,1471,259.572
"Cerebellum L",967.955,3107,1590.78,1.59078,1508,2361,1902.91,1902,111.963
"Cerebellum R",941.413,3096,1585.15,1.58515,1526,2496,1889.55,1884,108.7
"Vermis Ant L",188.294,346,177.151,0.177151,1409,2137,1864.97,1875,151.038
"Vermis Ant R",169.709,293,150.015,0.150015,1499,2155,1885.05,1884,117.053
"Vermis Post L",389.818,798,408.574,0.408574,1508,2002,1761.3,1767,97.4972
"Vermis Post R",435.883,915,468.478,0.468478,1400,2289,1728.77,1732,113.664
"Vermis Cent L",160.911,236,120.832,0.120832,1715,2146,1928.06,1929,78.9596
"Vermis Cent R",195.6,317,162.303,0.162303,1697,2146,1916.55,1911,83.121
"Subthalamic Nuc L",65.4386,82,41.9838,0.0419838,1652,1777,1716.34,1714,32.6418
"Subthalamic Nuc R",73.2582,97,49.6638,0.0496638,1625,1813,1716.26,1714,41.476
"Hippocampal Comm",491.454,650,332.799,0.332799,1481,3008,2167.2,2163,289.222
"Fornix",439.406,653,334.335,0.334335,1212,2110,1608.86,1588,183.128
"White Matter L",6377.07,29864,15290.3,15.2903,1499,2343,1940.08,1956,111.365
"White Matter R",6019.18,28405,14543.3,14.5433,1463,2352,1964,1983,119.136
"Internal Capsule L",1021.32,1686,863.229,0.863229,1589,2181,1879,1884,98.4212
"Internal Capsule R",1003.98,1683,861.693,0.861693,1634,2217,1887.87,1884,106.209
"CSF",41539.5,127554,65307.4,65.3074,323,3484,2521.94,2629,501.254
"misc",491.219,499,255.487,0.255487,1562,2155,1799.71,1785,115.989
