"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Precentral L",1054.46,3610,1848.31,1.84831,1250,2390,1832.68,1917,261.566
"Precentral R",988.106,3496,1789.95,1.78995,1306,2826,1952.4,2046,263.447
"Frontal Sup L",1360.07,3510,1797.11,1.79711,1426,2446,1904.95,1963,232.42
"Frontal Sup R",1164.04,2970,1520.63,1.52063,1473,2492,1919.56,1935,230.245
"Frontal Sup Orb L",638.336,1383,708.093,0.708093,1519,2529,2013.71,2065,163.375
"Frontal Sup Orb R",649.719,1509,772.605,0.772605,1510,2353,2021.54,2074,158.735
"Frontal Mid L",1422.36,4942,2530.29,2.53029,1306,2640,1900.86,1991,230.787
"Frontal Mid R",1407.94,5385,2757.11,2.75711,1334,2613,1961.83,2065,245.341
"Frontal Mid Orb L",556.849,1352,692.221,0.692221,1325,2446,1820.99,1787,217.85
"Frontal Mid Orb R",642.297,1804,923.645,0.923645,1417,2538,1916.72,1972,237.307
"Frontal Inf Oper L",371.688,1007,515.582,0.515582,1260,2455,1848.6,1963,255.35
"Frontal Inf Oper R",346.169,863,441.854,0.441854,1287,2409,1917.38,2037,276.532
"Frontal Inf Tri L",396.793,1026,525.31,0.52531,1297,2381,1784.69,1824,276.928
"Frontal Inf Tri R",385.625,989,506.366,0.506366,1278,2613,1789.95,1768,313.299
"Frontal Inf Orb L",687.275,2037,1042.94,1.04294,1334,2687,1888.46,1963,224.583
"Frontal Inf Orb R",588.461,1781,911.869,0.911869,1380,2816,1889.21,1926,257.366
"Rolandic Oper L",735.88,2451,1254.91,1.25491,1213,2742,1918.76,1981,259.99
"Rolandic Oper R",547.622,1454,744.445,0.744445,1269,2575,1877.8,1926,283.004
"Supp Motor Area L",861.432,2495,1277.44,1.27744,1389,2436,1901.09,1898,268.389
"Supp Motor Area R",805.277,2489,1274.36,1.27436,1445,2372,1898.54,1935,249.723
