"Segment","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Thalamus L",1230,629.758,0.629758,1409.7,2297.48,1788.16,1771.28,148.75
"Thalamus R",1303,667.133,0.667133,1529.2,2339.23,1790.39,1778.83,120.177
"Heschl L",230,117.76,0.11776,1297.59,2103.3,1639.14,1603.25,229.494
"Heschl R",108,55.2958,0.0552958,1280.89,1982.01,1589.01,1559.7,172.679
"Temporal Sup L",634,324.607,0.324607,1135.22,2209.21,1716.46,1736.35,286.469
"Temporal Sup R",959,491.006,0.491006,1154.18,2260.74,1754.2,1752.67,303.907
"Temporal Pole Sup L",299,153.087,0.153087,1472.94,2266.74,1768.59,1738.05,173.537
"Temporal Pole Sup R",299,153.087,0.153087,1349.14,2343.65,1698.12,1668.39,189.212
"Temporal Mid L",1080,552.958,0.552958,1223.91,2220.13,1758.41,1774.42,244.424
"Temporal Mid R",1240,634.878,0.634878,1232.06,2482.19,1734.63,1715.08,244.334
"Temporal Pole Mid L",169,86.5277,0.0865277,1471.24,2405.71,1832.69,1829.19,204.798
"Temporal Pole Mid R",190,97.2796,0.0972796,1464.96,2321.08,1840.12,1823.71,194.208
"Temporal Inf L",1301,666.109,0.666109,1282.59,2234.18,1774.66,1785.27,209.226
"Temporal Inf R",1113,569.854,0.569854,1315.86,2264.83,1796.12,1816.85,215.455
"CorpusCallosum",852,436.222,0.436222,1264.16,2234.41,1521.97,1504.5,114.42
"Lateral Ventricle L",2927,1498.62,1.49862,1489.99,3385.3,2460.58,2427.95,314.357
"Lateral Ventricle R",2854,1461.24,1.46124,1620.03,3331.62,2465.38,2419.65,304.925
"Midbrain L",1059,542.206,0.542206,985.27,1951.47,1584.47,1597.66,158.135
"Midbrain R",1063,544.254,0.544254,998.047,2214.77,1615.91,1622.18,163.947
"Pons L",375,191.999,0.191999,1389.76,1997.73,1644.4,1630.58,116.514
"Pons R",372,190.463,0.190463,1468.34,1924.7,1652.32,1639.99,96.795
"Medulla L",712,364.543,0.364543,951.711,1921.45,1480.89,1490.94,171.822
"Medulla R",798,408.574,0.408574,845.962,1893.88,1493.16,1509.07,164.65
"Cerebellum L",898,459.774,0.459774,1488.62,2258.24,1832.91,1817.33,146.28
"Cerebellum R",928,475.134,0.475134,1543.52,2343.84,1860.72,1841.21,136.782
"Vermis Ant L",124,63.4878,0.0634878,1516.42,2084.13,1821.57,1834.03,127.453
"Vermis Ant R",104,53.2478,0.0532478,1533.63,2065.9,1809.33,1807.6,135.542
"Vermis Post L",396,202.751,0.202751,1514.86,1888.84,1701.6,1704.49,66.0711
"Vermis Post R",508,260.095,0.260095,1506.41,1984.8,1696.24,1690.03,70.3846
