"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Hippocampus L",587.04,1146,586.75,0.58675,1266,1970,1603.52,1598,137.603
"Hippocampus R",633.13,1279,654.846,0.654846,1275,1960,1598.13,1598,138.884
"Amygdala L",94.9436,160,81.9197,0.0819197,1561,1770,1669.87,1674,52.4291
"Amygdala R",98.5689,160,81.9197,0.0819197,1542,1789,1692.34,1702,56.2104
"Caudate L",739.616,1298,664.574,0.664574,1047,2065,1590.19,1598,198.323
"Caudate R",692.446,1271,650.75,0.65075,999,2037,1611.4,1636,217.404
"Putamen L",605.907,2066,1057.79,1.05779,1570,1989,1803.11,1807,63.7171
"Putamen R",605.699,2085,1067.52,1.06752,1551,1979,1819.43,1826,68.8032
"Thalamus L",623.541,2127,1089.02,1.08902,1523,2246,1761.89,1750,96.2329
"Thalamus R",645.52,2150,1100.8,1.1008,1532,2246,1792.27,1788,98.2329
"CorpusCallosum",1392.64,2055,1052.16,1.05216,1380,2132,1620.06,1598,100.039
"Lateral Ventricle L",1640.49,4235,2168.31,2.16831,1722,3179,2485.76,2464,299.602
"Lateral Ventricle R",1593.12,4156,2127.86,2.12786,1742,3226,2510.22,2483,290.249
"Midbrain L",1944.74,7718,3951.6,3.9516,580,2018,1562.13,1598,209.086
"Cerebellum L",915.741,3794,1942.52,1.94252,1389,2141,1818.62,1826,126.871
"Cerebellum R",914.763,3796,1943.54,1.94354,1380,2160,1825.66,1826,127.094
"Subthalamic Nuc L",48.9651,60,30.7199,0.0307199,1637,1742,1685.38,1683,27.1394
"Subthalamic Nuc R",55.7886,71,36.3519,0.0363519,1637,1770,1701.92,1702,34.4946
"Hippocampal Comm",476.535,579,296.447,0.296447,1484,2855,2156.8,2150,260.241
"Fornix",397.854,618,316.415,0.316415,1142,1989,1534.61,1541,168.695
"Cortical Plate L",15478.4,34495,17661.4,17.6614,342,1989,1539.62,1550,172.774
"Cortical Plate R",15248.9,33843,17327.6,17.3276,0,2065,1549.34,1550,178.212
"Subplate L",10768.9,25422,13016,13.016,1599,2303,1974.89,1978,96.5724
"Subplate R",10862.1,25288,12947.4,12.9474,1580,2370,2013.68,2017,107.3
"Inter Zone L",6823.75,24692,12642.3,12.6423,1608,2294,1927.3,1931,78.6789
"Inter Zone R",6823.13,25095,12848.6,12.8486,1589,2341,1960.91,1959,86.5342
"Vent Zone L",3669.51,6872,3518.45,3.51845,1380,2160,1749.8,1741,118.543
"Vent Zone R",3529.28,7030,3599.35,3.59935,1399,2151,1761.02,1750,118.187
"Internal Capsule L",994.44,1750,895.997,0.895997,1589,2141,1850.46,1855,92.4469
"Internal Capsule R",918.708,1672,856.061,0.856061,1561,2160,1869.39,1874,102.242
"CSF",37397.3,121237,62073.1,62.0731,466,3484,2454.42,2550,496.428
"misc",429.403,399,204.287,0.204287,1627,2103,1813.39,1798,98.9215
