"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Hippocampus L",437.178,779,398.847,0.398847,1183,1924,1528.92,1510,142.97
"Hippocampus R",483.618,876,448.51,0.44851,1183,1934,1552.36,1538,136.761
"Amygdala L",95.2675,130,66.5598,0.0665598,1511,1742,1635.75,1644,55.7588
"Amygdala R",90.2445,114,58.3678,0.0583678,1559,1780,1688.1,1692,48.6892
"Caudate L",608.351,1068,546.814,0.546814,875,1992,1458.18,1481,209.461
"Caudate R",580.054,1043,534.014,0.534014,914,1992,1477.13,1490,230.51
"Putamen L",410.389,1221,625.15,0.62515,1568,3349,1764.24,1760,87.0948
"Putamen R",429.21,1330,680.957,0.680957,1578,2030,1802.68,1798,72.1018
"Thalamus L",436.855,1175,601.598,0.601598,1434,2098,1731.06,1712,114.688
"Thalamus R",497.55,1424,729.085,0.729085,1520,2088,1768.3,1760,103.16
"CorpusCallosum",907.461,1265,647.678,0.647678,1299,2146,1575.61,1558,130.449
"Lateral Ventricle L",1173.6,2795,1431.03,1.43103,1742,3310,2434.77,2405,299.765
"Lateral Ventricle R",1152.59,2837,1452.54,1.45254,1684,3339,2448.16,2405,300.309
"Midbrain L",1377.79,4872,2494.45,2.49445,856,1972,1554.09,1577,178.614
"Cerebellum L",583.757,1952,999.42,0.99942,1462,2078,1774.62,1769,118.469
"Cerebellum R",594.824,1996,1021.95,1.02195,1482,2107,1794.47,1789,113.438
"Subthalamic Nuc L",50.9811,56,28.6719,0.0286719,1588,1703,1648.07,1644,31.1494
"Subthalamic Nuc R",50.8842,61,31.2319,0.0312319,1616,1722,1682.95,1683,27.323
"Hippocampal Comm",393.505,447,228.863,0.228863,1559,2925,2069.36,2029,232.58
"Fornix",331.19,502,257.023,0.257023,972,2011,1491.12,1500,205.601
"Cortical Plate L",10219.9,19816,10145.8,10.1458,346,2300,1534.78,1538,181.706
"Cortical Plate R",10218.6,20078,10279.9,10.2799,0,2021,1546.72,1558,179.644
"Subplate L",6906.12,16500,8447.97,8.44797,1491,2319,1963.98,1962,110.635
"Subplate R",6930.23,16427,8410.59,8.41059,1491,2290,1985.22,1991,116.653
"Inter Zone L",4406.98,11153,5710.31,5.71031,1347,2242,1825.35,1827,112.983
"Inter Zone R",4393.73,11530,5903.34,5.90334,1385,2280,1866.22,1856,109.434
"Vent Zone L",2432.79,3871,1981.94,1.98194,1289,2078,1670.05,1654,133.115
"Vent Zone R",2517.43,4199,2149.88,2.14988,1308,2098,1701.01,1692,124.432
"Internal Capsule L",660.598,950,486.398,0.486398,1376,2059,1763.57,1750,104.162
"Internal Capsule R",599.84,753,385.535,0.385535,1443,2040,1801.8,1789,98.6848
"CSF",25530.1,75935,38878.6,38.8786,346,3484,2409.59,2501,575.319
"misc",295.123,337,172.543,0.172543,1559,2040,1791.19,1789,92.18
