"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Hippocampus L",1098.9,2367,1211.9,1.2119,541,1522,1069.44,1082,162.479
"Hippocampus R",1186.73,2577,1319.42,1.31942,556,1551,1034.32,1052,170.626
"Amygdala L",169.206,326,166.911,0.166911,819,1361,1127.2,1140,108.948
"Amygdala R",189.779,385,197.119,0.197119,834,1288,1119.06,1140,100.663
"Caudate L",1164.78,2827,1447.42,1.44742,731,1712,1191.66,1214,163.903
"Caudate R",1103.02,2787,1426.94,1.42694,717,1698,1191.47,1214,162.264
"Putamen L",1098.37,4911,2514.42,2.51442,878,1478,1223.72,1228,91.7042
"Putamen R",1113.23,4920,2519.03,2.51903,892,1566,1213.34,1214,86.3307
"Thalamus L",1403.32,7142,3656.69,3.65669,614,1566,1221.78,1243,131.331
"Thalamus R",1395.37,6967,3567.09,3.56709,731,1624,1211.73,1228,125.365
"CorpusCallosum",1870.11,3107,1590.78,1.59078,614,1961,1149.72,1111,189.677
"Lateral Ventricle L",2417.37,5969,3056.12,3.05612,1185,3484,2335.23,2297,496.764
"Lateral Ventricle R",2486.43,6305,3228.15,3.22815,907,3484,2231.9,2194,455.466
"Midbrain L",3552.81,16049,8217.06,8.21706,0,1683,958.618,979,239.94
"Cerebellum L",2716.05,17943,9186.78,9.18678,190,1873,1247.21,1257,160.137
"Cerebellum R",2708.11,18119,9276.89,9.27689,234,2151,1236.02,1243,159.82
"Subthalamic Nuc L",99.3019,134,68.6077,0.0686077,834,1156,1016.51,1023,71.1615
"Subthalamic Nuc R",107.761,155,79.3597,0.0793597,849,1141,1027.01,1038,67.2673
"Hippocampal Comm",821.869,1052,538.622,0.538622,512,3000,1718.87,1682,456.403
"Fornix",630.971,1027,525.822,0.525822,365,1888,1004.17,979,305.308
"Cortical Plate L",45721.4,132008,67587.8,67.5878,380,1873,1142.55,1155,155.705
"Cortical Plate R",46132.8,129406,66255.6,66.2556,351,1903,1132.45,1140,161.076
"White Matter L",29016.2,128274,65676,65.676,644,2093,1494.76,1492,137.86
"White Matter R",30100,132287,67730.7,67.7307,644,2034,1472.36,1462,135.117
"Internal Capsule L",1591.87,3760,1925.11,1.92511,790,1654,1334.86,1345,130.002
"Internal Capsule R",1694.05,4140,2119.67,2.11967,717,1610,1324.42,1345,123.914
"CSF",79623.4,232301,118938,118.938,0,3484,1889.32,1931,582.281
