"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Precentral L",574.804,1469,752.125,0.752125,1358,2339,1875.39,1878,240.909
"Precentral R",519.585,1420,727.037,0.727037,1369,2452,1926.69,1981,239.44
"Frontal Sup L",732.178,1504,770.045,0.770045,1501,2319,1909.71,1909,160.757
"Frontal Sup R",691.974,1404,718.845,0.718845,1532,2554,1907.28,1889,172.18
"Frontal Sup Orb L",295.869,520,266.239,0.266239,1277,2217,1975.29,2011,142.575
"Frontal Sup Orb R",313.424,540,276.479,0.276479,1358,2329,1980.23,2001,153.977
"Frontal Mid L",770.378,1988,1017.85,1.01785,1542,2360,1931.2,1940,129.655
"Frontal Mid R",839.276,2324,1189.88,1.18988,1491,2278,1904.77,1919,163.181
"Frontal Mid Orb L",303.995,518,265.215,0.265215,1062,2472,1905.22,1909,198.051
"Frontal Mid Orb R",343.648,611,312.831,0.312831,1164,2278,1886.8,1889,172.899
"Frontal Inf Oper L",177.932,351,179.711,0.179711,1348,2257,1828.6,1858,242.73
"Frontal Inf Oper R",165.679,296,151.551,0.151551,1297,2309,1822.01,1858,259.51
"Frontal Inf Tri L",179.479,354,181.247,0.181247,1358,2247,1785.15,1766,217.398
"Frontal Inf Tri R",165.63,299,153.087,0.153087,1328,2217,1652.17,1623,176.096
"Frontal Inf Orb L",307.766,605,309.759,0.309759,1450,2452,1847.02,1858,187.774
"Frontal Inf Orb R",290.722,600,307.199,0.307199,1420,2339,1780.38,1766,190.952
"Rolandic Oper L",375.342,878,449.534,0.449534,1266,2360,1926.49,2011,299.776
"Rolandic Oper R",194.444,355,181.759,0.181759,1246,2482,1775.8,1786,288.956
"Supp Motor Area L",454.219,1058,541.694,0.541694,1266,2503,1771.65,1766,237.626
"Supp Motor Area R",459.741,1167,597.502,0.597502,1236,2635,1805.71,1827,234.879
"Olfactory L",339.208,674,345.087,0.345087,1430,2196,1746.32,1746,138.744
"Olfactory R",332.781,629,322.047,0.322047,1430,2114,1734.67,1725,136.774
"Frontal Sup Medial L",566.922,1589,813.565,0.813565,1379,2390,1885.96,1909,201.766
"Frontal Sup Medial R",614.957,1722,881.661,0.881661,1399,2574,1915.51,1940,205.001
"Frontal Med Orb L",116.484,164,83.9677,0.0839677,1552,2135,1897.73,1930,158.399
"Frontal Med Orb R",108.511,145,74.2397,0.0742397,1471,2217,1771.88,1776,156.516
"Rectus L",292.783,537,274.943,0.274943,1338,2288,1826.71,1827,130.874
"Rectus R",345.686,666,340.991,0.340991,1348,2217,1838.8,1838,146.983
"Insula L",470.957,865,442.878,0.442878,1297,2247,1684.18,1695,155.554
"Insula R",463.478,950,486.398,0.486398,1226,2237,1669.48,1674,174.215
"Cingulum Ant L",471.143,1002,513.022,0.513022,1420,2135,1747.46,1735,159.185
"Cingulum Ant R",449.085,910,465.918,0.465918,1369,2114,1733.44,1725,170.378
"Cingulum Mid L",453.657,1072,548.862,0.548862,1358,2104,1729.05,1715,185.865
"Cingulum Mid R",515.221,1340,686.077,0.686077,1338,2125,1744.38,1746,188.796
"Cingulum Post L",259.354,490,250.879,0.250879,1328,2063,1615.56,1613,144.411
"Cingulum Post R",277.024,499,255.487,0.255487,1369,2053,1627.44,1613,136.407
"Hippocampus L",441.42,827,423.422,0.423422,1123,2074,1508.82,1480,169.397
"Hippocampus R",507.827,928,475.134,0.475134,1174,2176,1531.05,1511,148.971
"ParaHippocampal L",463.84,901,461.31,0.46131,1185,2074,1650.66,1633,149.213
"ParaHippocampal R",431.159,765,391.679,0.391679,1317,2268,1671.45,1664,144.264
"Amygdala L",127.746,165,84.4797,0.0844797,1450,1777,1665.44,1664,66.1608
"Amygdala R",123.071,164,83.9677,0.0839677,1512,1839,1701.51,1705,62.1396
"Calcarine L",380.837,803,411.134,0.411134,1287,2319,1726.56,1735,177.223
"Calcarine R",358.094,765,391.679,0.391679,1256,2114,1644.1,1654,167.867
"Cuneus L",287.52,515,263.679,0.263679,1215,2196,1550.92,1511,179.548
"Cuneus R",243.343,407,208.383,0.208383,1205,1890,1486.89,1460,139.249
"Lingual L",691.717,2044,1046.52,1.04652,1103,2503,1633.09,1633,203.535
"Lingual R",580.782,1714,877.565,0.877565,1195,2196,1652.84,1654,185.065
"Occipital Sup L",367.804,691,353.791,0.353791,1287,2400,1685.54,1664,225.517
"Occipital Sup R",339.637,666,340.991,0.340991,1287,2063,1735.94,1776,205.902
"Occipital Mid L",384.001,758,388.095,0.388095,1389,2441,1784.43,1776,168.076
"Occipital Mid R",479.55,1222,625.662,0.625662,1430,2145,1781.36,1786,165.967
"Occipital Inf L",377.437,622,318.463,0.318463,1409,2431,1709.36,1695,158.525
"Occipital Inf R",472.073,964,493.566,0.493566,1440,2544,1756.93,1725,155.981
"Fusiform L",748.122,1981,1014.27,1.01427,1307,2288,1739.34,1746,169.523
"Fusiform R",703.195,1882,963.58,0.96358,1379,2339,1757.91,1766,146.985
"Postcentral L",532.689,1326,678.909,0.678909,1215,2360,1857.26,1878,288.779
"Postcentral R",552.264,1510,773.117,0.773117,1164,2400,1890.62,1919,284.456
"Parietal Sup L",473.857,1271,650.75,0.65075,1277,2452,1826.33,1899,266.499
"Parietal Sup R",475.009,1181,604.67,0.60467,1266,2278,1806.23,1848,263.331
"Parietal Inf L",320.098,740,378.879,0.378879,1236,2421,1786.19,1776,268.963
"Parietal Inf R",360.171,823,421.374,0.421374,1287,2339,1750.14,1715,262.97
