"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Precentral L",2147.35,10735,5496.3,5.4963,1346,2239,1730.94,1726,154.966
"Precentral R",2069.05,10129,5186.03,5.18603,1258,2078,1749.37,1755,157.686
"Frontal Sup L",2430.82,8916,4564.97,4.56497,1376,2327,1779.99,1770,180.438
"Frontal Sup R",2330.4,8538,4371.44,4.37144,1302,2268,1752.46,1741,174.737
"Frontal Sup Orb L",1121.1,3424,1753.08,1.75308,995,2166,1835.13,1887,201.783
"Frontal Sup Orb R",1131.08,3608,1847.29,1.84729,922,2166,1811.93,1858,194.172
"Frontal Mid L",2645.09,12924,6617.06,6.61706,1376,2239,1792.57,1814,153.664
"Frontal Mid R",2736.09,13951,7142.89,7.14289,1376,2195,1803.07,1814,159.543
"Frontal Mid Orb L",957.797,2839,1453.56,1.45356,1332,2210,1746.82,1741,196.774
"Frontal Mid Orb R",1140.5,4313,2208.25,2.20825,1346,2254,1802.65,1843,209.691
"Frontal Inf Oper L",826.075,3175,1625.59,1.62559,1346,2181,1764.36,1799,150.607
"Frontal Inf Oper R",809.199,3237,1657.34,1.65734,1273,2137,1754.37,1784,152.105
"Frontal Inf Tri L",826.417,2990,1530.87,1.53087,1361,2122,1749.31,1755,160.721
"Frontal Inf Tri R",785.819,2733,1399.29,1.39929,1346,2064,1723.5,1711,152.848
"Frontal Inf Orb L",1337.44,5864,3002.36,3.00236,951,2166,1778.81,1799,199.038
"Frontal Inf Orb R",1252.83,5323,2725.37,2.72537,980,2195,1733.5,1741,200.975
"Rolandic Oper L",1378.75,5681,2908.66,2.90866,1273,2166,1727.8,1741,165.298
"Rolandic Oper R",1096.25,3450,1766.39,1.76639,1185,2137,1707.88,1711,168.912
"Supp Motor Area L",1712.08,6908,3536.88,3.53688,1317,2356,1755.24,1741,218.322
"Supp Motor Area R",1571.69,6591,3374.58,3.37458,1332,2283,1771.15,1755,226.783
"Olfactory L",874.737,2390,1223.68,1.22368,1317,2093,1722.99,1711,177.952
"Olfactory R",882.59,2202,1127.42,1.12742,1302,2166,1717.4,1697,175.957
"Frontal Sup Medial L",1478.92,6157,3152.37,3.15237,1361,2239,1793.23,1799,197.004
"Frontal Sup Medial R",1540.73,6856,3510.26,3.51026,1361,2239,1800.61,1814,197.812
"Frontal Med Orb L",520.957,1284,657.406,0.657406,1361,2078,1684.85,1682,158.078
"Frontal Med Orb R",431.57,814,416.766,0.416766,1361,2049,1642.7,1623,139.836
"Rectus L",854.997,2331,1193.47,1.19347,1302,2151,1728.98,1741,175.509
"Rectus R",933.459,2554,1307.64,1.30764,1361,2151,1732.5,1741,167.936
"Insula L",1793.3,5629,2882.04,2.88204,1244,2151,1696.57,1697,178.507
"Insula R",1829.23,5788,2963.44,2.96344,1185,2107,1682.03,1682,170.727
"Cingulum Ant L",1125.01,4086,2092.02,2.09202,1390,2005,1704.46,1726,132.277
"Cingulum Ant R",1162.42,4267,2184.7,2.1847,1405,1961,1699.09,1711,120.052
"Cingulum Mid L",1515.18,5275,2700.79,2.70079,1332,2225,1725.21,1726,148.929
"Cingulum Mid R",1721.19,6393,3273.2,3.2732,1390,2254,1718.96,1726,145.553
"Cingulum Post L",495.892,1316,673.789,0.673789,1361,2122,1670.03,1638,165.575
"Cingulum Post R",548.393,1483,759.293,0.759293,1361,2049,1656.38,1638,148.892
"Hippocampus L",1052.26,2624,1343.48,1.34348,1244,2064,1563.75,1565,127.922
"Hippocampus R",1134.9,2737,1401.34,1.40134,1200,1961,1556.29,1550,127.402
"ParaHippocampal L",1489.26,4446,2276.34,2.27634,1112,2386,1649.93,1667,230.289
"ParaHippocampal R",1354.25,4008,2052.09,2.05209,1141,2298,1651,1653,212.429
"Amygdala L",271.968,679,347.647,0.347647,1405,1932,1620.09,1623,84.2556
"Amygdala R",279.28,750,383.999,0.383999,1361,2137,1611.83,1609,96.565
"Calcarine L",1315.58,5226,2675.7,2.6757,1229,2254,1741.49,1726,171.076
"Calcarine R",1360.68,5089,2605.56,2.60556,1156,2122,1699.32,1682,160.428
"Cuneus L",1099.75,3083,1578.49,1.57849,1229,2312,1696.18,1682,199.157
"Cuneus R",849.552,2415,1236.48,1.23648,1273,2239,1657.94,1623,169.776
"Lingual L",2215.62,10645,5450.22,5.45022,1200,2400,1721.92,1711,183.675
"Lingual R",2080.57,9962,5100.52,5.10052,1156,2415,1717.76,1711,173.127
"Occipital Sup L",1193.53,3958,2026.49,2.02649,1317,2195,1741.86,1755,156.851
"Occipital Sup R",1094.86,4022,2059.26,2.05926,1332,2210,1736.29,1741,166.584
"Occipital Mid L",1619.31,7058,3613.68,3.61368,1434,2298,1820.24,1828,163.002
"Occipital Mid R",1683.16,6960,3563.51,3.56351,1434,2225,1811.98,1828,153.661
"Occipital Inf L",1130.41,3551,1818.11,1.81811,1419,2386,1752.87,1726,164.698
"Occipital Inf R",1455.29,5294,2710.52,2.71052,1346,2195,1772.1,1755,171.797
"Fusiform L",2191.83,10028,5134.32,5.13432,1171,2356,1794.02,1814,215.618
"Fusiform R",2012.71,8563,4384.24,4.38424,1185,2327,1772.51,1784,196.839
"Postcentral L",1936.89,8477,4340.21,4.34021,1361,2166,1700.24,1682,148.05
"Postcentral R",2029.09,9595,4912.62,4.91262,1273,2254,1713.83,1697,154.843
"Parietal Sup L",1386.78,6037,3090.93,3.09093,1434,2166,1783.72,1784,169.268
"Parietal Sup R",1422.4,6542,3349.49,3.34949,1317,2107,1780.64,1784,151.392
"Parietal Inf L",1078.8,3965,2030.07,2.03007,1478,2195,1788.31,1770,144.906
"Parietal Inf R",1266.37,4854,2485.24,2.48524,1463,2122,1787.98,1784,136.677
"SupraMarginal L",913.548,3315,1697.27,1.69727,1376,2181,1802.08,1799,189.886
"SupraMarginal R",1136.92,4521,2314.74,2.31474,1449,2151,1810.96,1799,149.356
"Angular L",1112.13,4184,2142.2,2.1422,1463,2181,1800.68,1784,154.148
"Angular R",966.405,2939,1504.76,1.50476,1493,2093,1765.56,1755,129.176
"Precuneus L",2245.38,10548,5400.56,5.40056,1229,2181,1744.78,1741,190.238
"Precuneus R",2129.22,9827,5031.41,5.03141,1244,2268,1738.39,1741,180.321
"Paracentral Lobule L",927.217,3346,1713.15,1.71315,1258,2078,1654.27,1653,162.717
"Paracentral Lobule R",1030.88,4075,2086.39,2.08639,1288,2093,1666.96,1638,165.241
"Caudate L",1225.52,3020,1546.23,1.54623,1346,2444,1655.63,1653,119.49
"Caudate R",1200.4,2923,1496.57,1.49657,1361,2122,1651.72,1667,105.369
"Putamen L",1055.08,4329,2216.44,2.21644,1390,1932,1635.44,1638,81.8126
"Putamen R",1085.53,4595,2352.63,2.35263,1376,1932,1635.94,1638,78.1189
"Thalamus L",1291.83,6532,3344.37,3.34437,1288,2078,1653.05,1653,97.812
"Thalamus R",1244.09,6297,3224.05,3.22405,1346,2078,1657.32,1667,94.1649
"Heschl L",635.801,1725,883.197,0.883197,1273,1961,1594.6,1565,140.014
"Heschl R",537.251,1568,802.813,0.802813,1302,2020,1620.53,1579,155.348
"Temporal Sup L",1827.62,7994,4092.91,4.09291,1156,2137,1717.49,1726,180.455
"Temporal Sup R",1982.23,8791,4500.98,4.50098,1127,2181,1721.84,1741,181.406
"Temporal Pole Sup L",741.284,2156,1103.87,1.10387,1185,2283,1653.17,1638,256.997
"Temporal Pole Sup R",735.594,2063,1056.25,1.05625,1112,2268,1604.04,1579,258.076
"Temporal Mid L",1977.48,7820,4003.82,4.00382,1229,2225,1747.13,1726,201.809
"Temporal Mid R",2201.48,8815,4513.26,4.51326,1244,2298,1769.34,1770,193.488
"Temporal Pole Mid L",376.562,977,500.222,0.500222,1156,2386,1732.75,1682,334.108
"Temporal Pole Mid R",390.148,1051,538.11,0.53811,1200,2356,1719.92,1667,328.518
"Temporal Inf L",2056.67,8957,4585.97,4.58597,1302,2312,1793.97,1828,206.265
"Temporal Inf R",1678.27,7482,3830.77,3.83077,1273,2239,1779.74,1799,206.924
"CorpusCallosum",2123.93,4007,2051.58,2.05158,1244,2342,1602.13,1579,128.046
"Lateral Ventricle L",2399.44,5971,3057.14,3.05714,1522,3484,2594.01,2590,385.872
"Lateral Ventricle R",2330.53,5739,2938.36,2.93836,1624,3484,2511.37,2472,337.974
"Midbrain L",887.246,3109,1591.8,1.5918,614,2283,1517.45,1521,164.084
"Midbrain R",895.2,3192,1634.3,1.6343,658,2107,1510.03,1521,163.372
"Pons L",454.589,1326,678.909,0.678909,1288,2078,1567.79,1579,120.444
"Pons R",473.591,1428,731.133,0.731133,1288,1961,1560.82,1579,120.359
"Medulla L",982.96,2785,1425.91,1.42591,336,2181,1382.35,1375,228.56
"Medulla R",993.663,2988,1529.85,1.52985,336,2034,1338.22,1345,217.988
"Cerebellum L",2189.07,10933,5597.67,5.59767,1376,2283,1797.5,1799,95.5373
"Cerebellum R",2146.75,11137,5702.12,5.70212,1273,2195,1778.42,1770,93.339
"Vermis Ant L",348.082,815,417.278,0.417278,1156,2137,1645.03,1653,169.663
"Vermis Ant R",353.524,887,454.142,0.454142,1156,2181,1643.24,1638,149.49
"Vermis Post L",789.88,2316,1185.79,1.18579,995,2064,1623.03,1638,130.947
"Vermis Post R",818.832,2360,1208.32,1.20832,878,2005,1600.41,1609,143.275
"Vermis Cent L",277.433,624,319.487,0.319487,1507,2181,1834.94,1828,97.8949
"Vermis Cent R",355.171,928,475.134,0.475134,1537,2093,1826.16,1828,106.669
"Subthalamic Nuc L",103.912,174,89.0877,0.0890877,1346,1624,1501.59,1506,57.9407
"Subthalamic Nuc R",123.218,195,99.8396,0.0998396,1376,1610,1505.07,1506,55.8893
"Hippocampal Comm",731.929,876,448.51,0.44851,1215,3220,2021.81,2004,339.859
"Fornix",568.499,903,462.334,0.462334,1215,2181,1596.59,1550,195.297
"White Matter L",9060.77,35683,18269.6,18.2696,1302,2400,1924,1931,154.652
"White Matter R",9324.64,35064,17952.7,17.9527,1317,2459,1913.59,1916,149.481
"Internal Capsule L",1438.33,3204,1640.44,1.64044,1376,2078,1764.79,1770,92.1447
"Internal Capsule R",1555.7,3604,1845.24,1.84524,1273,2064,1764.26,1770,99.0401
"CSF",73844.4,221964,113645,113.645,0,3484,2288.47,2370,571.951
