"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Precentral L",635.109,1837,940.54,0.94054,1184,2228,1812.15,1836,232.732
"Precentral R",631.781,1892,968.7,0.9687,1144,2429,1853.86,1946,264.049
"Frontal Sup L",919.264,2222,1137.66,1.13766,1275,2279,1816.6,1826,184.468
"Frontal Sup R",800.242,1839,941.564,0.941564,1335,2319,1817.76,1806,194.88
"Frontal Sup Orb L",335.865,600,307.199,0.307199,1485,2329,1934.59,1956,109.936
"Frontal Sup Orb R",366.323,714,365.567,0.365567,1465,2158,1932.91,1956,135.663
"Frontal Mid L",933.079,2682,1373.18,1.37318,1425,2319,1824.31,1846,150.662
"Frontal Mid R",936.937,2995,1533.43,1.53343,1335,2419,1835.34,1886,205.07
"Frontal Mid Orb L",384.779,758,388.095,0.388095,1255,2259,1743.03,1715,172.272
"Frontal Mid Orb R",453.333,1031,527.87,0.52787,1224,2349,1789.79,1796,204.58
"Frontal Inf Oper L",234.255,507,259.583,0.259583,1204,2138,1749.18,1826,249.422
"Frontal Inf Oper R",231.179,485,248.319,0.248319,1054,2188,1812.5,1946,299.673
"Frontal Inf Tri L",219.066,473,242.175,0.242175,1245,2238,1685.91,1645,218.78
"Frontal Inf Tri R",248.606,539,275.967,0.275967,1204,2138,1675.6,1635,279.163
"Frontal Inf Orb L",414.961,1012,518.142,0.518142,1275,2319,1776.6,1826,209.28
"Frontal Inf Orb R",377.951,885,453.118,0.453118,1255,2580,1752.58,1756,239.759
"Rolandic Oper L",468.758,1302,666.621,0.666621,1144,2249,1810.18,1926,309.388
"Rolandic Oper R",340.759,845,432.638,0.432638,1114,2269,1748.91,1836,321.304
"Supp Motor Area L",544.561,1434,734.205,0.734205,1204,2419,1798.24,1826,263.517
"Supp Motor Area R",525.525,1486,760.829,0.760829,1265,2399,1806.15,1856,261.364
"Olfactory L",383.781,743,380.415,0.380415,1335,2198,1773.15,1766,140.2
"Olfactory R",369.779,749,383.487,0.383487,1355,2178,1757.44,1756,165.769
"Frontal Sup Medial L",663.342,2078,1063.93,1.06393,1325,2600,1831.72,1856,214.042
"Frontal Sup Medial R",739.153,2332,1193.98,1.19398,1365,2399,1861.29,1896,224.332
"Frontal Med Orb L",125.502,184,94.2076,0.0942076,1516,2299,1821.62,1866,164.527
"Frontal Med Orb R",96.4678,148,75.7757,0.0757757,1546,2128,1817.33,1776,167.818
"Rectus L",362.326,680,348.159,0.348159,1385,2349,1775.27,1776,153.335
"Rectus R",423.204,883,452.094,0.452094,1395,2168,1756.39,1735,175.068
"Insula L",548.586,974,498.686,0.498686,1224,2068,1616.33,1625,163.192
"Insula R",541.325,1006,515.07,0.51507,1084,2098,1602.94,1595,192.801
"Cingulum Ant L",496.558,1115,570.878,0.570878,1435,2108,1762.63,1766,141.993
"Cingulum Ant R",518.264,1180,604.158,0.604158,1435,2108,1759.75,1756,155.494
"Cingulum Mid L",573.836,1456,745.469,0.745469,1285,2088,1781.39,1816,186.263
"Cingulum Mid R",640.338,1717,879.101,0.879101,1204,2148,1803.01,1856,192.712
"Cingulum Post L",256.352,562,287.743,0.287743,1345,2048,1649.25,1625,145.545
"Cingulum Post R",302.175,648,331.775,0.331775,1355,2078,1669.79,1645,148.751
"Hippocampus L",495.877,940,481.278,0.481278,1184,2048,1564.43,1555,149.635
"Hippocampus R",581.389,1129,578.046,0.578046,1224,1977,1558.3,1555,142.642
"ParaHippocampal L",573.626,1175,601.598,0.601598,1234,2269,1623.52,1595,180.946
"ParaHippocampal R",538.733,1036,530.43,0.53043,1255,2188,1655.99,1645,169.92
"Amygdala L",174.653,289,147.967,0.147967,1526,1787,1650.89,1645,59.1838
"Amygdala R",171.042,274,140.287,0.140287,1516,1817,1689.57,1695,59.8401
"Calcarine L",512.067,1268,649.214,0.649214,1174,2530,1732.3,1776,219.896
"Calcarine R",471.758,1164,595.966,0.595966,1134,2339,1691,1735,227.915
"Cuneus L",341.073,624,319.487,0.319487,1074,2188,1470.84,1424,221.202
"Cuneus R",294.904,527,269.823,0.269823,1094,2048,1465.9,1424,209.678
"Lingual L",846.73,2791,1428.99,1.42899,983,2389,1663.14,1685,211.233
"Lingual R",731.614,2381,1219.07,1.21907,1104,2279,1678.07,1715,212.733
"Occipital Sup L",468.82,1063,544.254,0.544254,1124,2188,1720.15,1806,282.508
"Occipital Sup R",452.701,986,504.83,0.50483,1044,2198,1693.86,1756,272.13
"Occipital Mid L",642.454,1625,831.997,0.831997,1174,2700,1760.12,1806,236.416
"Occipital Mid R",664.78,1732,886.781,0.886781,1234,2449,1786.26,1826,203.939
"Occipital Inf L",522.638,944,483.326,0.483326,1104,2108,1544.62,1525,198.324
"Occipital Inf R",662.195,1463,749.053,0.749053,1194,2138,1625.3,1595,211.048
"Fusiform L",898.876,2543,1302.01,1.30201,1104,2339,1722.01,1766,221.92
"Fusiform R",851.757,2460,1259.52,1.25952,1214,2449,1731.62,1776,197.202
"Postcentral L",640.375,1664,851.965,0.851965,1114,2299,1758.2,1735,292.017
"Postcentral R",657.721,1905,975.356,0.975356,1134,2520,1817.74,1856,285.312
"Parietal Sup L",568.127,1614,826.365,0.826365,1094,2429,1796.48,1896,301.239
"Parietal Sup R",581.722,1603,820.733,0.820733,1144,2279,1773.8,1866,311.108
"Parietal Inf L",338.156,766,392.191,0.392191,1194,2590,1704.23,1695,296.966
"Parietal Inf R",400.301,944,483.326,0.483326,1214,2660,1656.46,1615,254.62
"SupraMarginal L",324.926,849,434.686,0.434686,1114,2238,1782.02,1916,320.278
"SupraMarginal R",322.706,797,408.062,0.408062,1154,2650,1718.49,1746,304.763
"Angular L",465.835,1128,577.534,0.577534,1114,2650,1620.01,1565,313.626
"Angular R",412.327,848,434.174,0.434174,1164,2279,1598.1,1555,224.81
"Precuneus L",891.8,2689,1376.76,1.37676,1074,2289,1717.96,1796,280.251
"Precuneus R",912.858,2913,1491.45,1.49145,1064,2349,1737.78,1826,280.795
"Paracentral Lobule L",181.909,342,175.103,0.175103,1245,2249,1663.49,1615,283.705
"Paracentral Lobule R",237.841,479,245.247,0.245247,1214,2259,1697.67,1665,290.563
"Caudate L",640.377,1096,561.15,0.56115,1054,1977,1534.7,1545,203.761
"Caudate R",613.139,1119,572.926,0.572926,1004,2018,1559.87,1575,215.51
"Putamen L",497.16,1680,860.157,0.860157,1586,1977,1787.95,1786,70.6252
"Putamen R",499.772,1627,833.021,0.833021,1556,2098,1830.24,1826,83.6672
"Thalamus L",484.608,1389,711.165,0.711165,1516,2148,1744.29,1725,104.206
"Thalamus R",534.539,1659,849.405,0.849405,1546,2339,1793.84,1776,109.72
"Heschl L",154.399,241,123.392,0.123392,1184,2610,1497.32,1464,205.451
"Heschl R",102.667,153,78.3357,0.0783357,1204,1947,1558.76,1535,169.731
"Temporal Sup L",525.614,1239,634.366,0.634366,1084,2319,1692.41,1756,307.419
"Temporal Sup R",619.575,1648,843.773,0.843773,1054,2158,1751.96,1846,312.721
"Temporal Pole Sup L",271.402,490,250.879,0.250879,1234,2148,1617.3,1565,211.331
"Temporal Pole Sup R",257.084,466,238.591,0.238591,1184,2218,1621.18,1595,215.768
"Temporal Mid L",835.719,1911,978.428,0.978428,1054,2279,1587.7,1575,301.701
"Temporal Mid R",823.54,2026,1037.31,1.03731,1074,2279,1636.87,1645,301.875
"Temporal Pole Mid L",162.712,286,146.431,0.146431,1234,2319,1717.97,1725,267.413
"Temporal Pole Mid R",148.757,258,132.096,0.132096,1315,2138,1724.39,1725,238.711
"Temporal Inf L",784.207,2183,1117.69,1.11769,1104,2309,1671.11,1725,268.099
"Temporal Inf R",687.614,2051,1050.11,1.05011,1134,2429,1660.04,1685,258.523
"CorpusCallosum",904.8,1460,747.517,0.747517,1265,2299,1604.96,1575,145.473
"Lateral Ventricle L",1298.68,3058,1565.69,1.56569,1536,3363,2455.46,2428,314.525
"Lateral Ventricle R",1267.78,3157,1616.38,1.61638,1636,3283,2448.99,2398,292.189
"Midbrain L",492.097,1238,633.854,0.633854,793,2048,1613.21,1635,168.597
"Midbrain R",519.969,1357,694.781,0.694781,923,2198,1640.16,1655,175.145
"Pons L",244.248,524,268.287,0.268287,1355,2088,1634.1,1635,108.323
"Pons R",245.222,507,259.583,0.259583,1385,2088,1642.41,1645,95.8865
"Medulla L",498.972,1042,533.502,0.533502,391,1927,1421.01,1434,217.145
"Medulla R",543.038,1135,581.118,0.581118,90,1987,1425.46,1454,218.945
"Cerebellum L",671.281,1711,876.029,0.876029,1405,2500,1837.34,1836,144.359
"Cerebellum R",650.54,1645,842.237,0.842237,1405,2439,1848.79,1846,122.726
"Vermis Ant L",141.346,216,110.592,0.110592,1455,2138,1847.69,1866,136.686
"Vermis Ant R",116.403,161,82.4317,0.0824317,1546,2078,1832.97,1836,112.823
"Vermis Post L",299.049,551,282.111,0.282111,1455,2068,1706.79,1705,79.4162
"Vermis Post R",324.889,583,298.495,0.298495,1435,2018,1687.9,1695,92.8567
"Vermis Cent L",107.864,129,66.0478,0.0660478,1666,2098,1837.69,1826,87.6982
"Vermis Cent R",151.421,218,111.616,0.111616,1646,2128,1832.29,1826,89.688
"Subthalamic Nuc L",61.2216,76,38.9119,0.0389119,1586,1726,1662.58,1665,34.0413
"Subthalamic Nuc R",60.6225,69,35.3279,0.0353279,1616,1757,1691.03,1685,36.2024
"Hippocampal Comm",367.441,408,208.895,0.208895,1666,3052,2183.06,2147,291.21
"Fornix",329.246,493,252.415,0.252415,1094,1977,1508.53,1525,172.205
"White Matter L",4548.47,18930,9692.12,9.69212,1315,2299,1874.05,1896,133.887
"White Matter R",4483.27,18997,9726.43,9.72643,1305,2299,1897.09,1916,131.177
"Internal Capsule L",852.306,1221,625.15,0.62515,1546,2058,1805.85,1806,92.3197
"Internal Capsule R",738.014,1053,539.134,0.539134,1626,2128,1853.16,1836,100.508
"CSF",30347.4,86665,44372.3,44.3723,0,3484,2434.02,2549,551.9
"misc",375.507,373,190.975,0.190975,1526,2068,1821.11,1826,109.745
