"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Hippocampus L",677.419,1392,712.701,0.712701,1361,2001,1651.29,1654,134.89
"Hippocampus R",759.411,1624,831.485,0.831485,1354,2039,1646.58,1646,134.392
"Amygdala L",102.77,182,93.1837,0.0931837,1565,1851,1717.61,1714,57.0863
"Amygdala R",106.464,192,98.3036,0.0983036,1557,1821,1713.61,1722,60.5971
"Caudate L",810.796,1628,833.533,0.833533,1203,2122,1716.04,1744,173.666
"Caudate R",786.642,1689,864.765,0.864765,1226,2204,1741.45,1782,175.851
"Putamen L",729.613,2726,1395.71,1.39571,1617,2039,1830.64,1835,67.6671
"Putamen R",749.271,2819,1443.32,1.44332,1587,2061,1824.09,1827,69.5501
"Thalamus L",790.909,2917,1493.5,1.4935,1572,2084,1799.85,1797,75.4413
"Thalamus R",752.56,2785,1425.91,1.42591,1580,2039,1809.86,1812,78.4481
"CorpusCallosum",1542.23,2491,1275.39,1.27539,1437,2490,1676.67,1646,125.585
"Lateral Ventricle L",1972.03,5455,2792.95,2.79295,1745,3265,2568.57,2557,299.71
"Lateral Ventricle R",1928.99,5288,2707.45,2.70745,1700,3198,2549.63,2549,267.896
"Midbrain L",2232.04,9096,4657.13,4.65713,564,2076,1600.88,1631,215.461
"Cerebellum L",1224.4,5768,2953.2,2.9532,1399,2234,1882.93,1887,127.156
"Cerebellum R",1206.08,5726,2931.7,2.9317,1392,2212,1871.31,1872,126.571
"Subthalamic Nuc L",70.5512,94,48.1278,0.0481278,1655,1790,1725.46,1729,39.5422
"Subthalamic Nuc R",67.9113,88,45.0558,0.0450558,1655,1790,1720.06,1722,37.1982
"Hippocampal Comm",565.42,732,374.783,0.374783,1557,3205,2186.77,2151,275.268
"Fornix",472.954,728,372.735,0.372735,1361,2024,1644.45,1624,135.235
"Cortical Plate L",19796.3,46781,23951.8,23.9518,1045,2076,1582.33,1579,174.438
"Cortical Plate R",19606.1,47244,24188.8,24.1888,331,2242,1593.45,1586,174.111
"Subplate L",13340.2,33997,17406.4,17.4064,1407,2377,2029.2,2038,104.557
"Subplate R",13246.2,33730,17269.7,17.2697,1520,2370,2050.64,2060,104.992
"Inter Zone L",8170.72,33954,17384.4,17.3844,1640,2362,1992.18,1985,85.6818
"Inter Zone R",8187.11,33155,16975.3,16.9753,1617,2340,2006.11,2008,91.7532
"Vent Zone L",4094.15,6889,3527.15,3.52715,1542,2257,1829.56,1820,124.256
"Vent Zone R",3857.88,7102,3636.21,3.63621,1437,2264,1833.36,1820,123.203
"Internal Capsule L",1031.09,1591,814.589,0.814589,1557,2189,1889.39,1902,102.028
"Internal Capsule R",1069.79,1700,870.397,0.870397,1572,2197,1895.14,1902,103.354
"CSF",46008.7,154995,79357.1,79.3571,398,3484,2520.94,2625,511.243
"misc",663.945,864,442.366,0.442366,1632,2174,1889.55,1880,110.36
