"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Precentral L",1582.5,6761,3461.62,3.46162,1345,2437,1830.09,1850,215.282
"Precentral R",1560.26,6897,3531.25,3.53125,1276,2851,1896.35,1953,234.657
"Frontal Sup L",1768.5,5481,2806.26,2.80626,1391,2437,1887.08,1907,233.089
"Frontal Sup R",1656.62,5119,2620.92,2.62092,1391,2690,1886.15,1884,235.149
"Frontal Sup Orb L",945.284,2575,1318.4,1.3184,1207,2552,1948.93,2011,205.979
"Frontal Sup Orb R",946.458,2733,1399.29,1.39929,1253,2483,1956.33,2011,190.689
"Frontal Mid L",2008.08,8292,4245.49,4.24549,1345,2437,1907.9,1988,203.829
"Frontal Mid R",2112.54,9309,4766.19,4.76619,1356,2426,1935.13,2034,218.763
"Frontal Mid Orb L",802.446,2438,1248.25,1.24825,1356,2449,1834.09,1827,237.306
"Frontal Mid Orb R",923.368,3217,1647.1,1.6471,1414,2483,1931.24,1999,247.079
"Frontal Inf Oper L",561.493,1874,959.484,0.959484,1345,2368,1853.93,1919,206.037
"Frontal Inf Oper R",532.437,1757,899.581,0.899581,1276,2150,1841.82,1907,223.277
"Frontal Inf Tri L",610.728,1936,991.228,0.991228,1345,2840,1832.4,1873,225.258
"Frontal Inf Tri R",535.427,1528,782.333,0.782333,1310,2449,1790.54,1781,234.985
"Frontal Inf Orb L",989.893,3842,1967.1,1.9671,1333,2667,1893.3,1965,223.959
"Frontal Inf Orb R",915.922,3346,1713.15,1.71315,1322,2621,1853.15,1896,229.654
"Rolandic Oper L",1007.81,3841,1966.58,1.96658,1276,2449,1878.47,1919,233.62
"Rolandic Oper R",765.147,1991,1019.39,1.01939,1230,2322,1806.29,1827,227.123
"Supp Motor Area L",1275.77,4189,2144.76,2.14476,1299,2449,1856.63,1850,284.257
"Supp Motor Area R",1172.07,4289,2195.96,2.19596,1379,2460,1886.91,1896,274.319
"Olfactory L",748.075,1937,991.74,0.99174,1471,2506,1856.74,1838,170.841
"Olfactory R",702.482,1690,865.277,0.865277,1471,2391,1842.25,1827,170.439
"Frontal Sup Medial L",1118.92,4330,2216.95,2.21695,1402,2506,1932.1,1953,251.936
"Frontal Sup Medial R",1199.94,4756,2435.06,2.43506,1379,2460,1941.58,1976,255.613
"Frontal Med Orb L",308.132,631,323.071,0.323071,1379,2127,1778.61,1804,192.412
"Frontal Med Orb R",258.102,424,217.087,0.217087,1437,2242,1726.83,1700,146.461
"Rectus L",700.51,1735,888.317,0.888317,1379,2345,1829.64,1850,195.048
"Rectus R",799.525,2049,1049.08,1.04908,1368,2564,1829.89,1838,191.509
"Insula L",1367.62,3509,1796.6,1.7966,1287,2311,1751.32,1735,186.239
"Insula R",1344.03,3403,1742.33,1.74233,1241,2253,1748.25,1735,182.798
"Cingulum Ant L",874.07,2660,1361.91,1.36191,1448,2069,1809.24,1838,134.131
"Cingulum Ant R",918.095,2895,1482.23,1.48223,1471,2058,1819.53,1861,121.785
"Cingulum Mid L",1197.37,3651,1869.3,1.8693,1276,2196,1816.63,1850,166.828
"Cingulum Mid R",1344.38,4294,2198.52,2.19852,1368,2242,1828.91,1861,154.489
"Cingulum Post L",407.122,975,499.198,0.499198,1414,2115,1738.98,1712,152.024
"Cingulum Post R",438.22,1018,521.214,0.521214,1368,2161,1741.6,1723,150.291
"Hippocampus L",845.667,2010,1029.12,1.02912,1310,2196,1656.58,1643,140.034
"Hippocampus R",933.618,2213,1133.05,1.13305,1345,2242,1663.42,1654,139.708
"ParaHippocampal L",1147.82,3163,1619.45,1.61945,1218,2426,1718.06,1723,219.039
"ParaHippocampal R",1069.91,2797,1432.06,1.43206,1276,2334,1731.87,1723,211.528
"Amygdala L",223.77,482,246.783,0.246783,1517,1920,1713.65,1712,70.9986
"Amygdala R",236.654,542,277.503,0.277503,1506,2069,1735.1,1746,81.2621
"Calcarine L",1036.37,3735,1912.31,1.91231,1276,2449,1841.27,1850,221.854
"Calcarine R",1040.79,3629,1858.04,1.85804,1299,2368,1815.39,1804,229.987
"Cuneus L",802.243,1935,990.716,0.990716,1241,2426,1722.81,1700,251.771
"Cuneus R",593.934,1473,754.173,0.754173,1264,2380,1717.22,1677,255.878
"Lingual L",1665.05,7529,3854.83,3.85483,1264,2391,1809.46,1827,234.378
"Lingual R",1512.61,6665,3412.47,3.41247,1241,2437,1842.82,1861,228.18
"Occipital Sup L",737.008,1899,972.284,0.972284,1287,2437,1781.96,1804,219.1
"Occipital Sup R",810.53,2437,1247.74,1.24774,1310,2391,1832.21,1850,231.051
"Occipital Mid L",1333.91,5180,2652.15,2.65215,1310,2621,1893.22,1965,236.955
"Occipital Mid R",1440.96,5743,2940.4,2.9404,1368,2541,1961.05,2034,208.048
"Occipital Inf L",857.21,2141,1096.19,1.09619,1230,2414,1707.55,1666,263.229
"Occipital Inf R",1164.11,3714,1901.56,1.90156,1276,2437,1804.89,1815,276.249
"Fusiform L",1639.37,6336,3244.02,3.24402,1230,2426,1862.33,1919,241.765
"Fusiform R",1494.5,5482,2806.77,2.80677,1230,2426,1880.48,1942,238.49
"Postcentral L",1432.68,5719,2928.12,2.92812,1287,2334,1804.49,1792,218.84
"Postcentral R",1487.32,6465,3310.07,3.31007,1230,2472,1843.03,1827,239.748
"Parietal Sup L",1017.14,4049,2073.08,2.07308,1241,2357,1885.44,1953,236.508
"Parietal Sup R",1050.88,4093,2095.61,2.09561,1356,2322,1900.48,1965,230.142
"Parietal Inf L",812.041,2734,1399.8,1.3998,1391,2357,1851.21,1873,204.315
"Parietal Inf R",949.956,3382,1731.58,1.73158,1448,2529,1878.49,1884,203.916
"SupraMarginal L",728.046,2375,1216,1.216,1356,2679,1888.83,1942,239.901
"SupraMarginal R",813.624,2578,1319.93,1.31993,1322,2426,1890.07,1942,241.308
"Angular L",936.3,3386,1733.63,1.73363,1379,2334,1843.71,1884,224.038
"Angular R",779.471,2275,1164.8,1.1648,1414,2357,1821.2,1792,214.828
"Precuneus L",1670.71,6885,3525.11,3.52511,1253,2437,1837.18,1896,253.618
"Precuneus R",1603.8,6716,3438.58,3.43858,1299,2391,1853.77,1907,250.817
"Paracentral Lobule L",651.187,2076,1062.91,1.06291,1299,2276,1756.24,1735,224.407
"Paracentral Lobule R",773.674,2712,1388.54,1.38854,1345,2357,1803.1,1769,244.849
"Caudate L",973.048,2031,1039.87,1.03987,1310,2104,1740.28,1758,144.508
"Caudate R",896.53,1888,966.652,0.966652,1299,2138,1773.44,1792,146.305
"Putamen L",871.42,3424,1753.08,1.75308,1575,2092,1799.48,1804,79.8495
"Putamen R",900.063,3504,1794.04,1.79404,1586,2069,1825.84,1827,84.745
"Thalamus L",991.572,4003,2049.53,2.04953,1506,1989,1773.26,1781,81.7745
"Thalamus R",999.116,4015,2055.67,2.05567,1540,2035,1797.48,1804,80.7106
"Heschl L",494.933,1226,627.71,0.62771,1230,2219,1660.47,1631,156.629
"Heschl R",384.609,977,500.222,0.500222,1230,2092,1690.92,1654,170.869
"Temporal Sup L",1332.63,5007,2563.57,2.56357,1149,2506,1822.17,1884,251.776
"Temporal Sup R",1470.56,5981,3062.26,3.06226,1115,2368,1793.27,1850,254.32
"Temporal Pole Sup L",547.892,1396,714.749,0.714749,1184,2391,1682.76,1643,293.88
"Temporal Pole Sup R",501.629,1226,627.71,0.62771,1069,2345,1643.26,1608,296.697
"Temporal Mid L",1491.68,4974,2546.68,2.54668,1230,2610,1769.6,1758,295.375
"Temporal Mid R",1628.42,5877,3009.01,3.00901,1138,2587,1780.41,1815,283.43
"Temporal Pole Mid L",274.467,632,323.583,0.323583,1230,2391,1812.34,1815,369.166
"Temporal Pole Mid R",251.47,563,288.255,0.288255,1230,2380,1780.63,1781,351.419
"Temporal Inf L",1565.62,6108,3127.28,3.12728,1241,2587,1852.97,1919,274.574
"Temporal Inf R",1272.92,5097,2609.65,2.60965,1172,2518,1827.53,1896,266.359
"CorpusCallosum",1687.58,3249,1663.48,1.66348,1402,2322,1692.1,1666,123.868
"Lateral Ventricle L",2211.06,6074,3109.88,3.10988,1690,3334,2582.05,2563,313.016
"Lateral Ventricle R",2212.61,6066,3105.78,3.10578,1655,3334,2593.58,2574,301.061
"Midbrain L",781.263,2523,1291.77,1.29177,816,2184,1655.69,1666,170.594
"Midbrain R",784.273,2553,1307.13,1.30713,781,2955,1670.46,1677,185.706
"Pons L",400.058,1088,557.054,0.557054,1414,2058,1682.42,1700,130.863
"Pons R",389.297,994,508.926,0.508926,1391,2023,1663.11,1677,132.52
"Medulla L",802.666,2094,1072.12,1.07212,183,2472,1493.58,1505,235.211
"Medulla R",840.544,2253,1153.53,1.15353,344,2276,1445.51,1459,241.816
"Cerebellum L",1537.41,6581,3369.46,3.36946,1632,2414,1922.06,1919,104.176
"Cerebellum R",1517.1,6511,3333.62,3.33362,1598,2610,1926.77,1919,105.528
"Vermis Ant L",262.137,559,286.207,0.286207,1322,2219,1841.06,1861,162.083
"Vermis Ant R",256.925,510,261.119,0.261119,1391,2207,1857.79,1861,132.193
"Vermis Post L",549.074,1396,714.749,0.714749,1322,2161,1757,1769,120.128
"Vermis Post R",601.571,1509,772.605,0.772605,1230,2138,1741.09,1758,136.052
"Vermis Cent L",208.282,360,184.319,0.184319,1655,2173,1937.03,1930,88.3755
"Vermis Cent R",285.333,571,292.351,0.292351,1655,2426,1939,1930,101.341
"Subthalamic Nuc L",81.4602,121,61.9518,0.0619518,1586,1759,1674.14,1677,45.0676
"Subthalamic Nuc R",99.0974,140,71.6797,0.0716797,1575,1816,1691.46,1689,46.9094
"Hippocampal Comm",594.432,703,359.935,0.359935,1678,3162,2249.85,2195,267.731
"Fornix",574.036,960,491.518,0.491518,1299,2092,1665.01,1643,151.808
"White Matter L",7786.26,34421,17623.5,17.6235,1425,2380,2018.58,2022,131.412
"White Matter R",7683.25,32070,16419.8,16.4198,1471,2403,2043.19,2045,132.943
"Internal Capsule L",1559.86,2341,1198.59,1.19859,1598,2173,1881.75,1884,86.5162
"Internal Capsule R",1511.95,2596,1329.15,1.32915,1575,2150,1899.9,1907,89.2794
"CSF",57861.9,187270,95881.9,95.8819,57,3484,2526.39,2643,541.258
