"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Hippocampus L",702.575,1492,763.901,0.763901,1324,2030,1656.73,1659,134.568
"Hippocampus R",783.038,1680,860.157,0.860157,1350,2004,1648.2,1650,133.269
"Amygdala L",113.703,206,105.472,0.105472,1574,1823,1726.68,1728,55.2039
"Amygdala R",118.556,219,112.128,0.112128,1565,1823,1725.31,1736,59.9966
"Caudate L",864.519,1780,911.357,0.911357,1195,2107,1726.61,1762,169.666
"Caudate R",849.119,1773,907.773,0.907773,1204,2133,1745.72,1788,172.252
"Putamen L",797.012,3154,1614.84,1.61484,1634,2055,1838.17,1839,67.6316
"Putamen R",825.249,3237,1657.34,1.65734,1600,2099,1829.56,1831,69.821
"Thalamus L",849.393,3150,1612.79,1.61279,1565,2030,1804.29,1805,73.5849
"Thalamus R",864.185,3257,1667.58,1.66758,1557,2107,1818.77,1822,78.7831
"CorpusCallosum",1536.81,2387,1222.14,1.22214,1428,2210,1676.26,1650,122.154
"Lateral Ventricle L",2055.24,5762,2950.13,2.95013,1720,3354,2590.93,2579,309.616
"Lateral Ventricle R",2034.38,5558,2845.69,2.84569,1746,3217,2592.37,2605,282.974
"Midbrain L",2360.93,9922,5080.04,5.08004,524,2107,1614.39,1642,215.993
"Cerebellum L",1336.55,6520,3338.23,3.33823,1402,2228,1890.99,1900,121.607
"Cerebellum R",1334.71,6628,3393.52,3.39352,1350,2210,1889.05,1891,126.557
"Subthalamic Nuc L",74.1212,101,51.7118,0.0517118,1651,1797,1725.09,1728,39.4345
"Subthalamic Nuc R",70.0981,92,47.1038,0.0471038,1660,1789,1719.76,1719,35.0687
"Hippocampal Comm",653.55,829,424.446,0.424446,1522,2769,2134.26,2123,231.247
"Fornix",483.131,760,389.119,0.389119,1376,2055,1647.08,1633,132.318
"Cortical Plate L",21711.2,53962,27628.4,27.6284,1135,2090,1604.16,1607,173.088
"Cortical Plate R",21565.2,53798,27544.5,27.5445,602,2090,1611.63,1607,173.69
"Subplate L",14171.3,38172,19544,19.544,1539,2408,2050.6,2054,100.179
"Subplate R",14252.2,38190,19553.2,19.5532,1565,2408,2070.59,2080,103.545
"Inter Zone L",8639.81,35238,18041.8,18.0418,1643,2374,2009.72,2003,89.0669
"Inter Zone R",8573.88,35116,17979.3,17.9793,1634,2348,2025.86,2020,92.8485
"Vent Zone L",4177.05,7478,3828.72,3.82872,1522,2305,1839.37,1831,127.549
"Vent Zone R",4154.21,7465,3822.07,3.82207,1539,2253,1842.24,1831,122.427
"Internal Capsule L",1147.51,1771,906.749,0.906749,1548,2185,1906.46,1908,90.8723
"Internal Capsule R",1133.62,1732,886.781,0.886781,1574,2202,1911.41,1908,91.1018
"CSF",49316.6,169671,86871.2,86.8712,361,3484,2536.48,2648,525.412
"misc",671.375,955,488.958,0.488958,1651,2193,1906.16,1900,107.948
