"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Hippocampus L",748.384,1579,808.445,0.808445,1358,2007,1673.38,1676,129.237
"Hippocampus R",829.983,1835,939.516,0.939516,1381,2054,1674.4,1676,130.42
"Amygdala L",124.115,233,119.296,0.119296,1558,1842,1735.2,1735,59.7914
"Amygdala R",131.164,255,130.56,0.13056,1570,1854,1736,1746,61.8712
"Caudate L",862.366,1772,907.261,0.907261,1275,2125,1745.57,1770,152.662
"Caudate R",833.056,1710,875.517,0.875517,1275,2208,1769.25,1794,158.761
"Putamen L",852.999,3391,1736.19,1.73619,1641,2114,1843.22,1841,69.7328
"Putamen R",887.401,3491,1787.39,1.78739,1617,2078,1842.15,1841,68.8979
"Thalamus L",907.731,3565,1825.27,1.82527,1535,2043,1817.57,1817,74.6673
"Thalamus R",899.434,3523,1803.77,1.80377,1606,2066,1834.17,1841,75.6753
"CorpusCallosum",1737.99,2778,1422.33,1.42233,1393,2928,1698.07,1664,132.211
"Lateral Ventricle L",2186.23,6110,3128.31,3.12831,1736,3389,2595.18,2585,314.805
"Lateral Ventricle R",2087.9,5747,2942.45,2.94245,1747,3283,2603.58,2597,290.306
"Midbrain L",2454.52,10410,5329.9,5.3299,590,2149,1631.93,1652,210.263
"Cerebellum L",1469.35,7478,3828.72,3.82872,1358,2291,1908.46,1912,124.082
"Cerebellum R",1437.22,7442,3810.29,3.81029,1381,2291,1916.15,1924,126.011
"Subthalamic Nuc L",82.841,115,58.8798,0.0588798,1653,1806,1733.05,1735,40.3715
"Subthalamic Nuc R",81.2977,107,54.7838,0.0547838,1677,1806,1740.14,1746,36.1273
"Hippocampal Comm",720.788,960,491.518,0.491518,1488,3259,2229.05,2207,297.826
"Fornix",527.759,892,456.702,0.456702,1405,2102,1692.31,1676,136.339
"Cortical Plate L",23952.9,60645,31050.1,31.0501,1074,2125,1632.26,1628,165.96
"Cortical Plate R",23578,59549,30489,30.489,1133,2090,1628.45,1628,166.01
"Subplate L",15348.9,43451,22246.8,22.2468,1511,2421,2060.44,2065,103.165
"Subplate R",15288.2,43845,22448.6,22.4486,1547,2397,2071.72,2089,104.027
"Inter Zone L",8957.36,36507,18691.5,18.6915,1653,2373,2029.51,2018,92.634
"Inter Zone R",8920.47,36412,18642.9,18.6429,1653,2350,2042.19,2042,95.9309
"Vent Zone L",4302.11,7786,3986.42,3.98642,1558,2645,1871.64,1865,126.929
"Vent Zone R",4283.88,7784,3985.39,3.98539,1594,2491,1875.21,1865,116.432
"Internal Capsule L",1332.77,2065,1057.28,1.05728,1488,2173,1905.9,1912,100.772
"Internal Capsule R",1308.32,2182,1117.18,1.11718,1547,2184,1914.25,1924,102.599
"CSF",53141.4,187343,95919.3,95.9193,94,3484,2546.29,2656,523.424
"misc",328.518,379,194.047,0.194047,1653,2173,1878.47,1876,84.0191
