"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Precentral L",1141.01,4067,2082.3,2.0823,1256,2280,1797.12,1865,247.233
"Precentral R",1082.3,3801,1946.1,1.9461,1256,2475,1891.44,1985,252.515
"Frontal Sup L",1458.55,3995,2045.43,2.04543,1369,2392,1875.18,1940,235.149
"Frontal Sup R",1263.65,3270,1674.23,1.67423,1392,2483,1867.07,1880,245.167
"Frontal Sup Orb L",689.8,1581,809.469,0.809469,1452,2370,1962.94,2023,179.724
"Frontal Sup Orb R",716.198,1724,882.685,0.882685,1482,2415,1964.38,2015,169.519
"Frontal Mid L",1546.41,5664,2899.96,2.89996,1294,2528,1879.81,1978,222.198
"Frontal Mid R",1618.28,6243,3196.4,3.1964,1324,2550,1923.54,2030,246.771
"Frontal Mid Orb L",615.029,1636,837.629,0.837629,1361,2438,1797.35,1774,224.777
"Frontal Mid Orb R",717.702,2138,1094.65,1.09465,1407,2859,1889.73,1955,248.446
"Frontal Inf Oper L",419.064,1206,617.47,0.61747,1286,2280,1834.14,1940,238.377
"Frontal Inf Oper R",425.774,1220,624.638,0.624638,1264,2287,1882.72,1978,252.147
"Frontal Inf Tri L",430.884,1203,615.934,0.615934,1256,2355,1773.96,1842,260.029
"Frontal Inf Tri R",425.128,1103,564.734,0.564734,1249,2340,1748.62,1759,286.602
"Frontal Inf Orb L",711.801,2270,1162.24,1.16224,1301,2723,1861.51,1940,229.341
"Frontal Inf Orb R",648.504,2098,1074.17,1.07417,1309,2641,1835.98,1887,238.867
"Rolandic Oper L",821.888,2914,1491.96,1.49196,1226,2513,1888,1940,244.85
"Rolandic Oper R",729.579,2160,1105.92,1.10592,1241,2400,1871.6,1925,268.601
"Supp Motor Area L",936.468,2722,1393.66,1.39366,1309,2550,1846.63,1842,282.644
"Supp Motor Area R",871.892,2760,1413.11,1.41311,1361,2370,1852.29,1895,269.856
"Olfactory L",615.572,1501,768.509,0.768509,1414,2340,1848.91,1850,157.839
"Olfactory R",602.501,1463,749.053,0.749053,1384,2189,1822.45,1835,160.3
"Frontal Sup Medial L",972.813,3501,1792.51,1.79251,1437,2611,1927.89,1970,239.761
"Frontal Sup Medial R",1037.87,3828,1959.93,1.95993,1414,2513,1927.57,1970,235.993
"Frontal Med Orb L",225.859,382,195.583,0.195583,1361,2122,1848.75,1917,178.192
"Frontal Med Orb R",142.623,179,91.6477,0.0916477,1504,1994,1714.64,1677,143.448
"Rectus L",552.794,1255,642.558,0.642558,1361,2189,1816.94,1827,181.59
"Rectus R",659.68,1602,820.221,0.820221,1346,2152,1795.47,1797,177.27
"Insula L",1019.96,2357,1206.78,1.20678,1309,2129,1716.7,1707,180.891
"Insula R",977.183,2226,1139.71,1.13971,1249,2174,1705.59,1692,178.171
"Cingulum Ant L",753.122,2141,1096.19,1.09619,1489,2061,1817.07,1842,132.828
"Cingulum Ant R",809.845,2497,1278.46,1.27846,1482,2046,1803.81,1827,124.398
"Cingulum Mid L",996.771,3122,1598.46,1.59846,1264,2242,1873.43,1917,174.484
"Cingulum Mid R",1048.62,3324,1701.88,1.70188,1339,2219,1845.73,1895,172.181
"Cingulum Post L",335.054,745,381.439,0.381439,1422,2069,1714.13,1684,131.726
"Cingulum Post R",386.88,858,439.294,0.439294,1467,2234,1716.65,1699,141.165
"Hippocampus L",690.52,1568,802.813,0.802813,1294,2264,1659.01,1654,155.697
"Hippocampus R",785.745,1780,911.357,0.911357,1354,2091,1644,1639,145.518
"ParaHippocampal L",922.265,2258,1156.09,1.15609,1264,2310,1705.61,1692,211.777
"ParaHippocampal R",856.191,2030,1039.36,1.03936,1249,2234,1704.14,1684,205.749
"Amygdala L",206.084,419,214.527,0.214527,1565,1881,1729.22,1729,67.7492
"Amygdala R",213.088,464,237.567,0.237567,1557,1903,1730.36,1729,68.413
"Calcarine L",866.132,2710,1387.51,1.38751,1211,2498,1824.88,1895,252.763
"Calcarine R",829.148,2560,1310.72,1.31072,1188,2415,1764.98,1797,257.805
"Cuneus L",625.587,1339,685.565,0.685565,1136,2693,1621.91,1579,280.072
"Cuneus R",455.619,1001,512.51,0.51251,1203,2407,1589.28,1526,259.069
"Lingual L",1353.32,5640,2887.67,2.88767,1181,2385,1769.56,1820,254.596
"Lingual R",1198.62,4825,2470.39,2.47039,1188,2370,1778.6,1835,250.152
"Occipital Sup L",546.39,1205,616.958,0.616958,1196,2272,1732.15,1759,262.079
"Occipital Sup R",653.456,1700,870.397,0.870397,1196,2310,1769.71,1842,263.943
"Occipital Mid L",1076.02,3407,1744.38,1.74438,1166,2468,1806.58,1917,276.34
"Occipital Mid R",1170.5,4001,2048.5,2.0485,1249,2573,1891.55,1978,238.154
"Occipital Inf L",696.786,1501,768.509,0.768509,1166,2445,1579.58,1534,271.275
"Occipital Inf R",956.954,2747,1406.46,1.40646,1196,2370,1700.64,1707,293.349
"Fusiform L",1373.08,4825,2470.39,2.47039,1158,2422,1826.29,1887,247.387
"Fusiform R",1270.47,4437,2271.74,2.27174,1241,2415,1826.65,1887,243.63
"Postcentral L",1105.9,3790,1940.47,1.94047,1241,2340,1772.64,1767,252.952
"Postcentral R",1154.92,4549,2329.08,2.32908,1256,2483,1842.29,1857,275.672
"Parietal Sup L",854.369,2994,1532.92,1.53292,1158,2317,1873.96,1985,272.562
"Parietal Sup R",873.573,2870,1469.43,1.46943,1196,2400,1878.17,2000,287.953
"Parietal Inf L",657.167,2139,1095.16,1.09516,1249,2468,1813.72,1932,251.618
"Parietal Inf R",703.762,2325,1190.4,1.1904,1316,2596,1841.4,1925,263.947
"SupraMarginal L",555.483,1454,744.445,0.744445,1279,2460,1845.33,1932,252.144
"SupraMarginal R",588.791,1695,867.837,0.867837,1264,2468,1846.05,1940,277.378
"Angular L",715.069,2140,1095.68,1.09568,1203,2581,1722.76,1737,281.466
"Angular R",585.269,1504,770.045,0.770045,1279,2385,1680.34,1631,257.121
"Precuneus L",1350.63,4919,2518.52,2.51852,1143,2445,1809.52,1895,281.021
"Precuneus R",1332.66,5168,2646.01,2.64601,1211,2407,1817.96,1910,269.655
"Paracentral Lobule L",428.518,1077,551.422,0.551422,1279,2347,1747.39,1714,268.524
"Paracentral Lobule R",519.729,1435,734.717,0.734717,1324,2422,1778.92,1759,263.862
"Caudate L",810.796,1628,833.533,0.833533,1203,2122,1716.04,1744,173.666
"Caudate R",785.741,1684,862.205,0.862205,1226,2204,1740.81,1782,175.708
"Putamen L",729.613,2726,1395.71,1.39571,1617,2039,1830.64,1835,67.6671
"Putamen R",751.086,2816,1441.79,1.44179,1587,2061,1824.26,1827,69.371
"Thalamus L",787.656,2909,1489.4,1.4894,1572,2084,1800,1797,75.3675
"Thalamus R",750.976,2783,1424.89,1.42489,1580,2039,1809.87,1812,78.4641
"Heschl L",340.878,722,369.663,0.369663,1241,2317,1633.14,1601,159.603
"Heschl R",294.143,657,336.383,0.336383,1241,2257,1673.18,1631,181.473
"Temporal Sup L",986.99,3209,1643,1.643,1143,2445,1798.44,1895,291.306
"Temporal Sup R",1115.77,3998,2046.97,2.04697,1136,2475,1812.57,1902,286.484
"Temporal Pole Sup L",430.749,961,492.03,0.49203,1166,2362,1670.11,1624,287.06
"Temporal Pole Sup R",411.622,869,444.926,0.444926,1166,2362,1645.59,1609,282.508
"Temporal Mid L",1156.78,3343,1711.61,1.71161,1158,2618,1673.66,1646,323.698
"Temporal Mid R",1229.85,3806,1948.66,1.94866,1151,2596,1717.7,1744,327.195
"Temporal Pole Mid L",218.752,431,220.671,0.220671,1256,2332,1800.94,1812,327.503
"Temporal Pole Mid R",218.773,462,236.543,0.236543,1226,2325,1789.47,1797,327.031
"Temporal Inf L",1301.95,4616,2363.38,2.36338,1188,2460,1804.07,1880,281.778
"Temporal Inf R",1080.62,4017,2056.7,2.0567,1211,2422,1791.74,1850,264.902
"CorpusCallosum",1333.23,2236,1144.83,1.14483,1437,2490,1674.75,1639,126.819
"Lateral Ventricle L",1958.35,5334,2731,2.731,1745,3265,2577.59,2564,296.654
"Lateral Ventricle R",1910.34,5143,2633.21,2.63321,1700,3198,2559.62,2564,264.588
"Midbrain L",674.081,2014,1031.16,1.03116,857,2197,1673.91,1684,168.362
"Midbrain R",709.362,2102,1076.22,1.07622,775,2227,1680.22,1692,181.458
"Pons L",333.24,817,418.302,0.418302,1414,2054,1688.44,1699,125.916
"Pons R",335.675,838,429.054,0.429054,1384,2091,1651.61,1661,128.398
"Medulla L",689.646,1596,817.149,0.817149,323,2016,1460.61,1488,245.023
"Medulla R",745.313,1805,924.157,0.924157,263,2039,1433.54,1473,265.379
"Cerebellum L",1142.55,4037,2066.94,2.06694,1565,2430,1924.26,1925,113.172
"Cerebellum R",1115.35,4042,2069.5,2.0695,1587,2498,1905.99,1895,115.853
"Vermis Ant L",211.043,401,205.311,0.205311,1399,2189,1866.87,1880,154.048
"Vermis Ant R",198.829,333,170.495,0.170495,1474,2167,1883.77,1880,119.95
"Vermis Post L",455.988,1056,540.67,0.54067,1467,2144,1770.53,1782,106.8
"Vermis Post R",488.043,1080,552.958,0.552958,1392,2069,1734.71,1744,124.529
"Vermis Cent L",179.404,275,140.799,0.140799,1753,2189,1950.08,1947,89.7399
"Vermis Cent R",219.663,386,197.631,0.197631,1700,2174,1924.98,1917,91.6442
"Subthalamic Nuc L",70.3945,99,50.6878,0.0506878,1640,1790,1719.23,1722,41.8637
"Subthalamic Nuc R",82.461,119,60.9278,0.0609278,1602,1843,1719.24,1722,47.5719
"Hippocampal Comm",556.843,709,363.007,0.363007,1557,3205,2194.5,2166,276.043
"Fornix",472.954,728,372.735,0.372735,1361,2024,1644.45,1624,135.235
"White Matter L",6705.01,29209,14955,14.955,1550,2362,1978.22,1993,115.363
"White Matter R",6352.97,27795,14231,14.231,1542,2340,1994.27,2008,120.902
"Internal Capsule L",1008.45,1542,789.501,0.789501,1572,2189,1893.45,1902,99.906
"Internal Capsule R",1057.83,1647,843.261,0.843261,1587,2197,1899.92,1902,100.434
"CSF",46499.6,144065,73761,73.761,331,3484,2554.17,2662,514.134
"misc",679.225,907,464.382,0.464382,1520,2174,1857.87,1872,140.387
