"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Precentral L",851.879,2734,1399.8,1.3998,1189,2189,1777.2,1826,238.532
"Precentral R",845.937,2890,1479.67,1.47967,1208,2417,1892.04,2017,278.133
"Frontal Sup L",1246.98,3250,1663.99,1.66399,1418,2313,1840.79,1883,196.376
"Frontal Sup R",1029.75,2520,1290.24,1.29024,1408,2494,1853.11,1845,216.426
"Frontal Sup Orb L",548.547,1070,547.838,0.547838,1456,2532,1919.63,1959,157.809
"Frontal Sup Orb R",567.697,1250,639.998,0.639998,1380,2227,1933.16,1978,154.232
"Frontal Mid L",1167.72,3787,1938.94,1.93894,1361,2417,1819.53,1893,196.746
"Frontal Mid R",1219.91,4285,2193.91,2.19391,1266,2427,1882.59,1969,239.674
"Frontal Mid Orb L",481.908,1092,559.102,0.559102,856,2303,1738.65,1712,196.776
"Frontal Mid Orb R",549.803,1355,693.757,0.693757,1132,2179,1797.98,1798,224.724
"Frontal Inf Oper L",297.778,722,369.663,0.369663,1208,2132,1761.66,1874,255.256
"Frontal Inf Oper R",285.571,652,333.823,0.333823,1237,2446,1841.23,1978,296.801
"Frontal Inf Tri L",290.431,721,369.151,0.369151,1237,2227,1682.26,1655,245.312
"Frontal Inf Tri R",284.389,619,316.927,0.316927,1189,2598,1647.71,1588,294.137
"Frontal Inf Orb L",538.122,1360,696.317,0.696317,1256,2398,1780.52,1826,224.36
"Frontal Inf Orb R",477.538,1252,641.022,0.641022,1247,2436,1768.64,1779,247.171
"Rolandic Oper L",634.519,2096,1073.15,1.07315,1170,2332,1828.34,1940,278.956
"Rolandic Oper R",422.662,1143,585.214,0.585214,1151,2513,1818.91,1893,289.272
"Supp Motor Area L",751.067,2024,1036.28,1.03628,1313,2455,1809.46,1798,250.457
"Supp Motor Area R",691.815,2104,1077.24,1.07724,1351,2313,1829.98,1883,260.297
"Olfactory L",476.871,1018,521.214,0.521214,1332,2151,1778.46,1769,144.651
"Olfactory R",476.362,1025,524.798,0.524798,1399,2198,1780.4,1779,155.194
"Frontal Sup Medial L",849.762,2852,1460.22,1.46022,1408,2522,1886.22,1921,223.104
"Frontal Sup Medial R",935.597,3223,1650.17,1.65017,1446,2408,1901.18,1950,220.976
"Frontal Med Orb L",135.744,181,92.6717,0.0926717,1494,2113,1812.27,1845,180.398
"Frontal Med Orb R",81.2749,86,44.0318,0.0440318,1494,1999,1703.13,1702,130.494
"Rectus L",439.77,897,459.262,0.459262,1446,2113,1773.57,1769,163.301
"Rectus R",501.193,1125,575.998,0.575998,1399,2179,1772.56,1760,176.109
"Insula L",715.654,1298,664.574,0.664574,1275,2046,1601.88,1598,168.363
"Insula R",692.41,1298,664.574,0.664574,1266,2294,1626.64,1636,177.72
"Cingulum Ant L",605.961,1506,771.069,0.771069,1475,2056,1762.13,1750,142.137
"Cingulum Ant R",643.394,1598,818.173,0.818173,1475,2056,1762.59,1750,153.199
"Cingulum Mid L",655.101,1799,921.085,0.921085,1342,2132,1807.37,1836,165.544
"Cingulum Mid R",728.266,2071,1060.35,1.06035,1247,2332,1811.84,1855,176.79
"Cingulum Post L",299.752,603,308.735,0.308735,1399,1970,1658.32,1636,110.597
"Cingulum Post R",341.593,688,352.255,0.352255,1418,2027,1662.78,1636,118.615
"Hippocampus L",610.426,1270,650.238,0.650238,1227,2179,1597.29,1588,150.276
"Hippocampus R",685.741,1406,719.869,0.719869,1237,1960,1585.2,1579,142.116
"ParaHippocampal L",720.36,1612,825.341,0.825341,1256,2208,1660.77,1636,187.935
"ParaHippocampal R",667.894,1415,724.477,0.724477,1285,2151,1669.01,1655,173.364
"Amygdala L",199.971,366,187.391,0.187391,1561,1827,1682.82,1683,60.2464
"Amygdala R",202.868,386,197.631,0.197631,1542,1856,1708.41,1712,61.8951
"Calcarine L",700.602,1946,996.348,0.996348,1094,2408,1752.29,1817,237.439
"Calcarine R",615.528,1668,854.013,0.854013,1170,2246,1703.14,1769,250.294
"Cuneus L",455.29,904,462.846,0.462846,1094,2189,1522.85,1474,250.243
"Cuneus R",384.716,749,383.487,0.383487,1104,2046,1501.2,1455,228.029
"Lingual L",1105.75,4142,2120.7,2.1207,1066,2389,1694.54,1750,231.837
