"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Lingual R",942.074,3389,1735.16,1.73516,1142,2570,1700.5,1769,233.044
"Occipital Sup L",419.199,971,497.15,0.49715,1132,2151,1736.7,1845,275.276
"Occipital Sup R",445.096,1051,538.11,0.53811,1123,2160,1739.24,1855,271.061
"Occipital Mid L",840.993,2523,1291.77,1.29177,1170,2379,1737.88,1807,251.798
"Occipital Mid R",902.702,3053,1563.13,1.56313,1180,2322,1794.5,1864,232.411
"Occipital Inf L",552.491,1247,638.462,0.638462,1151,2275,1571.17,1522,238.801
"Occipital Inf R",794.58,1930,988.156,0.988156,1180,2189,1612.38,1588,249.171
"Fusiform L",1133.68,3553,1819.13,1.81913,1161,2417,1763.45,1817,226.636
"Fusiform R",1066.81,3322,1700.86,1.70086,1189,2189,1778.42,1836,215.807
"Postcentral L",794.925,2245,1149.44,1.14944,1180,2294,1760.47,1750,268.381
"Postcentral R",800.699,2518,1289.21,1.28921,1189,2275,1822.7,1855,298.818
"Parietal Sup L",691.265,2105,1077.76,1.07776,1151,2294,1809.48,1931,291.416
"Parietal Sup R",724.266,2127,1089.02,1.08902,1151,2351,1807.68,1912,306.371
"Parietal Inf L",442.073,1097,561.662,0.561662,1199,2256,1680.87,1674,264.442
"Parietal Inf R",537.971,1491,763.389,0.763389,1189,2398,1702.82,1683,273.441
"SupraMarginal L",415.63,1085,555.518,0.555518,1189,2379,1791.31,1921,282.726
"SupraMarginal R",384.384,917,469.502,0.469502,1142,2351,1757.92,1826,305.294
"Angular L",557.295,1442,738.301,0.738301,1161,2332,1614.75,1569,273.244
"Angular R",498.32,1161,594.43,0.59443,1142,2075,1601.72,1560,263.521
"Precuneus L",1153.23,3918,2006.01,2.00601,1094,2227,1744.8,1807,278.343
"Precuneus R",1112.23,3966,2030.58,2.03058,1075,2294,1772.65,1864,274.477
"Paracentral Lobule L",298.072,688,352.255,0.352255,1304,2303,1736.33,1683,258.563
"Paracentral Lobule R",349.384,811,415.23,0.41523,1266,2370,1756.12,1693,283.975
"Caudate L",739.616,1298,664.574,0.664574,1047,2065,1590.19,1598,198.323
"Caudate R",692.179,1270,650.238,0.650238,999,2037,1611.28,1636,217.449
"Putamen L",605.907,2066,1057.79,1.05779,1570,1989,1803.11,1807,63.7171
"Putamen R",605.699,2085,1067.52,1.06752,1551,1979,1819.43,1826,68.8032
"Thalamus L",619.879,2112,1081.34,1.08134,1523,2246,1762.7,1750,96.0206
"Thalamus R",645.915,2145,1098.24,1.09824,1532,2246,1792.61,1788,98.0195
"Heschl L",212.132,357,182.783,0.182783,1180,1951,1529.6,1493,162.729
"Heschl R",147.509,244,124.928,0.124928,1189,2056,1587.83,1550,180.541
"Temporal Sup L",731.785,1949,997.884,0.997884,1104,2360,1731.66,1826,294.202
"Temporal Sup R",833.2,2603,1332.73,1.33273,1123,2275,1790.05,1912,300.106
"Temporal Pole Sup L",342.69,688,352.255,0.352255,1189,2217,1612.1,1579,257.937
"Temporal Pole Sup R",315.242,602,308.223,0.308223,1180,2217,1610.56,1588,241.099
"Temporal Mid L",1014.02,2804,1435.64,1.43564,1047,2560,1615.28,1598,313.338
"Temporal Mid R",1030.65,2907,1488.38,1.48838,1113,2522,1661.09,1674,321.097
"Temporal Pole Mid L",178.965,333,170.495,0.170495,1266,2160,1727.44,1741,274.272
"Temporal Pole Mid R",180.996,345,176.639,0.176639,1266,2189,1759.15,1750,276.931
"Temporal Inf L",1042.9,3093,1583.61,1.58361,1170,2341,1693.17,1750,273.094
"Temporal Inf R",888.04,2815,1441.27,1.44127,1170,2246,1707.84,1760,263.548
"CorpusCallosum",1080.13,1744,892.925,0.892925,1399,2132,1625.23,1598,112.171
"Lateral Ventricle L",1601.42,4090,2094.07,2.09407,1732,3179,2500.39,2483,293.81
"Lateral Ventricle R",1578.33,4065,2081.27,2.08127,1742,3226,2519.06,2493,287.084
"Midbrain L",590.032,1649,844.285,0.844285,828,2084,1628.74,1645,163.399
"Midbrain R",640.542,1815,929.277,0.929277,885,2122,1642.1,1655,173.674
"Pons L",283.403,644,329.727,0.329727,1399,1989,1642.1,1645,113.277
"Pons R",297.614,690,353.279,0.353279,1361,1932,1622.77,1626,108.392
"Medulla L",609.178,1343,687.613,0.687613,247,2008,1418.81,1436,253.691
"Medulla R",684.126,1566,801.789,0.801789,123,1894,1386.01,1426,260.016
"Cerebellum L",866.695,2569,1315.32,1.31532,1437,2341,1857.57,1864,124.209
"Cerebellum R",838.251,2528,1294.33,1.29433,1465,2474,1863.6,1864,119.936
"Vermis Ant L",171.777,304,155.647,0.155647,1408,2103,1837.21,1855,143.574
"Vermis Ant R",155.729,250,128,0.128,1456,2094,1845.04,1855,116.546
"Vermis Post L",378.743,762,390.143,0.390143,1475,1941,1721.71,1731,89.3731
"Vermis Post R",412.595,822,420.862,0.420862,1380,2018,1691.48,1702,105.229
"Vermis Cent L",139.234,183,93.6956,0.0936956,1637,2103,1875.43,1874,83.0597
"Vermis Cent R",185.992,297,152.063,0.152063,1637,2084,1857.9,1855,85.43
"Subthalamic Nuc L",63.858,83,42.4958,0.0424958,1618,1742,1683.86,1683,30.9465
"Subthalamic Nuc R",72.451,98,50.1758,0.0501758,1608,1770,1697.08,1693,39.3542
"Hippocampal Comm",448.159,510,261.119,0.261119,1484,2855,2199.45,2178,244.463
"Fornix",397.854,618,316.415,0.316415,1142,1989,1534.61,1541,168.695
"White Matter L",5815.62,27468,14063.6,14.0636,1380,2294,1905.44,1931,115.792
"White Matter R",5694.84,26508,13572,13.572,1399,2341,1935.91,1959,127.823
"Internal Capsule L",964.921,1654,846.845,0.846845,1589,2141,1854,1855,89.8193
"Internal Capsule R",887.149,1591,814.589,0.814589,1561,2160,1874.27,1883,100.631
"CSF",38150.7,113891,58312,58.312,0,3484,2481,2588,501.165
"misc",422.278,384,196.607,0.196607,1532,2103,1807.01,1798,107.135
