"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Hippocampus L",1021.57,2158,1104.89,1.10489,634,1654,1120.19,1143,157.994
"Hippocampus R",1137.83,2435,1246.72,1.24672,634,1530,1093.81,1106,165.161
"Amygdala L",169.853,339,173.567,0.173567,883,1542,1183.94,1205,104.813
"Amygdala R",200.67,422,216.063,0.216063,895,1343,1173.95,1193,96.3376
"Caudate L",1181.74,2888,1478.65,1.47865,808,1679,1241.85,1255,148.775
"Caudate R",1129.64,2825,1446.39,1.44639,796,1829,1239.92,1255,154.454
"Putamen L",1115.91,5004,2562.04,2.56204,945,1605,1268.17,1268,87.4148
"Putamen R",1137.09,5091,2606.58,2.60658,958,1679,1256.61,1268,82.8899
"Thalamus L",1394.24,7096,3633.14,3.63314,771,1580,1274.98,1293,124.078
"Thalamus R",1381.75,7011,3589.62,3.58962,808,1567,1262.74,1268,118.39
"CorpusCallosum",1736.09,2699,1381.88,1.38188,684,1704,1222.08,1193,182.654
"Lateral Ventricle L",2418.41,6146,3146.74,3.14674,1343,3484,2376.56,2350,459.611
"Lateral Ventricle R",2424.2,6059,3102.2,3.1022,1182,3484,2287.91,2251,443.663
"Midbrain L",3483.56,15591,7982.56,7.98256,49,1729,1019.19,1044,231.84
"Cerebellum L",2614.89,16859,8631.78,8.63178,286,1990,1299.94,1317,153.516
"Cerebellum R",2610.49,17031,8719.84,8.71984,273,1903,1291.75,1305,151.228
"Subthalamic Nuc L",105.475,150,76.7997,0.0767997,895,1206,1087.23,1093,68.5673
"Subthalamic Nuc R",115.123,164,83.9677,0.0839677,920,1194,1081.25,1093,60.8241
"Hippocampal Comm",697.261,751,384.511,0.384511,622,2662,1653.17,1629,393.758
"Fornix",655.638,1049,537.086,0.537086,460,1866,1094.54,1069,292.504
"Cortical Plate L",43380.4,130487,66809.1,66.8091,485,2090,1196.49,1205,145.663
"Cortical Plate R",43540.8,130059,66590,66.59,497,1816,1193.8,1205,150.834
"White Matter L",27295.6,122893,62921,62.921,808,2077,1535.46,1529,126.873
"White Matter R",27904.9,124754,63873.8,63.8738,746,2028,1518.89,1517,124.979
"Internal Capsule L",1585.42,3722,1905.66,1.90566,982,1679,1386.75,1405,112.46
"Internal Capsule R",1712.92,3954,2024.44,2.02444,821,1654,1377.5,1392,115.667
"CSF",76960.9,229100,117299,117.299,0,3484,1916.37,1964,580.111
