"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Hippocampus L",395.988,705,360.959,0.360959,1102.86,1944.31,1515.03,1505.24,164.288
"Hippocampus R",459.96,854,437.246,0.437246,1198.55,1933.62,1536.39,1524.17,153.439
"Amygdala L",86.3588,102,52.2238,0.0522238,1562.46,1787.63,1680.83,1678.76,48.3214
"Amygdala R",80.6365,88,45.0558,0.0450558,1619.11,1799.38,1713.6,1719.17,40.1437
"Caudate L",599.459,1105,565.758,0.565758,918.552,1939.94,1444.74,1471.21,200.707
"Caudate R",551.537,1076,550.91,0.55091,837.08,2010.31,1443.61,1452.02,225.082
"Putamen L",347.53,966,494.59,0.49459,1472.05,1982.34,1753.28,1741.82,74.2191
"Putamen R",354.932,966,494.59,0.49459,1577.07,2005.65,1778.95,1778.67,73.5568
"Thalamus L",426.19,1247,638.462,0.638462,1409.7,2297.48,1787.02,1768.73,148.184
"Thalamus R",442.28,1303,667.133,0.667133,1529.2,2339.23,1790.39,1778.83,120.177
"CorpusCallosum",712.713,920,471.038,0.471038,1264.16,2008.22,1527.41,1510.93,119.371
"Lateral Ventricle L",1172.62,2970,1520.63,1.52063,1489.99,3385.3,2454.81,2422.31,315.892
"Lateral Ventricle R",1141.84,2902,1485.82,1.48582,1620.03,3331.62,2458.98,2412.21,306.537
"Midbrain L",1282.92,4430,2268.15,2.26815,654.397,1970.06,1571.02,1586.39,169.595
"Cerebellum L",476.399,1415,724.477,0.724477,1488.62,2062.58,1772.41,1766.23,118.78
"Cerebellum R",507.272,1526,781.309,0.781309,1506.41,2127.46,1794.08,1788.03,122.199
"Subthalamic Nuc L",62.0288,60,30.7199,0.0307199,1596.43,1720.11,1654.24,1653.71,31.7372
"Subthalamic Nuc R",54.6395,62,31.7439,0.0317439,1627.01,1735.62,1686.72,1689.5,27.7732
"Hippocampal Comm",419.79,459,235.007,0.235007,1493.23,3006.44,2059.06,2012.38,280.206
"Fornix",305.154,464,237.567,0.237567,994.167,1907.02,1483.02,1499.82,182.887
"Cortical Plate R",8677.52,16939,8672.74,8.67274,500.206,2234.41,1607.96,1608.62,171.049
"Subplate L",5798.83,11905,6095.34,6.09534,1491.44,2407.35,2017.5,2025.04,121.646
"Subplate R",5750.08,11826,6054.89,6.05489,1461.01,2377.84,2028.5,2037,126.798
"Inter Zone L",4022.08,8183,4189.68,4.18968,1451.29,2184.39,1822.32,1819.03,106.505
"Inter Zone R",3934.41,8358,4279.28,4.27928,1446.04,2256.74,1835.19,1828.66,114.046
"Vent Zone L",2538.7,4091,2094.58,2.09458,1337.54,2144.27,1665.65,1650.31,126.598
"Vent Zone R",2530.4,4074,2085.88,2.08588,1331.28,2058.79,1683.63,1666.74,125.683
"Internal Capsule L",555.912,647,331.263,0.331263,1270.87,2003.43,1729.02,1726.51,103.663
"Internal Capsule R",511.38,597,305.663,0.305663,1509.11,1967.31,1764.6,1754.96,85.5026
"CSF",22201.8,66908,34256.8,34.2568,409.775,3484.87,2415.48,2505,617.849
"misc",205.406,189,96.7676,0.0967676,1433.03,2038,1798.49,1794.52,92.523
