"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Precentral L",1818.74,8417,4309.49,4.30949,1368,2301,1832.5,1849,177.446
"Precentral R",1788.71,8368,4284.4,4.2844,1337,2535,1875.12,1912,185.358
"Frontal Sup L",2056.41,7078,3623.92,3.62392,1368,2426,1869.05,1880,197.28
"Frontal Sup R",1955.75,6698,3429.36,3.42936,1384,2395,1878.28,1880,196.429
"Frontal Sup Orb L",988.62,2915,1492.47,1.49247,1353,2379,1935.51,1989,189.585
"Frontal Sup Orb R",1025.76,3208,1642.49,1.64249,1259,2426,1948.13,2005,190.565
"Frontal Mid L",2300.18,10359,5303.79,5.30379,1415,2286,1886.63,1927,162.085
"Frontal Mid R",2347.51,11072,5668.84,5.66884,1415,2286,1924.3,1974,180.957
"Frontal Mid Orb L",865.421,2550,1305.6,1.3056,1384,2364,1836.88,1834,208.696
"Frontal Mid Orb R",1009.6,3540,1812.47,1.81247,1415,2317,1910.66,1974,222.241
"Frontal Inf Oper L",698.006,2618,1340.41,1.34041,1384,2348,1853.81,1896,159.647
"Frontal Inf Oper R",650.433,2393,1225.21,1.22521,1353,2208,1847.27,1896,183.029
"Frontal Inf Tri L",717.538,2504,1282.04,1.28204,1446,2613,1841.68,1865,177.949
"Frontal Inf Tri R",618.835,1923,984.572,0.984572,1446,2193,1804.84,1803,172.696
"Frontal Inf Orb L",1110.4,4512,2310.14,2.31014,1275,2348,1868.65,1912,196.153
"Frontal Inf Orb R",1059.54,4124,2111.48,2.11148,1322,2317,1858.61,1896,199.335
"Rolandic Oper L",1156.27,4479,2293.24,2.29324,1322,2255,1856.37,1880,187.667
"Rolandic Oper R",880.861,2521,1290.75,1.29075,1275,2193,1818.99,1834,181.505
"Supp Motor Area L",1462.09,5390,2759.67,2.75967,1384,2395,1856.1,1834,244.921
"Supp Motor Area R",1354.28,5448,2789.37,2.78937,1399,2410,1875.35,1880,238.483
"Olfactory L",776.987,2002,1025.02,1.02502,1462,2286,1839.44,1818,164.479
"Olfactory R",784.348,1840,942.076,0.942076,1493,2255,1841.51,1818,166.18
"Frontal Sup Medial L",1233,4889,2503.16,2.50316,1399,2348,1906.09,1927,223.068
"Frontal Sup Medial R",1290.87,5455,2792.95,2.79295,1368,2426,1920.25,1958,230.413
"Frontal Med Orb L",421.208,997,510.462,0.510462,1430,2099,1798.03,1818,153.233
"Frontal Med Orb R",333.816,619,316.927,0.316927,1477,2037,1738.54,1725,137.306
"Rectus L",749.059,1924,985.084,0.985084,1384,2208,1836.73,1849,178.246
"Rectus R",826.766,2127,1089.02,1.08902,1384,2301,1837.4,1865,183.456
"Insula L",1562.92,4395,2250.23,2.25023,1290,2161,1776.86,1772,170.278
"Insula R",1569.25,4479,2293.24,2.29324,1306,2161,1790.37,1787,169.325
"Cingulum Ant L",973.207,3276,1677.31,1.67731,1462,2068,1810.29,1849,120.38
"Cingulum Ant R",1006.46,3501,1792.51,1.79251,1493,2161,1816.63,1834,114.365
"Cingulum Mid L",1351.91,4322,2212.86,2.21286,1430,2224,1827,1849,147.332
"Cingulum Mid R",1473.48,4868,2492.41,2.49241,1493,2270,1835.02,1849,142.988
"Cingulum Post L",430.392,1069,547.326,0.547326,1430,2115,1772.94,1756,150.486
"Cingulum Post R",456.173,1122,574.462,0.574462,1462,2410,1768.33,1741,149.309
"Hippocampus L",936.082,2253,1153.53,1.15353,1368,2146,1690.55,1678,127.624
"Hippocampus R",1047.05,2444,1251.32,1.25132,1368,2395,1687.76,1678,134.467
"ParaHippocampal L",1307.81,3805,1948.15,1.94815,1244,2410,1748.59,1756,211.127
"ParaHippocampal R",1203.06,3348,1714.17,1.71417,1275,2348,1766.02,1772,198.49
"Amygdala L",240.045,560,286.719,0.286719,1524,1990,1729.28,1741,73.4239
"Amygdala R",245.842,587,300.543,0.300543,1493,2084,1741.1,1741,86.0224
"Calcarine L",1174.86,4500,2303.99,2.30399,1353,2255,1855.86,1849,172.151
"Calcarine R",1215.9,4425,2265.59,2.26559,1384,2301,1838.18,1834,176.746
"Cuneus L",923.819,2413,1235.45,1.23545,1306,2379,1782.49,1772,215.504
"Cuneus R",715.147,1917,981.5,0.9815,1306,2301,1782.99,1772,207.048
"Lingual L",1921.96,9131,4675.05,4.67505,1384,2348,1838.65,1849,184.02
"Lingual R",1805.09,8360,4280.3,4.2803,1353,2441,1866.3,1865,187.534
"Occipital Sup L",950.967,2921,1495.55,1.49555,1415,2208,1819.27,1834,168.191
"Occipital Sup R",909.077,2931,1500.67,1.50067,1384,2270,1846.3,1849,184.59
"Occipital Mid L",1397.89,5778,2958.32,2.95832,1477,2270,1916.85,1943,171.794
"Occipital Mid R",1471.15,5929,3035.64,3.03564,1508,2317,1945.86,1974,155.889
"Occipital Inf L",981.951,2837,1452.54,1.45254,1430,2488,1827.92,1803,197.28
"Occipital Inf R",1335.67,4820,2467.83,2.46783,1477,2333,1879.46,1865,198.402
"Fusiform L",1857.92,7804,3995.63,3.99563,1275,2395,1879.29,1912,213.221
"Fusiform R",1681.03,6624,3391.48,3.39148,1322,2519,1884.1,1912,200.997
"Postcentral L",1646.88,6844,3504.11,3.50411,1384,2301,1817.49,1803,171.559
"Postcentral R",1702.83,7517,3848.69,3.84869,1322,2270,1832.54,1818,177.043
"Parietal Sup L",1154.97,4921,2519.54,2.51954,1384,2224,1872.88,1896,180.07
"Parietal Sup R",1224.61,5389,2759.16,2.75916,1399,2255,1898.73,1927,165.434
"Parietal Inf L",924.048,3213,1645.05,1.64505,1555,2270,1880.94,1880,155.297
"Parietal Inf R",1056.17,3742,1915.9,1.9159,1555,2270,1863.73,1849,140.263
"SupraMarginal L",847.909,3039,1555.96,1.55596,1462,2457,1918.86,1958,200.093
"SupraMarginal R",919.064,3308,1693.69,1.69369,1524,2224,1880.03,1865,167.737
"Angular L",994.102,3586,1836.03,1.83603,1508,2301,1868.23,1865,155.124
"Angular R",821.495,2569,1315.32,1.31532,1508,2208,1848.29,1818,136.627
"Precuneus L",1877.74,8220,4208.62,4.20862,1322,2255,1847.6,1865,201.796
"Precuneus R",1824.19,7936,4063.22,4.06322,1337,2395,1850.17,1865,201.697
"Paracentral Lobule L",787.382,2696,1380.35,1.38035,1368,2333,1765.78,1756,178.283
"Paracentral Lobule R",914.539,3397,1739.26,1.73926,1322,2317,1802.42,1772,198.869
"Caudate L",1054.36,2457,1257.98,1.25798,1399,2504,1752.08,1756,119.463
"Caudate R",999.463,2350,1203.2,1.2032,1399,2301,1778.61,1787,126.678
"Putamen L",1007.42,4084,2091,2.091,1570,2006,1779.58,1787,70.7825
"Putamen R",1029.19,4353,2228.73,2.22873,1570,2193,1806.45,1803,83.019
"Thalamus L",1147.92,5172,2648.05,2.64805,1430,2270,1780.63,1787,87.8181
"Thalamus R",1145.97,5061,2591.22,2.59122,1524,2084,1800.64,1803,83.0778
"Heschl L",557.32,1471,753.149,0.753149,1399,2130,1707.43,1678,137.042
"Heschl R",441.467,1167,597.502,0.597502,1353,2146,1726.87,1694,156.923
"Temporal Sup L",1600.57,6575,3366.39,3.36639,1244,2581,1836.01,1865,197.176
"Temporal Sup R",1708.7,7439,3808.75,3.80875,1182,2270,1808.58,1834,206.781
"Temporal Pole Sup L",639.666,1765,903.677,0.903677,1166,2364,1702.14,1663,259.14
"Temporal Pole Sup R",606.415,1587,812.541,0.812541,1166,2317,1681.22,1647,265.686
"Temporal Mid L",1725.81,6406,3279.86,3.27986,1322,2504,1837.12,1834,228.847
"Temporal Mid R",1856.62,7148,3659.76,3.65976,1244,2348,1828.9,1834,221.915
"Temporal Pole Mid L",347.966,934,478.206,0.478206,1213,2473,1817.37,1787,348.245
"Temporal Pole Mid R",317.662,780,399.359,0.399359,1275,2426,1813.18,1772,326.708
"Temporal Inf L",1738.11,7300,3737.59,3.73759,1306,2488,1876.64,1927,227.962
"Temporal Inf R",1468.23,6208,3178.48,3.17848,1337,2270,1868.21,1896,214.493
"CorpusCallosum",1853.03,3680,1884.15,1.88415,1306,2286,1734.08,1709,141.123
"Lateral Ventricle L",2279.96,5400,2764.79,2.76479,1664,3421,2543.71,2518,321.112
"Lateral Ventricle R",2300.31,5651,2893.3,2.8933,1757,3484,2580.77,2549,310.626
"Midbrain L",826.123,2766,1416.19,1.41619,839,2099,1667.62,1678,157.952
"Midbrain R",828.376,2803,1435.13,1.43513,824,2426,1676.22,1694,163.654
"Pons L",397.402,1086,556.03,0.55603,1462,2037,1694.62,1709,117.639
"Pons R",416.355,1132,579.582,0.579582,1430,2037,1682.88,1694,120.677
"Medulla L",915.674,2530,1295.36,1.29536,342,2146,1530.53,1538,223.379
"Medulla R",890.159,2423,1240.57,1.24057,326,2208,1483.44,1507,225.174
"Cerebellum L",1865.4,8716,4462.58,4.46258,1570,2473,1912.32,1912,95.1214
"Cerebellum R",1821.85,8552,4378.61,4.37861,1462,2395,1912.69,1912,92.0049
"Vermis Ant L",283.096,615,314.879,0.314879,1337,2224,1817.07,1834,158.69
"Vermis Ant R",305.426,687,351.743,0.351743,1337,2161,1818.98,1818,135.433
"Vermis Post L",634.262,1699,869.885,0.869885,1337,2084,1758.27,1772,117.672
"Vermis Post R",692.224,1900,972.796,0.972796,1135,2130,1742.34,1756,134.713
"Vermis Cent L",235.69,466,238.591,0.238591,1617,2177,1953.61,1958,93.8019
"Vermis Cent R",323.177,721,369.151,0.369151,1664,2224,1959.07,1974,96.8545
"Subthalamic Nuc L",93.5196,144,73.7277,0.0737277,1555,1773,1665.98,1663,51.2551
"Subthalamic Nuc R",102.983,152,77.8237,0.0778237,1570,1788,1681.58,1694,50.4305
"Hippocampal Comm",798.228,1069,547.326,0.547326,1555,3219,2314.59,2254,321.63
"Fornix",547.102,876,448.51,0.44851,1415,2193,1683.73,1663,149.398
"White Matter L",8160.22,34165,17492.4,17.4924,1462,2348,2007.89,2005,124.196
"White Matter R",8324.53,32493,16636.4,16.6364,1446,2597,2029.32,2036,126.386
"Internal Capsule L",1354.83,2590,1326.08,1.32608,1617,2084,1889.49,1896,76.0484
"Internal Capsule R",1500.39,2884,1476.6,1.4766,1570,2115,1907.12,1912,84.1875
"CSF",64785.1,200796,102807,102.807,0,3484,2405.37,2518,556.422
