"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Hippocampus L",614.14,1228,628.734,0.628734,1325,2075,1680.95,1676,141.985
"Hippocampus R",679.678,1428,731.133,0.731133,1362,2112,1678.83,1676,139.726
"Amygdala L",75.946,121,61.9518,0.0619518,1640,1834,1740.56,1741,48.2162
"Amygdala R",80.3817,127,65.0238,0.0650238,1612,1834,1748.28,1759,52.0223
"Caudate L",742.031,1265,647.678,0.647678,1186,2251,1715.12,1731,195.578
"Caudate R",730.151,1258,644.094,0.644094,1176,2149,1742.89,1787,200.925
"Putamen L",733.293,2698,1381.37,1.38137,1649,2121,1877.78,1879,69.2803
"Putamen R",702.931,2588,1325.05,1.32505,1649,2158,1884.22,1889,75.1471
"Thalamus L",669.951,2295,1175.04,1.17504,1565,2251,1835.34,1833,84.6144
"Thalamus R",654.95,2203,1127.93,1.12793,1612,2270,1857.45,1852,86.1764
"CorpusCallosum",1567.17,2429,1243.64,1.24364,1417,2279,1717.57,1694,116.357
"Lateral Ventricle L",1893.65,5082,2601.97,2.60197,1797,3224,2592.7,2584,295.23
"Lateral Ventricle R",1834.98,4925,2521.59,2.52159,1732,3243,2587.19,2574,282.771
"Midbrain L",2077.22,8507,4355.57,4.35557,722,2131,1654.45,1685,215.745
"Cerebellum L",1091.64,5041,2580.98,2.58098,1454,2260,1924.62,1935,128.601
"Cerebellum R",1072.66,4978,2548.73,2.54873,1454,2260,1914.5,1917,125.596
"Subthalamic Nuc L",47.3401,59,30.2079,0.0302079,1704,1843,1760.71,1759,33.6001
"Subthalamic Nuc R",48.8646,61,31.2319,0.0312319,1704,1862,1768.34,1768,37.19
"Hippocampal Comm",501.478,606,310.271,0.310271,1565,2890,2145.76,2139,269.667
"Fornix",540.664,840,430.078,0.430078,1334,2149,1695.87,1694,151.788
"Cortical Plate L",18077.9,40432,20701.1,20.7011,574,2057,1602.36,1611,176.178
"Cortical Plate R",17952.4,40716,20846.5,20.8465,194,2103,1622.65,1629,175.068
"Subplate L",12395.5,31471,16113.1,16.1131,1538,2418,2062.24,2074,107.119
"Subplate R",12364.2,31297,16024,16.024,1603,2418,2083.26,2093,111.893
"Inter Zone L",7932.31,30817,15778.2,15.7782,1621,2399,2011.8,2009,82.7706
"Inter Zone R",7829.73,30298,15512.5,15.5125,1538,2390,2036.02,2037,90.2644
"Vent Zone L",3812.67,6754,3458.04,3.45804,1528,2270,1858.3,1833,138.513
"Vent Zone R",3747.19,6952,3559.41,3.55941,1528,2288,1871.87,1852,137.683
"Internal Capsule L",1070.67,1947,996.86,0.99686,1510,2242,1922.74,1926,100.206
"Internal Capsule R",1143.58,2003,1025.53,1.02553,1473,2270,1932.28,1944,107.215
"CSF",42443,140225,71794.9,71.7949,546,3484,2572.06,2667,489.193
"misc",339.886,358,183.295,0.183295,1649,2205,1954.3,1954,124.227
