"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Hippocampus L",614.779,1198,613.374,0.613374,1310,2056,1634.48,1633,131.563
"Hippocampus R",675.235,1372,702.461,0.702461,1337,2074,1628.33,1624,137.9
"Amygdala L",79.3931,126,64.5118,0.0645118,1607,1813,1700.52,1696,47.0599
"Amygdala R",81.9851,133,68.0957,0.0680957,1562,1786,1700.75,1714,53.4011
"Caudate L",801.199,1340,686.077,0.686077,1122,1984,1630.21,1642,178.199
"Caudate R",768.453,1354,693.245,0.693245,1113,2047,1653.23,1669,189.975
"Putamen L",699.395,2550,1305.6,1.3056,1607,2092,1832.17,1830,67.3334
"Putamen R",675.549,2497,1278.46,1.27846,1598,2101,1838.9,1839,71.8198
"Thalamus L",650.168,2192,1122.3,1.1223,1571,1984,1785,1776,79.2523
"Thalamus R",647.066,2129,1090.04,1.09004,1571,2011,1803.81,1803,81.3301
"CorpusCallosum",1467.2,2341,1198.59,1.19859,1391,2181,1674.14,1642,123.978
"Lateral Ventricle L",1800.71,4680,2396.15,2.39615,1688,3160,2510.84,2495,284.192
"Lateral Ventricle R",1719.79,4469,2288.12,2.28812,1670,3187,2516.83,2504,283.349
"Midbrain L",2034.37,8308,4253.68,4.25368,520,2074,1607.38,1642,213.039
"Cerebellum L",1035.2,4550,2329.59,2.32959,1409,2181,1868.81,1875,123.773
"Cerebellum R",1026.84,4608,2359.29,2.35929,1400,2181,1862.89,1866,124.878
"Subthalamic Nuc L",46.4218,55,28.1599,0.0281599,1670,1768,1713.25,1714,27.8569
"Subthalamic Nuc R",49.8092,62,31.7439,0.0317439,1652,1786,1713.87,1714,33.4794
"Hippocampal Comm",498.789,667,341.503,0.341503,1481,3008,2160.71,2145,287.938
"Fornix",439.406,653,334.335,0.334335,1212,2110,1608.86,1588,183.128
"Cortical Plate L",17291.7,37899,19404.2,19.4042,709,2047,1558.95,1570,174.364
"Cortical Plate R",17061.5,38456,19689.4,19.6894,323,2110,1569.93,1570,175.428
"Subplate L",11911.2,30498,15614.9,15.6149,1508,2352,1996.06,2010,108.197
"Subplate R",11813.8,30342,15535,15.535,1553,2361,2026.12,2037,105.989
"Inter Zone L",7624.11,28874,14783.4,14.7834,1634,2343,1953.62,1956,80.4141
"Inter Zone R",7484.03,27991,14331.3,14.3313,1580,2352,1976.43,1983,89.6413
"Vent Zone L",3812.05,6890,3527.67,3.52767,1499,2208,1805.64,1785,129.35
"Vent Zone R",3775.76,7073,3621.36,3.62136,1463,2217,1810.14,1794,130.583
"Internal Capsule L",1032.59,1757,899.581,0.899581,1589,2181,1874.39,1875,99.9701
"Internal Capsule R",1013.76,1754,898.045,0.898045,1625,2217,1883.02,1884,107.679
"CSF",41080.2,136482,69878.5,69.8785,323,3484,2492.08,2594,498.056
"misc",518.083,520,266.239,0.266239,1607,2155,1813.05,1794,104.058
