"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Hippocampus L",824.069,1801,922.109,0.922109,1310,2023,1649.33,1643,126.06
"Hippocampus R",895.511,2045,1047.04,1.04704,1345,2023,1661.23,1654,125.191
"Amygdala L",148.105,289,147.967,0.147967,1517,1828,1706.45,1712,63.437
"Amygdala R",147.277,294,150.527,0.150527,1506,1839,1714.63,1723,69.5158
"Caudate L",973.048,2031,1039.87,1.03987,1310,2104,1740.28,1758,144.508
"Caudate R",897.609,1889,967.164,0.967164,1299,2138,1773.52,1792,146.299
"Putamen L",871.42,3424,1753.08,1.75308,1575,2092,1799.48,1804,79.8495
"Putamen R",900.063,3504,1794.04,1.79404,1586,2069,1825.84,1827,84.745
"Thalamus L",999.842,4016,2056.18,2.05618,1506,1989,1773.11,1781,81.793
"Thalamus R",1006.12,4027,2061.82,2.06182,1540,2035,1797.43,1804,80.6973
"CorpusCallosum",1819.03,3067,1570.3,1.5703,1402,2322,1693.64,1666,128.572
"Lateral Ventricle L",2234.21,6194,3171.32,3.17132,1690,3334,2575.28,2551,314.09
"Lateral Ventricle R",2229.15,6192,3170.29,3.17029,1655,3334,2586.31,2563,302.561
"Midbrain L",2626.38,11228,5748.71,5.74871,517,2104,1589.42,1620,208.088
"Cerebellum L",1670.54,8875,4543.98,4.54398,1322,2276,1880.15,1884,121.968
"Cerebellum R",1634.6,8894,4553.71,4.55371,1230,2265,1889.76,1896,125.924
"Subthalamic Nuc L",100.362,155,79.3597,0.0793597,1586,1759,1683.06,1689,45.6344
"Subthalamic Nuc R",98.9753,147,75.2637,0.0752637,1598,1793,1700.38,1700,42.5024
"Hippocampal Comm",593.453,720,368.639,0.368639,1678,3162,2242.58,2183,268.901
"Fornix",574.036,960,491.518,0.491518,1299,2092,1665.01,1643,151.808
"Cortical Plate L",27032.5,70719,36208,36.208,1149,2150,1640.25,1631,153.052
"Cortical Plate R",26501.6,70670,36182.9,36.1829,1069,2081,1651.28,1643,152.682
"White Matter L",15917.3,96257,49283.4,49.2834,1345,2449,2024.98,2022,119.618
"White Matter R",15604.4,94711,48491.8,48.4918,1460,2460,2045.49,2045,120.156
"Internal Capsule L",1618.44,2408,1232.89,1.23289,1598,2173,1881.65,1884,86.8599
"Internal Capsule R",1565.07,2672,1368.06,1.36806,1575,2173,1897.75,1896,91.2652
"CSF",57246.7,202500,103680,103.68,57,3484,2494.01,2609,533.783
"misc",678.828,868,444.414,0.444414,1632,2265,1920.27,1919,109.961
