"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Hippocampus L",415.533,716,366.591,0.366591,1174,1931,1520.38,1500,152.81
"Hippocampus R",459.054,783,400.894,0.400894,1174,1961,1540.97,1521,145.079
"Amygdala L",71.8044,86,44.0318,0.0440318,1552,1808,1679.28,1684,60.0718
"Amygdala R",64.995,82,41.9838,0.0419838,1583,1839,1709.32,1715,54.7278
"Caudate L",648.237,1192,610.302,0.610302,858,1971,1454.09,1470,198.398
"Caudate R",611.655,1158,592.894,0.592894,939,2012,1457.36,1470,224.582
"Putamen L",381.901,1081,553.47,0.55347,1552,2104,1774.87,1766,81.1659
"Putamen R",354.422,1053,539.134,0.539134,1552,1982,1778.14,1776,74.8406
"Thalamus L",426.588,1330,680.957,0.680957,1491,2257,1785.85,1776,140.945
"Thalamus R",437.491,1383,708.093,0.708093,1512,2196,1788.82,1786,117.67
"CorpusCallosum",833.016,1151,589.31,0.58931,1297,2349,1558.34,1541,130.965
"Lateral Ventricle L",1209.29,3074,1573.88,1.57388,1573,3351,2445.78,2420,300.081
"Lateral Ventricle R",1157.24,2888,1478.65,1.47865,1593,3259,2438.41,2399,297.644
"Midbrain L",1376.73,4856,2486.26,2.48626,991,1971,1571.05,1582,162.235
"Cerebellum L",546.636,1704,872.445,0.872445,1471,2074,1772.21,1756,117.643
"Cerebellum R",563.775,1823,933.372,0.933372,1481,2114,1796.82,1786,118.06
"Subthalamic Nuc L",64.7358,75,38.3999,0.0383999,1593,1706,1652.08,1654,28.486
"Subthalamic Nuc R",51.4974,56,28.6719,0.0286719,1614,1736,1682.77,1684,31.4648
"Hippocampal Comm",440.238,473,242.175,0.242175,1512,3116,2044.9,2032,260.783
"Fornix",332.317,488,249.855,0.249855,950,2002,1509.25,1521,206.74
"Cortical Plate L",9751.32,19440,9953.24,9.95324,398,2554,1622.72,1613,173.345
"Cortical Plate R",9676.83,19962,10220.5,10.2205,51,2574,1635.14,1633,177.708
"Subplate L",6447.93,16303,8347.1,8.3471,1461,2360,1990.08,1991,123.305
"Subplate R",6475.66,16375,8383.97,8.38397,1481,2360,1997.92,2011,131.387
"Inter Zone L",4128.73,8208,4202.48,4.20248,1369,2268,1829.08,1827,104.788
"Inter Zone R",4143.69,7964,4077.55,4.07755,1522,2176,1844.71,1838,89.8087
"Vent Zone L",2658.98,4473,2290.17,2.29017,1348,2268,1680.81,1664,129.556
"Vent Zone R",2649.04,4476,2291.7,2.2917,1328,2176,1687.19,1674,118.451
"Internal Capsule L",580.573,688,352.255,0.352255,1389,2012,1733.43,1725,94.479
"Internal Capsule R",558.287,675,345.599,0.345599,1399,2002,1748.86,1746,90.9325
"CSF",24463.3,73727,37748.1,37.7481,388,3484,2394.52,2461,584.394
"misc",463.212,481,246.271,0.246271,1501,2033,1766.53,1766,86.4316
