"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Hippocampus L",476.752,842,431.102,0.431102,1255,1937,1570.89,1565,131.869
"Hippocampus R",554.888,1025,524.798,0.524798,1275,1917,1573.26,1575,133.392
"Amygdala L",96.0449,150,76.7997,0.0767997,1556,1757,1652.18,1655,53.5666
"Amygdala R",92.5499,124,63.4878,0.0634878,1556,1767,1682.08,1685,51.546
"Caudate L",640.511,1097,561.662,0.561662,1054,1977,1534.83,1545,203.713
"Caudate R",615.564,1122,574.462,0.574462,1004,2018,1560.32,1575,215.395
"Putamen L",497.402,1682,861.181,0.861181,1586,1977,1787.86,1786,70.6275
"Putamen R",499.772,1627,833.021,0.833021,1556,2098,1830.24,1826,83.6672
"Thalamus L",485.999,1392,712.701,0.712701,1516,2148,1744.14,1725,104.167
"Thalamus R",534.539,1659,849.405,0.849405,1546,2339,1793.84,1776,109.72
"CorpusCallosum",1096.76,1580,808.957,0.808957,1265,2299,1622.33,1605,141.725
"Lateral Ventricle L",1310.22,3117,1595.9,1.5959,1536,3363,2448.72,2418,315.501
"Lateral Ventricle R",1272.93,3208,1642.49,1.64249,1636,3283,2443.43,2388,293.444
"Midbrain L",1584.75,5909,3025.4,3.0254,793,2018,1564.89,1595,195.287
"Cerebellum L",705.188,2556,1308.67,1.30867,1405,2108,1795.67,1796,129.214
"Cerebellum R",701.107,2491,1275.39,1.27539,1405,2138,1809.04,1816,123.73
"Subthalamic Nuc L",53.7215,62,31.7439,0.0317439,1616,1726,1670.35,1675,26.2161
"Subthalamic Nuc R",45.6974,48,24.5759,0.0245759,1636,1747,1694.38,1695,27.2402
"Hippocampal Comm",370.914,415,212.479,0.212479,1445,3052,2176.42,2137,294.043
"Fornix",329.246,493,252.415,0.252415,1094,1977,1508.53,1525,172.205
"Cortical Plate L",11877.2,25650,13132.8,13.1328,0,2238,1538.81,1555,181.493
"Cortical Plate R",11881.5,25741,13179.3,13.1793,0,2058,1543.75,1555,178.732
"Subplate L",8232.54,17483,8951.26,8.95126,1435,2249,1968.94,1976,101.152
"Subplate R",8283.98,17659,9041.37,9.04137,1716,2279,1984.7,1986,102.062
"Inter Zone L",5309.42,16770,8586.21,8.58621,1415,2299,1886.94,1886,101.209
"Inter Zone R",5354.57,17340,8878.05,8.87805,1455,2299,1914.7,1916,102.874
"Vent Zone L",2783.9,4834,2475,2.475,1315,2228,1706.94,1685,118.351
"Vent Zone R",2750.82,4814,2464.76,2.46476,1305,2108,1730.39,1725,120.524
"Internal Capsule L",889.059,1292,661.502,0.661502,1546,2058,1802.14,1796,92.1202
"Internal Capsule R",763.09,1111,568.83,0.56883,1626,2128,1849.86,1836,100.012
"CSF",29621.4,91970,47088.5,47.0885,461,3484,2412.27,2509,540.944
"misc",343.065,361,184.831,0.184831,1596,2068,1835.11,1836,95.4193
