"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Medulla R",755.196,1871,957.948,0.957948,326,2133,1441.16,1470,260.344
"Cerebellum L",1240.52,4655,2383.35,2.38335,1591,2374,1930.66,1925,108.303
"Cerebellum R",1209.86,4584,2347,2.347,1608,2752,1916.55,1908,106.558
"Vermis Ant L",246.9,487,249.343,0.249343,1410,2279,1878.32,1891,156.488
"Vermis Ant R",220.187,405,207.359,0.207359,1402,2296,1897.33,1891,137.191
"Vermis Post L",488.695,1157,592.382,0.592382,1419,2253,1776.1,1788,108.518
"Vermis Post R",521.768,1197,612.862,0.612862,1350,2288,1752.21,1762,126.733
"Vermis Cent L",190.143,294,150.527,0.150527,1720,2185,1954.92,1951,85.2246
"Vermis Cent R",227.42,426,218.111,0.218111,1711,2167,1939.24,1934,90.8718
"Subthalamic Nuc L",70.0227,97,49.6638,0.0496638,1643,1806,1720.95,1719,42.5936
"Subthalamic Nuc R",81.9337,113,57.8558,0.0578558,1608,1823,1721.04,1719,46.1631
"Hippocampal Comm",646.546,801,410.11,0.41011,1522,2769,2142.29,2132,230.786
"Fornix",483.131,760,389.119,0.389119,1376,2055,1647.08,1633,132.318
"White Matter L",6995.83,29573,15141.3,15.1413,1531,2374,1991.38,2003,124.091
"White Matter R",6976.85,29072,14884.8,14.8848,1505,2348,2010.19,2029,126.933
"Internal Capsule L",1124.99,1732,886.781,0.886781,1548,2185,1908.62,1908,89.889
"Internal Capsule R",1097.95,1670,855.037,0.855037,1574,2202,1914.06,1917,89.8081
"CSF",49831.6,157304,80539.3,80.5393,361,3484,2570.08,2682,529.974
"misc",594.27,829,424.446,0.424446,1660,2193,1916.09,1917,108.487
