"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Precentral L",1308.57,5049,2585.08,2.58508,1290,2503,1823.87,1882,241.36
"Precentral R",1294.02,4983,2551.29,2.55129,1238,2632,1901.27,1986,259.527
"Frontal Sup L",1553.42,4455,2280.95,2.28095,1393,2520,1899.96,1960,230.489
"Frontal Sup R",1420.98,3939,2016.76,2.01676,1402,2735,1890.06,1925,247.282
"Frontal Sup Orb L",786.83,1968,1007.61,1.00761,1453,2546,1970.84,2037,186.811
"Frontal Sup Orb R",822.389,2139,1095.16,1.09516,1359,2434,1965.92,2020,178.584
"Frontal Mid L",1724.87,6642,3400.69,3.40069,1333,2374,1903.85,2003,219.384
"Frontal Mid R",1777.46,7249,3711.47,3.71147,1290,2597,1935.24,2046,240.968
"Frontal Mid Orb L",692.08,1928,987.132,0.987132,1144,2761,1840.68,1822,232.523
"Frontal Mid Orb R",793.901,2413,1235.45,1.23545,1384,2589,1906.07,1977,244.743
"Frontal Inf Oper L",460.119,1435,734.717,0.734717,1264,2167,1851.51,1951,233.216
"Frontal Inf Oper R",475.007,1469,752.125,0.752125,1264,2408,1895.38,1994,247.71
"Frontal Inf Tri L",531.503,1553,795.133,0.795133,1238,2374,1811.96,1891,259.946
"Frontal Inf Tri R",465.628,1256,643.07,0.64307,1230,2606,1774.89,1814,288.563
"Frontal Inf Orb L",817.358,2772,1419.26,1.41926,1264,2606,1885.45,1977,229.604
"Frontal Inf Orb R",732.552,2453,1255.93,1.25593,1316,2847,1855.21,1908,247.254
"Rolandic Oper L",861.692,3094,1584.12,1.58412,1238,2494,1896.36,1943,249.199
"Rolandic Oper R",734.651,2295,1175.04,1.17504,1264,2529,1908.35,1960,258.238
"Supp Motor Area L",1052.09,3322,1700.86,1.70086,1333,2520,1869.25,1882,283.951
"Supp Motor Area R",993.884,3276,1677.31,1.67731,1341,2477,1869.29,1900,275.976
"Olfactory L",650.754,1559,798.205,0.798205,1462,2219,1854.34,1839,162.091
"Olfactory R",649.817,1484,759.805,0.759805,1393,2511,1822.72,1814,165.696
"Frontal Sup Medial L",1022.43,3721,1905.14,1.90514,1402,2683,1941.89,1986,252.699
"Frontal Sup Medial R",1103.76,4085,2091.51,2.09151,1402,2511,1938.2,1977,248.034
"Frontal Med Orb L",242.258,432,221.183,0.221183,1393,2116,1816.03,1822,179.07
"Frontal Med Orb R",175.959,234,119.808,0.119808,1488,2021,1719.38,1702,153.808
"Rectus L",604.927,1413,723.453,0.723453,1376,2288,1835.75,1839,186.121
"Rectus R",739.842,1886,965.628,0.965628,1367,2339,1817.74,1822,178.255
"Insula L",1103.69,2833,1450.49,1.45049,1298,2253,1750.4,1745,196.652
"Insula R",1072.42,2623,1342.97,1.34297,1230,2296,1728.69,1719,188.509
"Cingulum Ant L",778.755,2230,1141.76,1.14176,1488,2081,1820.77,1848,134.677
"Cingulum Ant R",848.336,2560,1310.72,1.31072,1496,2055,1805.59,1839,123.773
"Cingulum Mid L",999.589,3025,1548.79,1.54879,1264,2400,1855.83,1900,173.032
"Cingulum Mid R",1069,3474,1778.68,1.77868,1333,2348,1850.12,1900,175.748
"Cingulum Post L",366.989,832,425.982,0.425982,1471,2116,1733.79,1702,132.967
"Cingulum Post R",404.495,910,465.918,0.465918,1453,2236,1726.14,1710,142.219
"Hippocampus L",733.476,1660,849.917,0.849917,1324,2296,1667.26,1659,154.841
"Hippocampus R",825.82,1867,955.9,0.9559,1350,2348,1648.58,1650,146.193
"ParaHippocampal L",977.041,2560,1310.72,1.31072,1264,2339,1718.98,1710,211.982
"ParaHippocampal R",888.013,2207,1129.98,1.12998,1255,2245,1715.43,1702,205.764
"Amygdala L",207.297,429,219.647,0.219647,1574,1883,1737.88,1736,65.1191
"Amygdala R",210.862,468,239.615,0.239615,1565,1926,1746.84,1753,70.7932
"Calcarine L",892.895,2929,1499.64,1.49964,1255,2460,1828.12,1882,255.711
"Calcarine R",867.276,2789,1427.96,1.42796,1204,2391,1779.76,1814,265.644
"Cuneus L",687.701,1511,773.629,0.773629,1187,2649,1644.85,1599,272.486
"Cuneus R",494.332,1122,574.462,0.574462,1187,2193,1620.04,1556,266.358
"Lingual L",1442.45,6188,3168.24,3.16824,1178,2658,1789.96,1839,258.156
"Lingual R",1277.19,5314,2720.76,2.72076,1169,2658,1800.71,1865,253.186
"Occipital Sup L",616.903,1428,731.133,0.731133,1238,2443,1775.05,1831,259.185
"Occipital Sup R",723.447,1956,1001.47,1.00147,1212,2451,1812.14,1900,257.856
"Occipital Mid L",1180.39,4177,2138.62,2.13862,1161,2494,1844.65,1960,270.45
"Occipital Mid R",1260.02,4505,2306.55,2.30655,1255,2563,1917.28,2003,239.774
"Occipital Inf L",744.126,1750,895.997,0.895997,1169,2546,1611.99,1564,284.77
"Occipital Inf R",1045.03,3164,1619.96,1.61996,1195,2468,1724.7,1728,303.062
"Fusiform L",1414.09,5132,2627.57,2.62757,1187,2425,1840.64,1900,244.925
"Fusiform R",1324.86,4651,2381.3,2.3813,1255,2408,1854.66,1917,244.499
"Postcentral L",1234.36,4626,2368.5,2.3685,1221,2400,1798.96,1796,246.731
"Postcentral R",1241.1,5014,2567.16,2.56716,1212,2606,1848.41,1848,270.936
"Parietal Sup L",893.323,3244,1660.92,1.66092,1221,2339,1888.74,1994,269.064
"Parietal Sup R",898.353,3088,1581.05,1.58105,1273,2408,1897.84,2011,282.429
"Parietal Inf L",698.197,2156,1103.87,1.10387,1221,2391,1801.44,1874,246.934
"Parietal Inf R",731.106,2320,1187.84,1.18784,1393,2374,1835.6,1874,250.129
"SupraMarginal L",679.619,2064,1056.76,1.05676,1247,2623,1884.12,1968,247.912
"SupraMarginal R",682.064,2106,1078.27,1.07827,1238,2572,1880.14,1968,282.635
"Angular L",806.237,2517,1288.7,1.2887,1238,2623,1757.3,1788,271.705
"Angular R",680.347,1797,920.061,0.920061,1316,2391,1745.41,1719,261.936
"Precuneus L",1462.72,5797,2968.05,2.96805,1187,2511,1839.39,1934,276.412
"Precuneus R",1398.72,5655,2895.35,2.89535,1230,2563,1838.83,1934,272.205
"Paracentral Lobule L",505.376,1388,710.653,0.710653,1298,2537,1772.42,1745,261.464
"Paracentral Lobule R",618.055,1879,962.044,0.962044,1376,2477,1807.46,1788,260.77
"Caudate L",864.519,1780,911.357,0.911357,1195,2107,1726.61,1762,169.666
"Caudate R",848.851,1772,907.261,0.907261,1204,2133,1745.68,1788,172.295
"Putamen L",797.012,3154,1614.84,1.61484,1634,2055,1838.17,1839,67.6316
"Putamen R",826.937,3235,1656.31,1.65631,1600,2099,1829.68,1831,69.6565
"Thalamus L",845.972,3140,1607.67,1.60767,1565,2030,1804.49,1805,73.4176
"Thalamus R",859.76,3253,1665.53,1.66553,1557,2107,1818.79,1822,78.8271
"Heschl L",384.756,857,438.782,0.438782,1238,2374,1655.95,1616,172.378
"Heschl R",340.007,811,415.23,0.41523,1264,2296,1697.16,1659,185.465
"Temporal Sup L",1090.02,3667,1877.5,1.8775,1135,2529,1814.01,1900,293.347
"Temporal Sup R",1222.37,4509,2308.6,2.3086,1135,2554,1818.37,1900,288.458
"Temporal Pole Sup L",450.218,1034,529.406,0.529406,1135,2374,1674.57,1642,286.675
"Temporal Pole Sup R",442.386,1006,515.07,0.51507,1169,2374,1678.33,1633,299.598
"Temporal Mid L",1277.9,3918,2006.01,2.00601,1161,2744,1708.51,1710,330.124
"Temporal Mid R",1324.5,4282,2192.38,2.19238,1144,2572,1737.01,1762,332.522
"Temporal Pole Mid L",235.969,498,254.975,0.254975,1264,2374,1826.79,1857,338.223
"Temporal Pole Mid R",221.74,455,232.959,0.232959,1221,2348,1796.12,1796,340.936
"Temporal Inf L",1369.08,5037,2578.93,2.57893,1195,2546,1827.22,1908,283.803
"Temporal Inf R",1160.03,4418,2262.01,2.26201,1204,2537,1819.88,1882,275.839
"CorpusCallosum",1446.35,2443,1250.81,1.25081,1428,2210,1679.77,1650,121.872
"Lateral Ventricle L",2042.46,5649,2892.28,2.89228,1720,3354,2599.33,2596,306.484
"Lateral Ventricle R",2006.68,5392,2760.69,2.76069,1746,3217,2603.84,2622,279.179
"Midbrain L",717.801,2238,1145.85,1.14585,817,2167,1683.22,1693,170.637
"Midbrain R",724.32,2217,1135.1,1.1351,774,2262,1684.19,1693,179.123
"Pons L",354.846,913,467.454,0.467454,1428,1978,1689.77,1702,119.136
"Pons R",358.102,916,468.99,0.46899,1393,2124,1664.49,1667,132.935
"Medulla L",705.017,1715,878.077,0.878077,318,2176,1484.81,1513,244.737
