"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Precentral L",636.156,1704,872.445,0.872445,1164,2261,1817.99,1875,279.668
"Precentral R",560.128,1460,747.517,0.747517,1145,2309,1874.64,1962,287.881
"Frontal Sup L",841.562,1826,934.908,0.934908,1337,2252,1853.96,1856,176.748
"Frontal Sup R",755.844,1555,796.157,0.796157,1337,2252,1852.15,1856,197.602
"Frontal Sup Orb L",349.602,597,305.663,0.305663,1203,2184,1917.58,1952,135.147
"Frontal Sup Orb R",387.127,677,346.623,0.346623,1145,2290,1940.97,1962,158.766
"Frontal Mid L",815.144,2286,1170.43,1.17043,1414,2386,1859.22,1866,159.688
"Frontal Mid R",900.071,2823,1445.37,1.44537,1308,2338,1865.15,1894,205.024
"Frontal Mid Orb L",312.21,543,278.015,0.278015,981,2194,1770.95,1769,194.327
"Frontal Mid Orb R",370.9,751,384.511,0.384511,952,2194,1834.38,1837,202.633
"Frontal Inf Oper L",187.168,381,195.071,0.195071,1251,2146,1760.87,1827,258.42
"Frontal Inf Oper R",166.455,267,136.703,0.136703,1097,2338,1726.06,1741,312.284
"Frontal Inf Tri L",194.097,380,194.559,0.194559,1251,2252,1670.39,1625,250.927
"Frontal Inf Tri R",188.257,329,168.447,0.168447,1231,2367,1594.27,1510,254.329
"Frontal Inf Orb L",332.665,732,374.783,0.374783,1318,2377,1786.51,1817,200.026
"Frontal Inf Orb R",315.474,635,325.119,0.325119,1222,2637,1760.03,1769,233.457
"Rolandic Oper L",425.479,1112,569.342,0.569342,952,2309,1858.11,1981,328.345
"Rolandic Oper R",184.184,320,163.839,0.163839,1058,2348,1641.31,1606,316.123
"Supp Motor Area L",471.876,1034,529.406,0.529406,1135,2261,1739.48,1712,243.336
"Supp Motor Area R",469.264,1204,616.446,0.616446,1183,2579,1775.05,1808,264.327
"Olfactory L",332.913,531,271.871,0.271871,1405,2069,1716.16,1712,146.974
"Olfactory R",299.096,480,245.759,0.245759,1376,2425,1720.08,1712,142.403
"Frontal Sup Medial L",595.664,1765,903.677,0.903677,1366,2434,1856.29,1885,206.552
"Frontal Sup Medial R",645.713,1944,995.324,0.995324,1347,2531,1879.47,1914,216.197
"Frontal Med Orb L",99.7295,119,60.9278,0.0609278,1568,2117,1892.82,1943,143.126
"Frontal Med Orb R",42.7442,38,19.4559,0.0194559,1578,1944,1694.68,1683,76.1642
"Rectus L",308.407,555,284.159,0.284159,1280,2194,1782.4,1789,133.703
"Rectus R",331.492,639,327.167,0.327167,1347,2155,1786.64,1789,148.789
"Insula L",477.949,764,391.167,0.391167,1154,2049,1567.89,1577,167.657
"Insula R",464.021,795,407.038,0.407038,1068,2165,1582.35,1606,194.312
"Cingulum Ant L",437.066,895,458.238,0.458238,1405,2088,1734.9,1731,148.192
"Cingulum Ant R",481.248,1022,523.262,0.523262,1395,2098,1728.25,1731,161.198
"Cingulum Mid L",492.799,1194,611.326,0.611326,1299,2098,1736.39,1750,179.218
"Cingulum Mid R",527.271,1378,705.533,0.705533,1260,2329,1749.87,1769,195.817
"Cingulum Post L",239.714,454,232.447,0.232447,1308,2030,1611.22,1596,136.461
"Cingulum Post R",282.232,521,266.751,0.266751,1357,2069,1627.23,1615,150.205
"Hippocampus L",450.232,838,429.054,0.429054,1097,1934,1514.42,1490,155.109
"Hippocampus R",518.793,973,498.174,0.498174,1164,2059,1537.85,1529,142.32
"ParaHippocampal L",495.109,936,479.23,0.47923,1203,2242,1605.47,1587,168.424
"ParaHippocampal R",456.852,834,427.006,0.427006,1270,2223,1664.53,1654,161.007
"Amygdala L",150.224,218,111.616,0.111616,1434,1761,1633.73,1635,64.4815
"Amygdala R",150.424,226,115.712,0.115712,1539,1790,1690.87,1692,55.1632
"Calcarine L",417.111,921,471.55,0.47155,1183,2415,1708.86,1741,201.288
"Calcarine R",389.489,864,442.366,0.442366,1126,2098,1654.78,1692,199.712
"Cuneus L",321.629,537,274.943,0.274943,1049,2165,1461.08,1423,218.803
"Cuneus R",273.076,456,233.471,0.233471,1135,2049,1456.84,1423,187.835
"Lingual L",713.684,2123,1086.97,1.08697,1058,2742,1627.49,1644,213.165
"Lingual R",629.935,1900,972.796,0.972796,1087,2396,1648.23,1673,206.303
"Occipital Sup L",319.132,530,271.359,0.271359,1193,2069,1655.2,1644,255.431
"Occipital Sup R",393.588,785,401.918,0.401918,1174,2261,1685.41,1731,258.027
"Occipital Mid L",557.369,1260,645.118,0.645118,1231,2213,1739.28,1760,226.894
"Occipital Mid R",558.365,1440,737.277,0.737277,1260,2232,1780.9,1817,198.823
"Occipital Inf L",403.412,622,318.463,0.318463,1154,2203,1550.23,1538,193.098
"Occipital Inf R",526.545,1085,555.518,0.555518,1260,2348,1681.25,1664,194.14
"Fusiform L",810.372,2189,1120.76,1.12076,1106,2338,1697.5,1731,206.815
"Fusiform R",720.83,2052,1050.62,1.05062,1231,2261,1719.38,1741,177.431
"Postcentral L",566.792,1396,714.749,0.714749,1020,2319,1803.47,1866,332.221
"Postcentral R",595.41,1621,829.949,0.829949,1010,2290,1823.65,1866,323.133
"Parietal Sup L",482.735,1270,650.238,0.650238,1116,2309,1791.61,1885,299.146
"Parietal Sup R",533.369,1398,715.773,0.715773,1164,2319,1790.77,1875,299.151
"Parietal Inf L",319.914,717,367.103,0.367103,1087,2232,1688.29,1692,327.601
"Parietal Inf R",361.702,786,402.43,0.40243,1126,2434,1641.49,1606,290.503
"SupraMarginal L",253.765,507,259.583,0.259583,1135,2213,1828.19,1962,305.072
"SupraMarginal R",274.465,524,268.287,0.268287,1020,2492,1721.66,1769,335.874
"Angular L",409.12,912,466.942,0.466942,1087,2723,1633.33,1606,316.67
"Angular R",343.466,675,345.599,0.345599,1097,2155,1626.75,1587,242.519
"Precuneus L",786.442,2233,1143.29,1.14329,1029,2444,1687.56,1750,268.385
"Precuneus R",792.969,2454,1256.44,1.25644,1116,2213,1712.72,1779,261.472
"Paracentral Lobule L",146.697,246,125.952,0.125952,1145,2203,1631.29,1577,276.149
"Paracentral Lobule R",198.707,374,191.487,0.191487,1174,2223,1659.41,1606,285.519
"Caudate L",561.264,982,502.782,0.502782,875,1992,1443.61,1452,210.915
"Caudate R",538.816,980,501.758,0.501758,914,1992,1463.86,1471,230.695
"Putamen L",409.678,1218,623.614,0.623614,1568,3349,1764.17,1760,87.1592
"Putamen R",429.21,1330,680.957,0.680957,1578,2030,1802.68,1798,72.1018
"Thalamus L",433.568,1168,598.014,0.598014,1434,2098,1731.36,1712,114.904
"Thalamus R",497.945,1420,727.037,0.727037,1520,2088,1768.56,1760,103.17
"Heschl L",125.332,175,89.5997,0.0895997,1126,1857,1425.28,1404,165.024
"Heschl R",87.8115,119,60.9278,0.0609278,1231,2136,1536.29,1500,184.028
"Temporal Sup L",427.807,905,463.358,0.463358,1087,2126,1692.5,1769,298.706
"Temporal Sup R",498.555,1207,617.982,0.617982,1077,2213,1732.38,1779,312.301
"Temporal Pole Sup L",233.882,425,217.599,0.217599,1260,2146,1641.03,1606,199.564
"Temporal Pole Sup R",230.321,403,206.335,0.206335,1337,2309,1656.5,1615,211.07
"Temporal Mid L",658.353,1378,705.533,0.705533,1049,2309,1591.71,1558,284.926
"Temporal Mid R",692.278,1612,825.341,0.825341,1135,2444,1676.8,1683,292.335
"Temporal Pole Mid L",127.105,200,102.4,0.1024,1308,2309,1713.99,1683,237.941
"Temporal Pole Mid R",137.17,228,116.736,0.116736,1414,2261,1794.93,1789,209.207
"Temporal Inf L",747.543,1877,961.02,0.96102,1135,2444,1697.03,1741,246.302
