"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Temporal Inf R",601.209,1624,831.485,0.831485,1241,2357,1709.47,1731,220.717
"CorpusCallosum",780.152,1174,601.086,0.601086,1299,2146,1571.93,1548,133.313
"Lateral Ventricle L",1166.38,2743,1404.41,1.40441,1742,3310,2441.66,2405,298.094
"Lateral Ventricle R",1145.21,2780,1423.35,1.42335,1684,3339,2456.06,2414,297.962
"Midbrain L",460.041,1117,571.902,0.571902,885,1972,1579.3,1596,158.793
"Midbrain R",469.821,1162,594.942,0.594942,1049,2348,1619.21,1635,164.929
"Pons L",207.808,407,208.383,0.208383,1347,1963,1618.12,1615,118.487
"Pons R",216.775,415,212.479,0.212479,1337,2001,1638.01,1635,106.288
"Medulla L",431.213,872,446.462,0.446462,433,2030,1436.66,1452,206.061
"Medulla R",475.826,945,483.838,0.483838,336,2203,1440.39,1461,223.654
"Cerebellum L",565.622,1237,633.342,0.633342,1462,2377,1818.97,1817,139.485
"Cerebellum R",571.94,1256,643.07,0.64307,1511,2425,1842.11,1827,125.337
"Vermis Ant L",111.535,164,83.9677,0.0839677,1520,2059,1811.83,1827,124.889
"Vermis Ant R",94.5824,127,65.0238,0.0650238,1578,2223,1828.88,1827,121.76
"Vermis Post L",274.644,498,254.975,0.254975,1530,1915,1706.46,1702,67.8397
"Vermis Post R",305.308,548,280.575,0.280575,1482,1895,1697.31,1692,72.108
"Vermis Cent L",96.2216,101,51.7118,0.0517118,1645,2001,1795.7,1779,92.227
"Vermis Cent R",139.727,186,95.2316,0.0952316,1655,2098,1814.92,1808,86.013
"Subthalamic Nuc L",58.0713,75,38.3999,0.0383999,1559,1703,1639.15,1635,35.3976
"Subthalamic Nuc R",57.6371,69,35.3279,0.0353279,1597,1761,1675.39,1673,33.0304
"Hippocampal Comm",392.379,441,225.791,0.225791,1559,2925,2073.43,2039,231.427
"Fornix",325.729,488,249.855,0.249855,972,2011,1482.33,1500,200.757
"White Matter L",3940.39,15077,7719.4,7.7194,1289,2242,1831.54,1846,147.729
"White Matter R",3877.14,14980,7669.73,7.66973,1308,2290,1871.18,1875,146.26
"Internal Capsule L",641.092,887,454.142,0.454142,1376,2059,1768.37,1750,104.436
"Internal Capsule R",586.997,730,373.759,0.373759,1443,2040,1804.2,1798,98.972
"CSF",26045.8,71627,36672.9,36.6729,0,3484,2431.29,2549,587.028
"misc",316.377,345,176.639,0.176639,1559,2040,1783.65,1789,98.7773
