"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Precentral L",1447.19,5839,2989.56,2.98956,1310,2373,1840.65,1876,225.258
"Precentral R",1393.85,5750,2943.99,2.94399,1204,2610,1894.67,1971,245.121
"Frontal Sup L",1824.85,5304,2715.64,2.71564,1405,2444,1921.87,1983,227.372
"Frontal Sup R",1757.35,5161,2642.42,2.64242,1369,2799,1916.18,1994,238.564
"Frontal Sup Orb L",871.06,2271,1162.75,1.16275,1334,2574,1956.83,2018,199.266
"Frontal Sup Orb R",869.267,2312,1183.74,1.18374,1204,2739,1959.85,2018,197.189
"Frontal Mid L",1719.97,6926,3546.1,3.5461,1369,2598,1928.63,2018,214.43
"Frontal Mid R",1838.57,7995,4093.42,4.09342,1346,2763,1928.71,2042,232.923
"Frontal Mid Orb L",741.734,2192,1122.3,1.1223,1310,2680,1852.95,1841,244.186
"Frontal Mid Orb R",858.529,2741,1403.39,1.40339,1358,2633,1903.83,1971,256.881
"Frontal Inf Oper L",505.68,1576,806.909,0.806909,1310,2397,1866.02,1947,226.496
"Frontal Inf Oper R",495.716,1561,799.229,0.799229,1275,2326,1848.94,1924,245.571
"Frontal Inf Tri L",573.91,1805,924.157,0.924157,1263,2716,1833.68,1865,247.989
"Frontal Inf Tri R",497.085,1453,743.933,0.743933,1263,2598,1781.94,1782,267.063
"Frontal Inf Orb L",918.348,3294,1686.52,1.68652,1299,2893,1905.36,1983,231.501
"Frontal Inf Orb R",841.507,2916,1492.99,1.49299,1310,2763,1868.69,1924,247.791
"Rolandic Oper L",964.486,3656,1871.86,1.87186,1287,2491,1902.01,1947,245.514
"Rolandic Oper R",788.791,2403,1230.33,1.23033,1251,2409,1855.04,1900,255.116
"Supp Motor Area L",1123.18,3606,1846.27,1.84627,1334,2503,1866.7,1865,284.645
"Supp Motor Area R",1075.59,3703,1895.93,1.89593,1322,2491,1876.26,1912,279.548
"Olfactory L",690.504,1761,901.629,0.901629,1476,2314,1871.41,1865,162.127
"Olfactory R",691.014,1762,902.141,0.902141,1452,2267,1846.08,1853,160.267
"Frontal Sup Medial L",1087.08,4209,2155,2.155,1417,2692,1953.25,1994,243.73
"Frontal Sup Medial R",1144.37,4362,2233.34,2.23334,1381,2491,1941.96,1983,244.938
"Frontal Med Orb L",264.936,580,296.959,0.296959,1452,2208,1845.02,1888,179.049
"Frontal Med Orb R",246.195,483,247.295,0.247295,1440,2149,1789.74,1805,170.528
"Rectus L",658.5,1575,806.397,0.806397,1322,2432,1842.97,1853,192.99
"Rectus R",757.243,1893,969.212,0.969212,1369,2421,1825.27,1829,186.094
"Insula L",1203,2918,1494.01,1.49401,1299,2196,1754.71,1735,184.455
"Insula R",1215.05,2943,1506.81,1.50681,1240,2350,1739.56,1735,179.131
"Cingulum Ant L",816.708,2366,1211.39,1.21139,1511,2149,1829.71,1853,134.785
"Cingulum Ant R",873.534,2604,1333.24,1.33324,1464,2161,1814.68,1853,122.565
