"Segment","Surface area [mm2]","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Precentral L",1745.93,7782,3984.37,3.98437,1424,2553,1876.35,1889,198.815
"Precentral R",1716.07,7836,4012.02,4.01202,1311,2553,1922.49,1959,215.247
"Frontal Sup L",1943.54,6336,3244.02,3.24402,1466,2468,1917.76,1931,219.928
"Frontal Sup R",1834.57,6066,3105.78,3.10578,1438,2468,1923.78,1917,218.573
"Frontal Sup Orb L",974.831,2854,1461.24,1.46124,1156,2595,1978.65,2044,207.731
"Frontal Sup Orb R",989.498,3019,1545.72,1.54572,1283,2538,1982.68,2030,197.929
"Frontal Mid L",2183.96,9670,4951.02,4.95102,1410,2454,1941.74,2001,184.487
"Frontal Mid R",2243.79,10407,5328.36,5.32836,1424,2468,1966.86,2030,202.526
"Frontal Mid Orb L",834.054,2510,1285.12,1.28512,1396,2567,1880.76,1889,231.37
"Frontal Mid Orb R",967.517,3363,1721.85,1.72185,1438,2355,1948.66,2016,239.853
"Frontal Inf Oper L",630.945,2265,1159.68,1.15968,1410,2510,1898.47,1945,181.795
"Frontal Inf Oper R",575.038,1997,1022.46,1.02246,1354,2256,1879.53,1945,201.935
"Frontal Inf Tri L",672.269,2258,1156.09,1.15609,1424,2623,1884.84,1917,204.845
"Frontal Inf Tri R",563.075,1686,863.229,0.863229,1424,2313,1814.76,1804,197.18
"Frontal Inf Orb L",1063.38,4270,2186.23,2.18623,1015,2792,1922.1,1973,211.773
"Frontal Inf Orb R",992.904,3806,1948.66,1.94866,1354,2468,1885.74,1917,216.173
"Rolandic Oper L",1113.65,4306,2204.66,2.20466,1340,2553,1908.37,1945,218.894
"Rolandic Oper R",831.305,2267,1160.7,1.1607,1311,2299,1846.96,1860,204.149
"Supp Motor Area L",1383.75,4982,2550.77,2.55077,1396,2496,1898.5,1875,269.004
"Supp Motor Area R",1311.68,5142,2632.69,2.63269,1452,2496,1923.76,1917,256.269
"Olfactory L",779.154,1936,991.228,0.991228,1509,2285,1875.87,1860,162.994
"Olfactory R",772.079,1842,943.1,0.9431,1509,2341,1871.02,1846,170.366
"Frontal Sup Medial L",1174.83,4652,2381.82,2.38182,1466,2538,1972.49,2001,240.289
"Frontal Sup Medial R",1232.44,5187,2655.73,2.65573,1424,2538,1979.07,2016,245.064
"Frontal Med Orb L",385.025,893,457.214,0.457214,1424,2341,1836,1875,182.677
"Frontal Med Orb R",301.361,548,280.575,0.280575,1495,2087,1760.74,1733,146.202
"Rectus L",722.593,1897,971.26,0.97126,1410,2383,1870.1,1889,193.307
"Rectus R",876.684,2348,1202.17,1.20217,1410,2369,1867.67,1889,183.543
"Insula L",1470.59,4034,2065.4,2.0654,1311,2256,1801.58,1790,182.086
"Insula R",1468.79,4014,2055.16,2.05516,1311,2355,1803.93,1804,180.995
"Cingulum Ant L",937.707,2976,1523.71,1.52371,1509,2144,1844.56,1875,128.326
"Cingulum Ant R",977.451,3315,1697.27,1.69727,1537,2115,1847.46,1875,120.154
"Cingulum Mid L",1298.71,4049,2073.08,2.07308,1438,2299,1859.43,1889,160.011
"Cingulum Mid R",1427.71,4608,2359.29,2.35929,1481,2426,1867.35,1889,151.7
"Cingulum Post L",426.235,1032,528.382,0.528382,1466,2186,1797.93,1776,154.442
"Cingulum Post R",453.707,1091,558.59,0.55859,1466,2341,1797.42,1776,149.478
"Hippocampus L",900.033,2191,1121.79,1.12179,1396,2256,1708.73,1705,129.088
"Hippocampus R",1001.45,2375,1216,1.216,1396,2383,1714.54,1705,136.135
"ParaHippocampal L",1261.3,3576,1830.91,1.83091,1269,2440,1767.85,1776,222.762
"ParaHippocampal R",1136.8,3097,1585.66,1.58566,1297,2397,1781.6,1776,209.287
"Amygdala L",239.91,556,284.671,0.284671,1551,1974,1756.16,1762,74.7549
"Amygdala R",244.679,566,289.791,0.289791,1551,2172,1766.84,1776,83.2987
"Calcarine L",1126.69,4201,2150.9,2.1509,1382,2510,1905.58,1903,205.132
"Calcarine R",1163.64,4229,2165.24,2.16524,1438,2412,1875.09,1860,211.874
"Cuneus L",887.173,2233,1143.29,1.14329,1297,2412,1793.46,1762,228.984
"Cuneus R",657.13,1688,864.253,0.864253,1340,2538,1788.17,1748,236.292
"Lingual L",1835.11,8600,4403.18,4.40318,1368,2369,1874.22,1889,207.734
"Lingual R",1703.11,7787,3986.93,3.98693,1382,2482,1902.13,1917,210.763
"Occipital Sup L",862.675,2493,1276.41,1.27641,1410,2313,1848.57,1860,193.003
"Occipital Sup R",893.973,2913,1491.45,1.49145,1382,2426,1884.19,1889,211.296
"Occipital Mid L",1373.69,5640,2887.67,2.88767,1452,2468,1946.74,1987,201.294
"Occipital Mid R",1471.63,5812,2975.73,2.97573,1509,2440,1994.13,2044,189.683
"Occipital Inf L",923.935,2513,1286.65,1.28665,1354,2355,1812.41,1776,230.128
"Occipital Inf R",1267.98,4322,2212.86,2.21286,1466,2355,1884.17,1875,229.192
"Fusiform L",1764.18,7143,3657.2,3.6572,1283,2482,1909.21,1959,232.055
"Fusiform R",1619.18,6181,3164.66,3.16466,1340,2482,1927.75,1973,222.383
"Postcentral L",1578.2,6362,3257.33,3.25733,1396,2426,1849.38,1832,199.421
"Postcentral R",1615.78,7065,3617.27,3.61727,1297,2454,1874.79,1846,217.532
"Parietal Sup L",1097.12,4463,2285.05,2.28505,1438,2355,1917.2,1945,207.029
"Parietal Sup R",1159.85,4819,2467.32,2.46732,1452,2313,1949.37,1987,197.756
"Parietal Inf L",885.899,3007,1539.58,1.53958,1551,2313,1895.04,1903,170.865
"Parietal Inf R",984.067,3318,1698.81,1.69881,1523,2412,1885.92,1875,162.947
"SupraMarginal L",805.816,2853,1460.73,1.46073,1438,2468,1938.57,1973,224.829
"SupraMarginal R",887.97,3055,1564.15,1.56415,1452,2482,1913.12,1931,210.369
"Angular L",970.704,3431,1756.67,1.75667,1495,2510,1889.26,1889,189.127
"Angular R",763.64,2245,1149.44,1.14944,1551,2285,1843.73,1804,163.474
"Precuneus L",1801.05,7824,4005.87,4.00587,1297,2440,1893.76,1931,235.035
"Precuneus R",1728.02,7412,3794.93,3.79493,1410,2327,1899.8,1931,229.033
"Paracentral Lobule L",749.925,2581,1321.47,1.32147,1382,2412,1810.09,1790,202.263
"Paracentral Lobule R",841.176,3004,1538.04,1.53804,1410,2397,1840.62,1804,221.239
"Caudate L",991.754,2316,1185.79,1.18579,1340,2383,1780.19,1790,136.651
"Caudate R",937.527,2201,1126.91,1.12691,1410,2299,1815.47,1832,127.386
"Putamen L",977.554,4170,2135.03,2.13503,1608,2144,1824.16,1818,78.7392
"Putamen R",965.457,4034,2065.4,2.0654,1593,2158,1842.65,1846,82.5218
"Thalamus L",1093.34,4749,2431.48,2.43148,1466,2129,1807.18,1818,85.2735
"Thalamus R",1100.43,4762,2438.13,2.43813,1551,2129,1832.56,1832,82.7409
"Heschl L",542.406,1417,725.501,0.725501,1354,2256,1723.16,1691,149.283
"Heschl R",423.155,1115,570.878,0.570878,1340,2158,1741.19,1705,162.236
"Temporal Sup L",1486.04,5901,3021.3,3.0213,1227,2468,1871.23,1917,224.998
"Temporal Sup R",1624.15,6993,3580.4,3.5804,1142,2426,1827.53,1875,238.243
"Temporal Pole Sup L",609.562,1639,839.165,0.839165,1227,2454,1729.34,1691,293.682
"Temporal Pole Sup R",567.639,1433,733.693,0.733693,1142,2412,1682.26,1649,287.269
"Temporal Mid L",1642.48,5863,3001.84,3.00184,1311,2538,1843.07,1846,268.932
"Temporal Mid R",1751.24,6498,3326.96,3.32696,1227,2567,1831.04,1846,258.159
"Temporal Pole Mid L",327.177,835,427.518,0.427518,1227,2482,1868.43,1875,373.726
"Temporal Pole Mid R",291.671,674,345.087,0.345087,1255,2426,1823.59,1818,348.158
"Temporal Inf L",1699.9,7024,3596.27,3.59627,1297,2538,1908.44,1973,254.475
"Temporal Inf R",1422.22,5992,3067.89,3.06789,1283,2369,1888.17,1931,232.519
"CorpusCallosum",1798.18,3458,1770.49,1.77049,1368,2355,1734.19,1705,126.685
"Lateral Ventricle L",2311.4,5834,2987,2.987,1749,3484,2590.54,2566,330.551
"Lateral Ventricle R",2305.22,5838,2989.04,2.98904,1734,3484,2614.79,2594,310.609
"Midbrain L",821.367,2728,1396.73,1.39673,916,2270,1697.07,1705,166.452
"Midbrain R",833.1,2773,1419.77,1.41977,860,2933,1708.82,1719,180.591
"Pons L",402.2,1060,542.718,0.542718,1452,2144,1713.26,1719,122.163
"Pons R",421.387,1127,577.022,0.577022,1438,2087,1694.03,1705,124.287
"Medulla L",873.365,2403,1230.33,1.23033,197,2313,1538.47,1550,238.138
"Medulla R",862.2,2337,1196.54,1.19654,268,2299,1502.45,1522,232.551
"Cerebellum L",1749.18,7907,4048.37,4.04837,1650,2383,1954.89,1945,99.0727
"Cerebellum R",1734.13,7803,3995.12,3.99512,1565,2665,1967.9,1959,102.213
"Vermis Ant L",292.748,660,337.919,0.337919,1340,2454,1869.6,1889,164.869
"Vermis Ant R",272.905,579,296.447,0.296447,1368,2186,1878.19,1875,134.477
"Vermis Post L",608.2,1618,828.413,0.828413,1368,2200,1791.92,1804,119.231
"Vermis Post R",678.299,1816,929.789,0.929789,1269,2256,1782.55,1790,140.663
"Vermis Cent L",230.588,423,216.575,0.216575,1692,2256,1980.85,1973,85.0118
"Vermis Cent R",312.99,677,346.623,0.346623,1692,2256,1979.04,1973,91.5306
"Subthalamic Nuc L",91.884,138,70.6557,0.0706557,1608,1791,1704.31,1705,47.2273
"Subthalamic Nuc R",100.796,148,75.7757,0.0757757,1622,1833,1717.97,1719,50.5548
"Hippocampal Comm",869.934,1084,555.006,0.555006,1608,3258,2310.86,2241,313.088
"Fornix",517.614,797,408.062,0.408062,1340,2115,1676.96,1649,155.854
"White Matter L",8045.03,34203,17511.9,17.5119,1410,2426,2055.67,2058,131.399
"White Matter R",8202.13,33291,17044.9,17.0449,1509,2426,2081.95,2086,132.811
"Internal Capsule L",1360.33,2176,1114.11,1.11411,1509,2129,1911.22,1917,86.2637
"Internal Capsule R",1501.62,2579,1320.44,1.32044,1593,2200,1940.69,1945,86.4095
"CSF",62178.3,197582,101162,101.162,0,3484,2491.32,2622,558.891
